LDEV_Read_Hit5A.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D6X(X68-1)","00:5A:D7X(X66-1)","00:5A:D8X(X50-1)","00:5A:D9X(X71-1)","00:5A:FC(5-6)","00:5A:FD(5-6)","00:5A:FEX(X69-1)","00:5A:FFX(X67-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",87,87,86,86,0,0,94,90
"8","2014/04/01 18:03",90,91,91,90,0,0,98,98
"9","2014/04/01 18:08",88,90,89,89,0,0,100,100
"10","2014/04/01 18:13",88,89,88,88,0,0,100,100
"11","2014/04/01 18:18",89,90,89,91,0,0,99,99
"12","2014/04/01 18:23",93,95,93,94,0,0,100,100
"13","2014/04/01 18:28",86,88,88,88,0,0,100,98
"14","2014/04/01 18:33",87,88,89,88,0,0,100,99
"15","2014/04/01 18:38",74,74,74,77,0,0,100,99
"16","2014/04/01 18:43",82,85,85,83,0,0,100,98
"17","2014/04/01 18:48",84,86,87,85,0,0,100,99
"18","2014/04/01 18:53",81,83,83,83,0,0,100,98
"19","2014/04/01 18:58",90,92,90,90,0,0,100,99
"20","2014/04/01 19:03",86,87,87,87,0,0,99,99
"21","2014/04/01 19:08",82,80,84,82,0,0,99,99
"22","2014/04/01 19:13",72,75,76,72,0,0,100,100
"23","2014/04/01 19:18",87,87,88,88,0,0,100,99
"24","2014/04/01 19:23",86,88,87,87,0,0,100,100
"25","2014/04/01 19:28",67,71,72,67,0,0,100,99
"26","2014/04/01 19:33",70,74,75,72,0,0,100,99
"27","2014/04/01 19:38",87,88,89,89,0,0,100,100
"28","2014/04/01 19:43",73,73,76,73,0,0,98,98
"29","2014/04/01 19:48",64,66,63,61,0,0,87,86
"30","2014/04/01 19:53",90,91,91,91,0,0,93,93
"31","2014/04/01 19:58",79,84,82,81,0,0,100,99
"32","2014/04/01 20:03",69,71,69,68,0,0,99,99
"33","2014/04/01 20:08",78,79,81,79,0,0,100,98
"34","2014/04/01 20:13",80,82,84,82,0,0,100,99
"35","2014/04/01 20:18",87,88,88,87,0,0,100,99
"36","2014/04/01 20:23",77,79,79,80,0,0,100,100
"37","2014/04/01 20:28",80,82,83,80,0,0,100,99
"38","2014/04/01 20:33",63,65,64,59,0,0,97,94
"39","2014/04/01 20:38",84,86,87,84,0,0,100,99
"40","2014/04/01 20:43",84,85,85,86,0,0,99,99
"41","2014/04/01 20:48",84,85,84,84,0,0,100,100
"42","2014/04/01 20:53",78,81,80,84,0,0,100,99
"43","2014/04/01 20:58",80,83,78,82,0,0,100,99
"44","2014/04/01 21:03",63,66,68,64,0,0,99,95
"45","2014/04/01 21:08",62,59,64,61,0,0,100,99
"46","2014/04/01 21:13",54,54,62,53,0,0,100,99
"47","2014/04/01 21:18",90,91,90,91,0,0,100,98
"48","2014/04/01 21:23",52,50,46,51,0,0,100,99
"49","2014/04/01 21:28",79,81,81,80,0,0,99,100
"50","2014/04/01 21:33",55,50,57,45,0,0,100,99
"51","2014/04/01 21:38",82,83,83,82,0,0,100,99
"52","2014/04/01 21:43",86,88,87,87,0,0,100,98
"53","2014/04/01 21:48",91,91,91,90,0,0,100,99
"54","2014/04/01 21:53",74,73,76,70,0,0,100,99
"55","2014/04/01 21:58",75,75,81,71,0,0,100,100
"56","2014/04/01 22:03",72,73,74,71,0,0,99,99
"57","2014/04/01 22:08",63,65,67,67,0,0,100,99
"58","2014/04/01 22:13",84,100,97,73,0,0,99,100
