LDEV_Read_Hit03.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:03:01X(X554-1)","00:03:02X(X674-1)","00:03:04X(X48-1)","00:03:05X(X467-1)","00:03:06X(X852-1)","00:03:07X(X757-1)","00:03:08X(X761-1)","00:03:0AX(X426-1)","00:03:0BX(X427-1)","00:03:1AX(X373-1)","00:03:1BX(X374-1)","00:03:1CX(X375-1)","00:03:1DX(X376-1)","00:03:1FX(X386-1)","00:03:20X(X764-1)","00:03:22X(X405-1)","00:03:26X(X414-1)","00:03:27X(X415-1)","00:03:30X(X540-1)","00:03:31X(X541-1)","00:03:32X(X542-1)","00:03:33X(X543-1)","00:03:34X(X544-1)","00:03:35X(X545-1)","00:03:36X(X546-1)","00:03:37X(X547-1)","00:03:38X(X548-1)","00:03:39X(X549-1)","00:03:3AX(X550-1)","00:03:3BX(X551-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",100,0,0,93,100,0,0,0,0,0,0,0,0,0,0,0,0,0,26,67,92,91,29,40,72,70,38,89,35,38
"8","2014/04/01 18:03",97,0,0,91,100,0,0,0,0,0,0,0,0,0,0,66,65,0,79,78,97,96,73,78,89,77,80,96,77,95
"9","2014/04/01 18:08",99,0,0,94,99,0,0,0,0,0,0,0,0,0,0,0,0,0,33,76,98,97,17,40,91,39,15,97,0,33
"10","2014/04/01 18:13",100,0,0,94,99,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,91,90,45,29,77,60,0,92,3,7
"11","2014/04/01 18:18",100,0,0,82,99,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,78,68,6,8,35,12,81,74,78,93
"12","2014/04/01 18:23",100,0,0,90,99,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,77,70,33,17,48,11,81,76,98,97
"13","2014/04/01 18:28",100,0,0,86,99,0,0,0,0,0,0,0,0,0,0,0,0,0,43,78,98,97,68,63,91,82,53,98,15,21
