LDEV_Read_Hit0C.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:00X(X573-1)","00:0C:01X(X574-1)","00:0C:02X(X575-1)","00:0C:03X(X576-1)","00:0C:04X(X577-1)","00:0C:05X(X578-1)","00:0C:06X(X579-1)","00:0C:07X(X580-1)","00:0C:08X(X581-1)","00:0C:09X(X582-1)","00:0C:0AX(X583-1)","00:0C:0BX(X584-1)","00:0C:0CX(X585-1)"
"72","2014/04/01 23:23",82,81,82,83,80,83,82,81,82,81,82,82,81
"73","2014/04/01 23:28",82,83,82,84,83,83,85,83,83,82,83,82,82
"74","2014/04/01 23:33",81,84,84,82,81,83,84,81,82,80,82,82,83
"75","2014/04/01 23:38",83,84,84,85,84,83,86,85,85,82,85,82,84
"76","2014/04/01 23:43",86,85,86,87,87,86,87,86,87,86,87,87,84
"77","2014/04/01 23:48",83,84,84,81,82,83,84,84,84,83,84,84,84
"78","2014/04/01 23:53",87,86,88,87,86,88,85,88,85,86,85,86,86
"79","2014/04/01 23:58",89,88,89,88,88,88,90,89,88,88,88,88,87
"80","2014/04/02 00:03",85,86,85,85,84,88,88,86,86,84,86,88,85
"81","2014/04/02 00:08",82,85,85,87,84,83,86,87,82,86,85,86,84
"82","2014/04/02 00:13",87,87,85,88,88,86,88,88,88,88,88,88,87
"83","2014/04/02 00:18",89,89,89,90,89,88,91,87,89,88,90,89,89
"84","2014/04/02 00:23",89,89,88,89,86,87,90,90,89,89,88,89,89
"85","2014/04/02 00:28",89,90,88,89,89,88,90,90,90,90,89,88,90
"86","2014/04/02 00:33",88,89,89,89,88,88,90,91,89,90,91,90,89
"87","2014/04/02 00:38",88,88,89,90,89,87,89,89,88,90,88,87,89
"88","2014/04/02 00:43",87,87,88,87,91,89,87,89,89,86,87,87,86
"89","2014/04/02 00:48",90,91,92,92,92,92,91,91,92,91,91,91,92
"90","2014/04/02 00:53",85,88,89,86,88,88,87,87,89,86,87,87,86
"91","2014/04/02 00:58",89,90,90,91,92,93,90,89,92,89,91,90,91
"92","2014/04/02 01:03",87,88,89,87,89,90,87,89,89,88,87,88,89
"93","2014/04/02 01:08",74,77,77,78,80,78,81,76,76,78,71,79,79
"94","2014/04/02 01:13",82,85,87,86,87,87,82,85,86,84,84,86,85
"95","2014/04/02 01:18",83,86,86,87,88,89,87,86,88,86,83,86,88
"96","2014/04/02 01:23",86,87,86,89,88,89,89,89,88,88,87,89,87
