LDEV_Read_HitC9.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C9:14X(X811-1)","00:C9:15X(X812-1)","00:C9:16X(X813-1)","00:C9:17X(X814-1)","00:C9:19X(X816-1)","00:C9:1AX(X817-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",100,92,93,91,88,100
"8","2014/04/01 18:03",100,89,89,92,91,0
"9","2014/04/01 18:08",50,92,91,93,92,0
"10","2014/04/01 18:13",100,93,89,92,92,98
"11","2014/04/01 18:18",50,87,88,86,89,0
"12","2014/04/01 18:23",100,90,90,89,90,0
"13","2014/04/01 18:28",100,86,84,89,87,0
"14","2014/04/01 18:33",100,88,85,88,89,0
"15","2014/04/01 18:38",86,88,89,89,90,57
"16","2014/04/01 18:43",50,91,89,89,90,0
"17","2014/04/01 18:48",33,86,90,89,91,0
"18","2014/04/01 18:53",100,86,86,90,89,0
"19","2014/04/01 18:58",100,89,87,87,87,0
"20","2014/04/01 19:03",100,87,86,90,89,0
"21","2014/04/01 19:08",99,84,85,85,84,99
"22","2014/04/01 19:13",99,91,92,92,93,99
"23","2014/04/01 19:18",99,90,91,91,90,100
"24","2014/04/01 19:23",100,90,89,89,90,91
"25","2014/04/01 19:28",100,91,90,91,91,100
"26","2014/04/01 19:33",100,86,86,87,87,99
"27","2014/04/01 19:38",98,87,87,85,85,99
"28","2014/04/01 19:43",100,58,54,55,60,0
"29","2014/04/01 19:48",100,58,54,57,57,0
"30","2014/04/01 19:53",25,65,60,68,68,0
"31","2014/04/01 19:58",100,82,84,81,84,100
"32","2014/04/01 20:03",50,84,87,86,83,0
"33","2014/04/01 20:08",99,88,90,90,90,99
"34","2014/04/01 20:13",99,91,91,91,91,98
"35","2014/04/01 20:18",99,95,94,94,94,98
"36","2014/04/01 20:23",33,94,94,95,93,0
"37","2014/04/01 20:28",100,93,92,92,92,0
"38","2014/04/01 20:33",33,92,91,92,93,0
"39","2014/04/01 20:38",50,95,96,95,96,0
"40","2014/04/01 20:43",33,94,95,94,94,0
"41","2014/04/01 20:48",100,95,95,93,94,0
"42","2014/04/01 20:53",50,95,94,92,93,0
"43","2014/04/01 20:58",33,92,92,92,90,0
"44","2014/04/01 21:03",100,92,93,92,91,0
"45","2014/04/01 21:08",99,77,73,76,73,98
"46","2014/04/01 21:13",100,84,83,85,85,99
"47","2014/04/01 21:18",100,84,84,84,81,99
"48","2014/04/01 21:23",100,82,77,81,80,100
"49","2014/04/01 21:28",100,90,86,86,84,94
"50","2014/04/01 21:33",99,79,73,78,77,100
"51","2014/04/01 21:38",98,83,84,81,83,97
"52","2014/04/01 21:43",100,85,82,86,84,0
"53","2014/04/01 21:48",100,81,82,75,78,0
"54","2014/04/01 21:53",100,84,85,85,84,0
"55","2014/04/01 21:58",100,75,73,72,73,90
"56","2014/04/01 22:03",100,75,76,76,75,0
"57","2014/04/01 22:08",99,73,68,72,72,96
"58","2014/04/01 22:13",99,76,74,77,76,97
"59","2014/04/01 22:18",100,85,86,83,85,0
"60","2014/04/01 22:23",100,84,82,83,83,93
"61","2014/04/01 22:28",25,81,83,80,80,0
"62","2014/04/01 22:33",100,76,77,76,75,0
"63","2014/04/01 22:38",100,75,75,76,76,0
"64","2014/04/01 22:43",16,86,85,85,85,0
"65","2014/04/01 22:48",100,84,82,81,84,0
"66","2014/04/01 22:53",100,79,76,80,74,0
"67","2014/04/01 22:58",71,80,73,77,77,71
"68","2014/04/01 23:03",33,75,74,77,75,0
"69","2014/04/01 23:08",100,76,70,75,76,99
"70","2014/04/01 23:13",99,81,80,80,78,98
"71","2014/04/01 23:18",100,82,78,82,80,99
"72","2014/04/01 23:23",99,81,82,84,83,100
"73","2014/04/01 23:28",99,84,81,84,84,88
"74","2014/04/01 23:33",99,82,80,83,82,99
"75","2014/04/01 23:38",100,84,86,83,84,100
"76","2014/04/01 23:43",97,87,85,87,88,72
"77","2014/04/01 23:48",100,84,82,86,84,0
"78","2014/04/01 23:53",25,88,87,86,89,0
"79","2014/04/01 23:58",100,90,89,90,90,100
"80","2014/04/02 00:03",50,87,85,89,86,0
"81","2014/04/02 00:08",100,84,85,85,84,98
"82","2014/04/02 00:13",99,87,85,89,87,97
"83","2014/04/02 00:18",50,89,89,90,90,0
"84","2014/04/02 00:23",100,88,88,89,90,100
"85","2014/04/02 00:28",92,90,88,91,90,83
"86","2014/04/02 00:33",66,90,89,91,89,75
"87","2014/04/02 00:38",82,89,87,89,89,79
"88","2014/04/02 00:43",33,88,87,88,87,0
"89","2014/04/02 00:48",100,91,91,91,91,0
"90","2014/04/02 00:53",100,89,88,86,88,0
"91","2014/04/02 00:58",100,92,90,90,88,0
"92","2014/04/02 01:03",100,89,89,88,88,0
"93","2014/04/02 01:08",99,79,76,79,79,100
"94","2014/04/02 01:13",99,86,86,86,85,98
"95","2014/04/02 01:18",99,88,86,88,87,99
"96","2014/04/02 01:23",99,89,88,89,88,87
