"No.","time","00:21:00X(X743-1)","00:21:01X(X744-1)","00:21:02X(X745-1)","00:21:03X(X746-1)","00:21:04X(X747-1)","00:21:05X(X767-1)","00:21:06X(X820-1)","00:21:07X(X821-1)","00:21:08X(X822-1)","00:21:09X(X823-1)","00:21:0AX(X824-1)","00:21:0BX(X825-1)","00:21:0CX(X826-1)","00:21:0DX(X827-1)","00:21:0EX(X828-1)","00:21:0FX(X829-1)","00:21:10X(X830-1)","00:21:11X(X831-1)","00:21:12X(X832-1)","00:21:13X(X833-1)","00:21:14X(X834-1)","00:21:15X(X838-1)","00:21:16X(X839-1)","00:21:17X(X840-1)","00:21:18X(X841-1)","00:21:19X(X842-1)","00:21:1AX(X843-1)","00:21:1BX(X844-1)","00:21:1CX(X845-1)","00:21:1DX(X846-1)","00:21:1EX(X847-1)","00:21:1FX(X848-1)","00:21:20X(X849-1)","00:21:21X(X850-1)","00:21:22X(X851-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"30","2014/04/01 19:53",44,52,31,76,94,14,76,34,97,13,31,19,21,33,18,25,55,32,71,30,35,18,18,43,13,88,82,28,85,99,99,60,66,0,0
"31","2014/04/01 19:58",55,55,38,76,93,18,70,39,97,22,41,26,25,43,36,26,55,34,66,27,36,21,24,46,14,87,79,30,82,99,99,94,94,90,91
"32","2014/04/01 20:03",48,54,50,71,93,35,73,50,97,39,45,45,29,46,49,42,57,43,70,44,44,43,42,55,39,85,72,45,79,99,99,71,85,0,16
"33","2014/04/01 20:08",68,79,69,80,95,36,83,67,98,60,68,62,58,57,61,67,73,74,79,69,71,64,57,78,48,89,89,63,85,99,99,50,57,0,21
"34","2014/04/01 20:13",65,70,67,78,92,43,80,68,97,55,67,63,53,58,66,60,70,65,77,67,65,64,59,75,50,88,81,67,85,99,99,94,98,90,92
"35","2014/04/01 20:18",50,65,57,72,92,15,72,41,97,38,54,45,42,43,44,45,59,50,73,50,52,48,40,66,30,88,88,51,82,99,99,71,85,25,11
"36","2014/04/01 20:23",59,74,64,74,95,33,76,57,98,45,58,52,52,52,53,54,65,57,76,64,64,57,50,68,39,89,82,57,87,99,99,50,100,25,42
"37","2014/04/01 20:28",55,58,50,42,90,20,71,42,97,31,51,37,40,42,44,42,53,43,69,48,47,42,41,61,27,89,55,43,82,99,99,93,98,93,91
"38","2014/04/01 20:33",50,67,55,41,92,32,71,49,97,40,53,49,39,45,47,47,61,50,70,53,53,49,43,66,35,88,81,51,81,99,99,100,85,50,27
"39","2014/04/01 20:38",65,78,69,70,93,38,82,69,98,62,73,64,61,60,61,71,72,73,80,70,71,71,58,79,52,91,91,68,87,99,99,55,100,0,23
"40","2014/04/01 20:43",69,74,66,58,91,24,81,55,98,43,71,55,52,58,60,59,70,59,76,64,68,58,57,74,39,90,74,59,85,99,99,94,98,90,91
"41","2014/04/01 20:48",56,66,66,48,88,24,76,49,97,35,60,47,48,45,47,53,65,57,76,58,65,53,56,70,40,89,61,51,85,99,99,57,85,75,47
"42","2014/04/01 20:53",53,69,58,78,91,21,77,53,97,50,55,47,48,57,57,51,67,46,84,56,64,48,36,73,40,91,54,59,84,99,99,100,100,0,21
"43","2014/04/01 20:58",60,68,47,73,95,30,80,49,98,37,52,43,43,50,50,48,65,49,78,41,46,38,35,56,34,89,87,43,88,99,99,98,98,92,89
"44","2014/04/01 21:03",45,66,45,71,94,22,80,37,97,32,42,28,31,43,29,43,58,40,76,31,36,31,26,44,22,90,86,28,86,99,99,100,85,25,29
"45","2014/04/01 21:08",67,80,65,83,94,46,85,72,97,64,69,61,62,66,63,68,74,78,83,68,70,65,58,72,51,92,87,65,89,99,99,50,40,0,14
"46","2014/04/01 21:13",52,67,36,76,96,5,82,33,98,5,50,6,24,45,43,31,56,25,79,22,27,18,5,48,2,92,47,24,92,99,99,94,94,90,91
"47","2014/04/01 21:18",58,79,57,81,97,34,85,61,98,41,50,48,36,56,45,48,70,44,83,54,54,50,51,62,39,94,45,52,93,99,99,71,85,75,41
"48","2014/04/01 21:23",54,74,41,83,96,0,83,36,98,4,37,5,22,44,1,29,69,28,83,30,40,2,1,57,5,94,2,28,93,99,99,50,85,0,17
"49","2014/04/01 21:28",64,74,57,79,96,29,82,55,98,32,60,39,40,62,49,41,68,43,84,42,50,33,48,64,31,93,90,46,89,99,99,94,98,90,91
"50","2014/04/01 21:33",42,47,40,45,82,28,55,42,92,31,37,37,27,36,37,32,47,38,49,34,31,39,34,41,33,71,46,41,67,99,99,75,85,25,60
"51","2014/04/01 21:38",36,47,34,44,74,29,54,39,89,34,35,37,32,35,37,36,41,46,56,38,40,37,32,40,28,64,40,35,60,99,99,57,100,50,32
"52","2014/04/01 21:43",33,35,31,31,79,25,44,36,89,35,32,30,29,38,32,31,32,34,43,30,33,26,25,31,29,63,33,32,63,99,99,94,98,95,91
"53","2014/04/01 21:48",39,37,35,38,74,31,50,38,87,40,33,33,30,38,36,34,46,37,47,34,34,32,28,37,32,67,61,37,64,99,99,100,85,75,35
"54","2014/04/01 21:53",36,41,37,36,72,32,45,36,87,32,33,33,34,38,37,34,42,39,49,33,36,32,32,44,26,67,62,36,66,99,99,100,100,100,53
"55","2014/04/01 21:58",81,87,83,64,80,51,94,74,96,60,83,66,85,81,73,79,84,80,92,76,74,71,69,87,57,82,82,73,94,99,96,91,88,91,92
"56","2014/04/01 22:03",85,86,86,87,83,88,88,85,87,85,85,87,86,84,84,85,87,86,88,84,85,85,85,87,86,85,87,88,90,95,97,98,99,98,35
"57","2014/04/01 22:08",69,68,63,66,69,65,68,68,70,64,66,63,65,68,65,67,69,65,72,68,66,63,65,69,62,68,69,68,71,94,96,96,96,97,17
"58","2014/04/01 22:13",64,66,63,64,62,58,78,61,67,59,68,61,61,64,60,63,65,62,75,62,65,59,60,63,60,69,65,60,76,96,98,98,98,98,89
"59","2014/04/01 22:18",77,83,81,82,78,80,83,80,84,76,82,80,81,79,80,77,80,76,83,78,81,79,75,82,75,78,77,81,88,91,96,57,80,50,29
"60","2014/04/01 22:23",82,85,89,83,85,79,92,79,91,78,83,78,85,80,73,84,83,86,89,86,84,87,76,87,75,87,85,84,94,90,98,66,100,0,26
"61","2014/04/01 22:28",96,99,98,98,98,0,99,99,99,92,98,96,98,96,95,98,98,97,98,99,98,99,96,99,93,98,96,99,99,95,96,94,98,90,90
"62","2014/04/01 22:33",87,99,96,95,94,50,97,94,97,81,92,87,94,88,89,98,94,96,98,89,94,85,93,96,87,90,89,96,98,95,97,57,80,0,0
"63","2014/04/01 22:38",91,96,94,93,94,86,96,97,97,94,94,93,93,94,93,92,94,93,96,92,93,93,88,95,91,95,95,93,96,94,99,55,85,0,37
"64","2014/04/01 22:43",96,99,99,99,97,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,97,99,99,99,99,99,99,97,99,94,98,90,90
"65","2014/04/01 22:48",97,100,99,99,99,98,99,100,100,100,98,98,97,99,99,99,99,99,99,100,99,99,96,99,100,100,99,99,99,96,99,57,85,75,15
"66","2014/04/01 22:53",98,99,98,98,98,100,99,99,99,99,99,100,98,98,99,99,99,98,99,99,99,99,95,99,100,99,99,99,99,95,98,57,57,0,37
"67","2014/04/01 22:58",96,99,98,98,98,99,99,99,99,98,98,98,99,97,98,99,97,99,98,99,98,98,95,99,96,99,98,99,99,97,99,94,94,90,93
"68","2014/04/01 23:03",87,90,82,80,91,89,92,91,93,87,82,79,86,85,87,88,86,90,90,88,87,80,81,83,90,87,97,83,95,95,99,57,85,50,10
"69","2014/04/01 23:08",83,92,82,82,89,80,90,88,92,84,84,82,84,77,91,86,83,93,91,82,86,83,85,88,85,84,88,86,94,94,98,55,66,0,5
"70","2014/04/01 23:13",90,96,90,83,95,75,94,91,96,92,91,79,88,85,90,89,86,89,93,94,86,89,90,94,93,92,92,87,96,97,99,94,94,90,90
"71","2014/04/01 23:18",87,97,93,92,96,80,95,95,98,90,93,88,93,89,98,95,91,96,96,95,90,87,90,95,98,97,95,93,98,94,99,71,85,0,30
"72","2014/04/01 23:23",86,94,90,91,94,73,95,92,94,82,89,90,92,92,87,92,83,95,94,85,89,85,84,96,94,91,93,93,93,94,99,50,57,0,5
"73","2014/04/01 23:28",93,93,91,88,94,85,97,95,96,93,93,98,91,86,96,95,93,99,95,94,96,87,97,95,98,96,94,92,94,97,99,94,94,90,92
"74","2014/04/01 23:33",91,97,87,83,95,87,93,93,97,90,88,86,89,89,95,96,82,99,92,97,90,79,91,94,87,99,87,91,94,95,99,57,80,0,50
"75","2014/04/01 23:38",93,90,84,89,92,95,93,90,93,91,83,86,84,89,86,91,91,87,91,93,96,88,80,94,97,93,95,87,92,96,99,57,57,0,11
"76","2014/04/01 23:43",87,91,86,98,91,88,91,89,92,83,87,85,89,82,95,88,97,88,89,77,90,80,74,87,79,87,98,78,91,97,99,94,94,90,88
"77","2014/04/01 23:48",93,97,85,94,94,98,92,94,97,94,83,91,94,93,96,90,95,87,94,90,95,79,91,91,91,96,90,90,98,95,99,71,57,0,12
"78","2014/04/01 23:53",91,95,91,86,94,94,94,95,95,80,90,94,94,91,93,90,96,94,93,87,93,83,93,94,88,93,97,87,96,95,99,55,57,0,20
"79","2014/04/01 23:58",92,90,89,90,93,98,93,97,93,90,90,92,88,96,97,89,94,87,92,82,87,79,89,96,78,95,99,86,97,97,99,94,94,90,91
"80","2014/04/02 00:03",93,95,94,96,97,100,99,99,99,98,93,98,95,97,99,90,98,89,95,95,98,91,89,99,94,99,99,95,96,94,99,75,85,0,0
"81","2014/04/02 00:08",91,95,92,91,95,97,93,96,97,89,90,92,91,98,93,92,93,95,95,90,95,89,89,93,97,93,95,96,95,96,98,62,57,0,18
