LDEV_Rnd_Read_IOPS5A.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D6X(X68-1)","00:5A:D7X(X66-1)","00:5A:D8X(X50-1)","00:5A:D9X(X71-1)","00:5A:FC(5-6)","00:5A:FD(5-6)","00:5A:FEX(X69-1)","00:5A:FFX(X67-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",4,4,4,4,0,0,0,0
"8","2014/04/01 18:03",29,29,28,28,0,0,2,1
"9","2014/04/01 18:08",18,17,16,17,0,0,2,1
"10","2014/04/01 18:13",10,11,11,10,0,0,0,0
"11","2014/04/01 18:18",12,13,12,11,0,0,1,1
"12","2014/04/01 18:23",17,18,15,16,0,0,1,1
"13","2014/04/01 18:28",15,14,14,15,0,0,0,0
"14","2014/04/01 18:33",11,11,11,12,0,0,1,1
"15","2014/04/01 18:38",4,4,4,5,0,0,1,1
"16","2014/04/01 18:43",6,6,6,5,0,0,0,0
"17","2014/04/01 18:48",10,10,10,9,0,0,1,1
"18","2014/04/01 18:53",7,7,7,7,0,0,0,0
"19","2014/04/01 18:58",14,14,13,12,0,0,1,1
"20","2014/04/01 19:03",20,18,18,17,0,0,1,1
"21","2014/04/01 19:08",5,5,6,5,0,0,1,1
"22","2014/04/01 19:13",4,4,4,3,0,0,0,0
"23","2014/04/01 19:18",14,13,13,13,0,0,1,2
"24","2014/04/01 19:23",3,3,3,2,0,0,0,0
"25","2014/04/01 19:28",3,2,2,2,0,0,1,1
"26","2014/04/01 19:33",5,6,6,6,0,0,1,1
"27","2014/04/01 19:38",13,14,13,12,0,0,0,0
"28","2014/04/01 19:43",12,11,11,12,0,0,1,2
"29","2014/04/01 19:48",8,9,9,9,0,0,3,2
"30","2014/04/01 19:53",18,20,19,19,0,0,0,0
"31","2014/04/01 19:58",6,6,6,6,0,0,2,1
"32","2014/04/01 20:03",6,7,6,5,0,0,2,1
"33","2014/04/01 20:08",9,8,9,9,0,0,0,0
"34","2014/04/01 20:13",9,9,9,9,0,0,1,2
"35","2014/04/01 20:18",15,15,14,15,0,0,1,2
"36","2014/04/01 20:23",10,11,10,10,0,0,0,0
"37","2014/04/01 20:28",5,4,4,4,0,0,1,2
"38","2014/04/01 20:33",2,2,2,2,0,0,0,0
"39","2014/04/01 20:38",16,17,16,16,0,0,1,1
"40","2014/04/01 20:43",14,12,14,14,0,0,1,1
"41","2014/04/01 20:48",11,11,10,11,0,0,0,0
"42","2014/04/01 20:53",5,5,5,6,0,0,1,2
"43","2014/04/01 20:58",4,4,3,4,0,0,1,1
"44","2014/04/01 21:03",4,5,4,5,0,0,0,0
"45","2014/04/01 21:08",3,3,4,3,0,0,1,2
"46","2014/04/01 21:13",2,2,1,1,0,0,1,1
"47","2014/04/01 21:18",11,11,11,11,0,0,0,0
"48","2014/04/01 21:23",1,2,1,0,0,0,1,1
"49","2014/04/01 21:28",12,11,11,11,0,0,0,0
"50","2014/04/01 21:33",1,1,1,1,0,0,1,2
"51","2014/04/01 21:38",7,7,6,7,0,0,1,1
"52","2014/04/01 21:43",13,12,10,13,0,0,0,0
"53","2014/04/01 21:48",21,22,20,21,0,0,1,1
"54","2014/04/01 21:53",6,6,6,6,0,0,1,1
"55","2014/04/01 21:58",0,0,0,0,0,0,0,0
"56","2014/04/01 22:03",8,7,7,7,0,0,1,1
"57","2014/04/01 22:08",6,6,5,6,0,0,1,1
