LDEV_Write_Hit16.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:16:00X(X154-1)","00:16:04X(X196-1)","00:16:05X(X654-1)","00:16:08X(X656-1)","00:16:0FX(X81-1)","00:16:10X(X192-1)","00:16:11X(X190-1)","00:16:12X(X193-1)","00:16:13(11-12)","00:16:14(11-13)","00:16:15(11-13)","00:16:16X(X670-1)","00:16:24X(X571-1)"
"73","2014/04/01 23:28",94,86,0,0,95,0,0,0,100,92,0,93,85
"74","2014/04/01 23:33",83,87,0,0,96,0,0,0,100,75,0,94,87
"75","2014/04/01 23:38",91,87,0,0,97,0,0,0,100,95,0,93,91
"76","2014/04/01 23:43",90,88,0,0,96,0,0,0,100,93,0,92,90
"77","2014/04/01 23:48",95,85,0,0,80,0,0,0,100,88,0,91,85
"78","2014/04/01 23:53",82,87,0,0,87,0,0,0,100,78,0,92,87
"79","2014/04/01 23:58",76,85,0,0,93,0,0,0,77,93,0,92,87
"80","2014/04/02 00:03",89,85,0,0,93,57,50,62,95,96,0,94,80
"81","2014/04/02 00:08",93,84,0,0,93,0,0,0,72,94,0,94,91
"82","2014/04/02 00:13",80,86,0,0,94,0,0,0,100,97,0,93,86
"83","2014/04/02 00:18",85,89,0,0,96,0,0,0,100,97,0,94,88
"84","2014/04/02 00:23",85,88,0,0,96,0,0,0,70,97,0,94,90
"85","2014/04/02 00:28",90,91,0,0,97,0,0,0,96,97,0,91,89
"86","2014/04/02 00:33",87,91,0,0,99,0,0,0,87,97,0,93,93
"87","2014/04/02 00:38",89,90,0,0,98,0,0,0,96,97,0,94,89
"88","2014/04/02 00:43",87,92,0,0,98,0,0,0,83,97,0,92,88
"89","2014/04/02 00:48",90,90,0,0,98,0,0,0,100,97,0,93,88
"90","2014/04/02 00:53",89,92,0,0,98,0,0,0,100,94,0,90,89
"91","2014/04/02 00:58",87,89,0,0,78,0,0,0,100,99,0,92,86
"92","2014/04/02 01:03",74,79,0,0,85,0,0,0,29,100,0,89,86
"93","2014/04/02 01:08",73,84,0,0,97,0,0,0,97,91,0,88,88
"94","2014/04/02 01:13",74,90,0,0,99,0,0,0,100,95,0,92,88
"95","2014/04/02 01:18",69,90,0,0,98,0,0,0,100,90,0,95,89
"96","2014/04/02 01:23",81,87,0,0,98,0,0,0,100,92,0,96,90
