LDEV_Write_Hit06.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:06:06X(X24-1)","00:06:07X(X26-1)","00:06:08X(X27-1)","00:06:09X(X25-1)","00:06:0AX(X29-1)","00:06:0CX(X172-1)","00:06:0DX(X163-1)","00:06:0EX(X406-1)","00:06:0FX(X434-1)","00:06:10X(X16-1)","00:06:11X(X446-1)","00:06:12X(X392-1)","00:06:13X(X162-1)","00:06:14X(X383-1)","00:06:15X(X444-1)","00:06:16X(X176-1)","00:06:26X(X408-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",98,96,100,95,96,99,99,99,99,99,99,99,99,99,99,99,88
"8","2014/04/01 18:03",85,87,0,85,86,94,93,94,94,95,94,93,96,96,97,97,93
"9","2014/04/01 18:08",94,95,0,95,96,99,99,99,99,99,99,99,99,99,99,99,83
"10","2014/04/01 18:13",98,97,0,98,98,99,99,99,98,99,99,99,99,99,99,99,90
"11","2014/04/01 18:18",98,97,0,94,96,99,99,99,99,99,99,99,99,99,99,99,96
"12","2014/04/01 18:23",97,97,0,94,96,99,99,99,99,99,99,99,99,99,99,99,86
"13","2014/04/01 18:28",96,96,100,94,96,99,99,99,99,99,99,99,99,99,99,99,95
"14","2014/04/01 18:33",98,97,0,94,96,99,99,99,99,99,99,99,99,97,99,99,86
"15","2014/04/01 18:38",95,96,0,93,96,97,99,99,99,99,99,99,98,96,98,98,94
"16","2014/04/01 18:43",95,96,0,94,96,97,99,99,98,99,99,99,98,98,98,99,91
