PHY_Short_LDEV_13-12.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:FE:1E","00:FE:30"
"1","2014/04/01 17:28",-4,-4
"2","2014/04/01 17:33",9,6
"3","2014/04/01 17:38",9,6
"4","2014/04/01 17:43",9,6
"5","2014/04/01 17:48",10,6
"6","2014/04/01 17:53",9,5
"7","2014/04/01 17:58",8,3
"8","2014/04/01 18:03",7,4
"9","2014/04/01 18:08",12,7
"10","2014/04/01 18:13",6,4
"11","2014/04/01 18:18",7,4
"12","2014/04/01 18:23",7,5
"13","2014/04/01 18:28",8,6
"14","2014/04/01 18:33",7,5
"15","2014/04/01 18:38",7,4
"16","2014/04/01 18:43",7,4
"17","2014/04/01 18:48",8,6
"18","2014/04/01 18:53",8,5
"19","2014/04/01 18:58",6,4
"20","2014/04/01 19:03",9,5
"21","2014/04/01 19:08",13,7
"22","2014/04/01 19:13",8,4
"23","2014/04/01 19:18",9,6
"24","2014/04/01 19:23",9,5
"25","2014/04/01 19:28",10,7
"26","2014/04/01 19:33",10,6
"27","2014/04/01 19:38",9,5
"28","2014/04/01 19:43",30,18
"29","2014/04/01 19:48",16,9
"30","2014/04/01 19:53",13,10
"31","2014/04/01 19:58",10,5
"32","2014/04/01 20:03",12,7
"33","2014/04/01 20:08",13,8
"34","2014/04/01 20:13",10,6
"35","2014/04/01 20:18",8,4
"36","2014/04/01 20:23",8,4
"37","2014/04/01 20:28",8,5
"38","2014/04/01 20:33",9,5
"39","2014/04/01 20:38",8,5
"40","2014/04/01 20:43",7,4
"41","2014/04/01 20:48",7,4
"42","2014/04/01 20:53",7,3
"43","2014/04/01 20:58",7,4
"44","2014/04/01 21:03",9,5
"45","2014/04/01 21:08",13,9
"46","2014/04/01 21:13",9,5
"47","2014/04/01 21:18",10,5
"48","2014/04/01 21:23",9,5
"49","2014/04/01 21:28",7,7
"50","2014/04/01 21:33",8,7
"51","2014/04/01 21:38",8,6
"52","2014/04/01 21:43",9,5
"53","2014/04/01 21:48",9,6
"54","2014/04/01 21:53",8,6
"55","2014/04/01 21:58",5,3
"56","2014/04/01 22:03",7,5
"57","2014/04/01 22:08",15,11
"58","2014/04/01 22:13",9,6
"59","2014/04/01 22:18",8,5
"60","2014/04/01 22:23",8,6
"61","2014/04/01 22:28",9,9
"62","2014/04/01 22:33",9,5
"63","2014/04/01 22:38",11,6
"64","2014/04/01 22:43",9,6
"65","2014/04/01 22:48",11,6
"66","2014/04/01 22:53",14,7
"67","2014/04/01 22:58",15,8
"68","2014/04/01 23:03",17,11
"69","2014/04/01 23:08",22,14
"70","2014/04/01 23:13",16,9
"71","2014/04/01 23:18",15,12
"72","2014/04/01 23:23",17,12
"73","2014/04/01 23:28",14,11
"74","2014/04/01 23:33",15,8
"75","2014/04/01 23:38",15,10
"76","2014/04/01 23:43",18,11
"77","2014/04/01 23:48",16,8
"78","2014/04/01 23:53",19,8
"79","2014/04/01 23:58",15,9
"80","2014/04/02 00:03",12,7
"81","2014/04/02 00:08",17,10
"82","2014/04/02 00:13",10,7
"83","2014/04/02 00:18",11,9
"84","2014/04/02 00:23",11,6
"85","2014/04/02 00:28",8,5
"86","2014/04/02 00:33",10,7
"87","2014/04/02 00:38",9,5
"88","2014/04/02 00:43",7,4
"89","2014/04/02 00:48",7,4
"90","2014/04/02 00:53",9,5
"91","2014/04/02 00:58",10,5
"92","2014/04/02 01:03",8,5
"93","2014/04/02 01:08",12,8
"94","2014/04/02 01:13",7,4
"95","2014/04/02 01:18",9,8
"96","2014/04/02 01:23",8,7
