PHY_Short_LDEV_13-8.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:FE:1F","00:FE:27","00:FE:32","00:FE:33"
"1","2014/04/01 17:28",-4,-4,-4,-4
"2","2014/04/01 17:33",6,9,10,10
"3","2014/04/01 17:38",7,10,9,10
"4","2014/04/01 17:43",6,10,9,10
"5","2014/04/01 17:48",6,11,10,10
"6","2014/04/01 17:53",5,7,7,9
"7","2014/04/01 17:58",6,6,6,7
"8","2014/04/01 18:03",4,9,8,10
"9","2014/04/01 18:08",7,12,11,12
"10","2014/04/01 18:13",4,7,6,7
"11","2014/04/01 18:18",5,7,7,9
"12","2014/04/01 18:23",5,8,8,9
"13","2014/04/01 18:28",5,8,9,9
"14","2014/04/01 18:33",5,7,9,9
"15","2014/04/01 18:38",5,7,7,8
"16","2014/04/01 18:43",4,7,8,9
"17","2014/04/01 18:48",5,6,10,8
"18","2014/04/01 18:53",4,8,9,10
"19","2014/04/01 18:58",4,6,7,8
"20","2014/04/01 19:03",5,8,7,9
"21","2014/04/01 19:08",7,13,11,13
"22","2014/04/01 19:13",5,7,7,8
"23","2014/04/01 19:18",6,10,10,11
"24","2014/04/01 19:23",6,9,8,10
"25","2014/04/01 19:28",6,10,10,13
"26","2014/04/01 19:33",7,9,10,11
"27","2014/04/01 19:38",6,10,9,11
"28","2014/04/01 19:43",14,18,22,24
"29","2014/04/01 19:48",11,15,18,18
"30","2014/04/01 19:53",8,13,15,15
"31","2014/04/01 19:58",6,9,9,11
"32","2014/04/01 20:03",7,11,11,13
"33","2014/04/01 20:08",7,12,12,13
"34","2014/04/01 20:13",6,10,10,11
"35","2014/04/01 20:18",5,8,8,9
"36","2014/04/01 20:23",5,7,9,9
"37","2014/04/01 20:28",5,9,8,11
"38","2014/04/01 20:33",6,9,10,10
"39","2014/04/01 20:38",5,8,8,10
"40","2014/04/01 20:43",5,7,8,9
"41","2014/04/01 20:48",4,7,8,9
"42","2014/04/01 20:53",4,6,7,8
"43","2014/04/01 20:58",4,6,8,9
"44","2014/04/01 21:03",5,8,9,11
"45","2014/04/01 21:08",7,11,14,16
"46","2014/04/01 21:13",5,7,10,11
"47","2014/04/01 21:18",6,8,9,9
"48","2014/04/01 21:23",5,8,9,12
"49","2014/04/01 21:28",5,8,11,11
"50","2014/04/01 21:33",5,9,12,12
"51","2014/04/01 21:38",5,8,10,10
"52","2014/04/01 21:43",6,9,8,8
"53","2014/04/01 21:48",6,12,9,8
"54","2014/04/01 21:53",5,8,9,10
"55","2014/04/01 21:58",3,5,5,5
"56","2014/04/01 22:03",4,7,9,9
"57","2014/04/01 22:08",9,17,18,18
"58","2014/04/01 22:13",6,11,11,13
"59","2014/04/01 22:18",5,8,7,8
"60","2014/04/01 22:23",5,9,10,10
"61","2014/04/01 22:28",6,10,14,14
"62","2014/04/01 22:33",6,13,12,12
"63","2014/04/01 22:38",7,10,11,11
"64","2014/04/01 22:43",6,9,10,12
"65","2014/04/01 22:48",7,9,11,11
"66","2014/04/01 22:53",9,10,13,13
"67","2014/04/01 22:58",10,12,14,13
"68","2014/04/01 23:03",9,18,18,19
"69","2014/04/01 23:08",13,17,20,20
"70","2014/04/01 23:13",10,15,16,16
"71","2014/04/01 23:18",9,18,16,15
"72","2014/04/01 23:23",8,11,16,15
"73","2014/04/01 23:28",9,14,15,18
"74","2014/04/01 23:33",10,12,15,19
"75","2014/04/01 23:38",9,15,16,15
"76","2014/04/01 23:43",12,13,17,16
"77","2014/04/01 23:48",12,16,14,13
"78","2014/04/01 23:53",11,13,15,15
"79","2014/04/01 23:58",10,14,15,16
"80","2014/04/02 00:03",9,16,13,13
"81","2014/04/02 00:08",11,16,14,14
"82","2014/04/02 00:13",7,11,11,11
"83","2014/04/02 00:18",7,11,16,14
"84","2014/04/02 00:23",7,10,10,14
"85","2014/04/02 00:28",7,8,10,10
"86","2014/04/02 00:33",7,9,9,10
"87","2014/04/02 00:38",5,9,9,11
"88","2014/04/02 00:43",6,7,8,7
"89","2014/04/02 00:48",4,6,7,7
"90","2014/04/02 00:53",7,11,7,9
"91","2014/04/02 00:58",8,8,8,8
"92","2014/04/02 01:03",5,8,8,9
"93","2014/04/02 01:08",8,16,12,13
"94","2014/04/02 01:13",4,9,9,8
"95","2014/04/02 01:18",6,9,12,10
"96","2014/04/02 01:23",5,7,15,12
