PHY_Short_LDEV_13-16.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:E7","00:1A:1B","00:FE:26","00:FE:31"
"1","2014/04/01 17:28",-4,-4,-4,-4
"2","2014/04/01 17:33",6,7,1,5
"3","2014/04/01 17:38",5,6,1,5
"4","2014/04/01 17:43",5,6,1,5
"5","2014/04/01 17:48",5,5,1,5
"6","2014/04/01 17:53",6,5,1,4
"7","2014/04/01 17:58",4,5,0,3
"8","2014/04/01 18:03",4,5,1,4
"9","2014/04/01 18:08",6,7,1,6
"10","2014/04/01 18:13",4,5,1,4
"11","2014/04/01 18:18",4,6,1,3
"12","2014/04/01 18:23",4,5,1,4
"13","2014/04/01 18:28",5,6,1,5
"14","2014/04/01 18:33",4,5,1,4
"15","2014/04/01 18:38",4,5,1,4
"16","2014/04/01 18:43",5,5,1,4
"17","2014/04/01 18:48",4,4,1,5
"18","2014/04/01 18:53",4,4,1,4
"19","2014/04/01 18:58",4,3,1,3
"20","2014/04/01 19:03",4,4,1,4
"21","2014/04/01 19:08",6,6,1,6
"22","2014/04/01 19:13",4,4,1,4
"23","2014/04/01 19:18",5,5,1,4
"24","2014/04/01 19:23",5,5,1,4
"25","2014/04/01 19:28",10,9,1,5
"26","2014/04/01 19:33",9,8,1,5
"27","2014/04/01 19:38",6,6,1,4
"28","2014/04/01 19:43",20,20,3,14
"29","2014/04/01 19:48",11,11,2,7
"30","2014/04/01 19:53",7,8,2,7
"31","2014/04/01 19:58",6,5,1,5
"32","2014/04/01 20:03",6,7,1,6
"33","2014/04/01 20:08",6,7,1,6
"34","2014/04/01 20:13",5,5,1,5
"35","2014/04/01 20:18",5,4,1,4
"36","2014/04/01 20:23",4,5,1,4
"37","2014/04/01 20:28",5,4,1,5
"38","2014/04/01 20:33",5,5,1,5
"39","2014/04/01 20:38",4,5,1,4
"40","2014/04/01 20:43",4,4,1,4
"41","2014/04/01 20:48",4,4,1,4
"42","2014/04/01 20:53",4,4,0,3
"43","2014/04/01 20:58",4,4,1,3
"44","2014/04/01 21:03",5,5,1,4
"45","2014/04/01 21:08",7,6,1,7
"46","2014/04/01 21:13",5,5,1,4
"47","2014/04/01 21:18",6,5,1,4
"48","2014/04/01 21:23",5,6,1,4
"49","2014/04/01 21:28",4,5,1,4
"50","2014/04/01 21:33",5,5,1,5
"51","2014/04/01 21:38",5,4,1,4
"52","2014/04/01 21:43",5,5,1,3
"53","2014/04/01 21:48",4,4,1,4
"54","2014/04/01 21:53",5,4,1,4
"55","2014/04/01 21:58",3,3,0,2
"56","2014/04/01 22:03",4,4,1,4
"57","2014/04/01 22:08",9,8,3,9
"58","2014/04/01 22:13",6,6,1,5
"59","2014/04/01 22:18",5,4,1,4
"60","2014/04/01 22:23",5,5,1,4
"61","2014/04/01 22:28",5,5,1,6
"62","2014/04/01 22:33",6,6,2,5
"63","2014/04/01 22:38",6,6,1,6
"64","2014/04/01 22:43",5,5,1,6
"65","2014/04/01 22:48",5,6,1,6
"66","2014/04/01 22:53",6,6,1,7
"67","2014/04/01 22:58",6,7,1,7
"68","2014/04/01 23:03",9,9,2,9
"69","2014/04/01 23:08",10,10,3,12
"70","2014/04/01 23:13",9,8,2,8
"71","2014/04/01 23:18",9,8,2,10
"72","2014/04/01 23:23",9,8,2,9
"73","2014/04/01 23:28",7,7,2,8
"74","2014/04/01 23:33",7,8,2,7
"75","2014/04/01 23:38",8,9,1,10
"76","2014/04/01 23:43",12,11,2,11
"77","2014/04/01 23:48",9,8,2,10
"78","2014/04/01 23:53",8,7,2,9
"79","2014/04/01 23:58",7,8,2,8
"80","2014/04/02 00:03",7,6,2,7
"81","2014/04/02 00:08",10,10,2,11
"82","2014/04/02 00:13",5,7,1,7
"83","2014/04/02 00:18",6,6,1,8
"84","2014/04/02 00:23",6,6,1,6
"85","2014/04/02 00:28",5,6,1,6
"86","2014/04/02 00:33",6,6,1,6
"87","2014/04/02 00:38",4,4,1,5
"88","2014/04/02 00:43",5,5,0,4
"89","2014/04/02 00:48",4,6,1,4
"90","2014/04/02 00:53",4,4,1,4
"91","2014/04/02 00:58",5,4,1,4
"92","2014/04/02 01:03",4,5,1,4
"93","2014/04/02 01:08",7,7,2,7
"94","2014/04/02 01:13",4,4,1,5
"95","2014/04/02 01:18",6,6,1,7
"96","2014/04/02 01:23",4,4,1,6
