PHY_Short_LDEV_13-10.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:FE:1D","00:FE:23","00:FE:24"
"1","2014/04/01 17:28",-4,-4,-4
"2","2014/04/01 17:33",10,9,9
"3","2014/04/01 17:38",10,10,9
"4","2014/04/01 17:43",10,10,9
"5","2014/04/01 17:48",10,10,9
"6","2014/04/01 17:53",10,9,8
"7","2014/04/01 17:58",9,7,7
"8","2014/04/01 18:03",8,9,8
"9","2014/04/01 18:08",11,12,12
"10","2014/04/01 18:13",7,6,7
"11","2014/04/01 18:18",8,8,8
"12","2014/04/01 18:23",9,7,7
"13","2014/04/01 18:28",9,7,8
"14","2014/04/01 18:33",8,7,7
"15","2014/04/01 18:38",7,7,7
"16","2014/04/01 18:43",8,7,7
"17","2014/04/01 18:48",8,7,7
"18","2014/04/01 18:53",9,9,8
"19","2014/04/01 18:58",7,6,6
"20","2014/04/01 19:03",9,8,8
"21","2014/04/01 19:08",13,12,12
"22","2014/04/01 19:13",9,8,8
"23","2014/04/01 19:18",10,9,10
"24","2014/04/01 19:23",10,9,9
"25","2014/04/01 19:28",10,9,10
"26","2014/04/01 19:33",11,9,9
"27","2014/04/01 19:38",10,9,9
"28","2014/04/01 19:43",29,24,22
"29","2014/04/01 19:48",19,16,15
"30","2014/04/01 19:53",15,14,12
"31","2014/04/01 19:58",11,9,9
"32","2014/04/01 20:03",13,12,12
"33","2014/04/01 20:08",13,11,12
"34","2014/04/01 20:13",11,10,10
"35","2014/04/01 20:18",9,8,8
"36","2014/04/01 20:23",9,8,7
"37","2014/04/01 20:28",9,9,8
"38","2014/04/01 20:33",11,9,9
"39","2014/04/01 20:38",9,7,7
"40","2014/04/01 20:43",9,7,7
"41","2014/04/01 20:48",8,7,7
"42","2014/04/01 20:53",8,7,7
"43","2014/04/01 20:58",7,7,7
"44","2014/04/01 21:03",10,8,7
"45","2014/04/01 21:08",12,10,11
"46","2014/04/01 21:13",11,8,7
"47","2014/04/01 21:18",10,8,8
"48","2014/04/01 21:23",10,8,8
"49","2014/04/01 21:28",9,9,7
"50","2014/04/01 21:33",9,8,8
"51","2014/04/01 21:38",8,8,7
"52","2014/04/01 21:43",9,9,9
"53","2014/04/01 21:48",9,11,10
"54","2014/04/01 21:53",9,8,8
"55","2014/04/01 21:58",5,5,5
"56","2014/04/01 22:03",7,7,7
"57","2014/04/01 22:08",15,16,15
"58","2014/04/01 22:13",10,9,9
"59","2014/04/01 22:18",8,7,7
"60","2014/04/01 22:23",9,8,8
"61","2014/04/01 22:28",11,10,10
"62","2014/04/01 22:33",11,12,13
"63","2014/04/01 22:38",12,11,11
"64","2014/04/01 22:43",9,11,9
"65","2014/04/01 22:48",13,11,10
"66","2014/04/01 22:53",13,13,10
"67","2014/04/01 22:58",14,16,13
"68","2014/04/01 23:03",18,21,21
"69","2014/04/01 23:08",22,22,21
"70","2014/04/01 23:13",15,16,16
"71","2014/04/01 23:18",15,16,15
"72","2014/04/01 23:23",15,15,14
"73","2014/04/01 23:28",13,15,15
"74","2014/04/01 23:33",15,14,15
"75","2014/04/01 23:38",14,16,15
"76","2014/04/01 23:43",18,17,19
"77","2014/04/01 23:48",15,18,17
"78","2014/04/01 23:53",18,16,16
"79","2014/04/01 23:58",13,19,16
"80","2014/04/02 00:03",13,15,15
"81","2014/04/02 00:08",16,16,18
"82","2014/04/02 00:13",11,13,12
"83","2014/04/02 00:18",12,13,12
"84","2014/04/02 00:23",10,11,10
"85","2014/04/02 00:28",10,10,9
"86","2014/04/02 00:33",10,12,11
"87","2014/04/02 00:38",11,10,9
"88","2014/04/02 00:43",8,8,8
"89","2014/04/02 00:48",9,9,9
"90","2014/04/02 00:53",10,10,9
"91","2014/04/02 00:58",12,9,9
"92","2014/04/02 01:03",7,12,10
"93","2014/04/02 01:08",11,14,14
"94","2014/04/02 01:13",8,9,8
"95","2014/04/02 01:18",9,10,9
"96","2014/04/02 01:23",8,10,8
