PHY_Short_LDEV_13-4.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:FE:39","00:FE:3A","00:FE:43"
"1","2014/04/01 17:28",-4,-4,-4
"2","2014/04/01 17:33",11,11,9
"3","2014/04/01 17:38",12,10,8
"4","2014/04/01 17:43",11,10,8
"5","2014/04/01 17:48",12,11,7
"6","2014/04/01 17:53",10,10,10
"7","2014/04/01 17:58",8,7,5
"8","2014/04/01 18:03",10,8,7
"9","2014/04/01 18:08",12,11,11
"10","2014/04/01 18:13",9,7,6
"11","2014/04/01 18:18",9,8,6
"12","2014/04/01 18:23",9,8,7
"13","2014/04/01 18:28",9,7,7
"14","2014/04/01 18:33",9,6,6
"15","2014/04/01 18:38",9,7,7
"16","2014/04/01 18:43",9,7,7
"17","2014/04/01 18:48",7,6,6
"18","2014/04/01 18:53",7,6,6
"19","2014/04/01 18:58",6,6,5
"20","2014/04/01 19:03",7,6,6
"21","2014/04/01 19:08",11,10,10
"22","2014/04/01 19:13",7,6,7
"23","2014/04/01 19:18",9,8,7
"24","2014/04/01 19:23",9,7,7
"25","2014/04/01 19:28",11,10,9
"26","2014/04/01 19:33",10,8,9
"27","2014/04/01 19:38",10,9,7
"28","2014/04/01 19:43",26,24,26
"29","2014/04/01 19:48",21,19,20
"30","2014/04/01 19:53",17,15,15
"31","2014/04/01 19:58",12,9,9
"32","2014/04/01 20:03",10,9,12
"33","2014/04/01 20:08",12,11,11
"34","2014/04/01 20:13",9,8,8
"35","2014/04/01 20:18",8,7,7
"36","2014/04/01 20:23",8,7,7
"37","2014/04/01 20:28",8,7,8
"38","2014/04/01 20:33",9,7,9
"39","2014/04/01 20:38",8,7,8
"40","2014/04/01 20:43",7,7,7
"41","2014/04/01 20:48",7,6,7
"42","2014/04/01 20:53",7,6,6
"43","2014/04/01 20:58",7,6,6
"44","2014/04/01 21:03",9,7,9
"45","2014/04/01 21:08",13,12,12
"46","2014/04/01 21:13",9,7,9
"47","2014/04/01 21:18",9,7,10
"48","2014/04/01 21:23",10,9,10
"49","2014/04/01 21:28",10,9,10
"50","2014/04/01 21:33",10,8,9
"51","2014/04/01 21:38",7,6,7
"52","2014/04/01 21:43",7,6,6
"53","2014/04/01 21:48",7,5,6
"54","2014/04/01 21:53",7,7,7
"55","2014/04/01 21:58",4,4,5
"56","2014/04/01 22:03",7,6,8
"57","2014/04/01 22:08",17,15,17
"58","2014/04/01 22:13",12,11,11
"59","2014/04/01 22:18",8,7,10
"60","2014/04/01 22:23",9,9,8
"61","2014/04/01 22:28",10,10,9
"62","2014/04/01 22:33",12,11,9
"63","2014/04/01 22:38",9,8,11
"64","2014/04/01 22:43",7,7,9
"65","2014/04/01 22:48",10,10,10
"66","2014/04/01 22:53",10,9,11
"67","2014/04/01 22:58",12,11,12
"68","2014/04/01 23:03",14,13,15
"69","2014/04/01 23:08",19,18,19
"70","2014/04/01 23:13",15,14,16
"71","2014/04/01 23:18",15,15,16
"72","2014/04/01 23:23",15,14,15
"73","2014/04/01 23:28",14,14,12
"74","2014/04/01 23:33",16,14,12
"75","2014/04/01 23:38",17,16,15
"76","2014/04/01 23:43",17,17,22
"77","2014/04/01 23:48",15,12,13
"78","2014/04/01 23:53",13,13,15
"79","2014/04/01 23:58",13,12,13
"80","2014/04/02 00:03",13,12,13
"81","2014/04/02 00:08",15,14,16
"82","2014/04/02 00:13",11,10,11
"83","2014/04/02 00:18",9,10,10
"84","2014/04/02 00:23",9,9,9
"85","2014/04/02 00:28",11,12,10
"86","2014/04/02 00:33",11,12,10
"87","2014/04/02 00:38",8,8,9
"88","2014/04/02 00:43",8,6,11
"89","2014/04/02 00:48",7,8,8
"90","2014/04/02 00:53",7,7,9
"91","2014/04/02 00:58",7,7,7
"92","2014/04/02 01:03",7,6,8
"93","2014/04/02 01:08",11,11,11
"94","2014/04/02 01:13",8,6,7
"95","2014/04/02 01:18",9,7,10
"96","2014/04/02 01:23",7,6,7
