PHY_Short_LDEV_5-10.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:B4","00:01:E2","00:01:E3"
"1","2014/04/01 17:28",-4,-4,-4
"2","2014/04/01 17:33",10,8,4
"3","2014/04/01 17:38",10,7,4
"4","2014/04/01 17:43",9,7,4
"5","2014/04/01 17:48",9,7,4
"6","2014/04/01 17:53",8,6,4
"7","2014/04/01 17:58",7,6,3
"8","2014/04/01 18:03",7,5,3
"9","2014/04/01 18:08",11,8,5
"10","2014/04/01 18:13",6,5,2
"11","2014/04/01 18:18",7,5,3
"12","2014/04/01 18:23",7,5,3
"13","2014/04/01 18:28",7,5,3
"14","2014/04/01 18:33",7,5,3
"15","2014/04/01 18:38",7,5,3
"16","2014/04/01 18:43",8,5,3
"17","2014/04/01 18:48",6,5,3
"18","2014/04/01 18:53",7,5,3
"19","2014/04/01 18:58",6,4,2
"20","2014/04/01 19:03",9,5,3
"21","2014/04/01 19:08",12,8,5
"22","2014/04/01 19:13",8,5,3
"23","2014/04/01 19:18",8,6,4
"24","2014/04/01 19:23",8,6,3
"25","2014/04/01 19:28",9,7,3
"26","2014/04/01 19:33",10,8,4
"27","2014/04/01 19:38",9,7,3
"28","2014/04/01 19:43",35,20,11
"29","2014/04/01 19:48",18,13,6
"30","2014/04/01 19:53",13,9,5
"31","2014/04/01 19:58",11,6,4
"32","2014/04/01 20:03",12,9,4
"33","2014/04/01 20:08",13,9,5
"34","2014/04/01 20:13",9,6,4
"35","2014/04/01 20:18",8,6,3
"36","2014/04/01 20:23",8,6,3
"37","2014/04/01 20:28",8,5,3
"38","2014/04/01 20:33",9,6,3
"39","2014/04/01 20:38",7,5,3
"40","2014/04/01 20:43",7,5,3
"41","2014/04/01 20:48",7,6,3
"42","2014/04/01 20:53",7,5,2
"43","2014/04/01 20:58",7,4,2
"44","2014/04/01 21:03",9,6,3
"45","2014/04/01 21:08",13,10,5
"46","2014/04/01 21:13",10,8,3
"47","2014/04/01 21:18",10,7,3
"48","2014/04/01 21:23",11,7,3
"49","2014/04/01 21:28",8,6,3
"50","2014/04/01 21:33",8,6,3
"51","2014/04/01 21:38",8,6,3
"52","2014/04/01 21:43",8,6,3
"53","2014/04/01 21:48",7,6,3
"54","2014/04/01 21:53",8,7,3
"55","2014/04/01 21:58",6,4,2
"56","2014/04/01 22:03",7,4,2
"57","2014/04/01 22:08",14,11,6
"58","2014/04/01 22:13",10,8,4
"59","2014/04/01 22:18",9,6,3
"60","2014/04/01 22:23",9,6,3
"61","2014/04/01 22:28",10,7,3
"62","2014/04/01 22:33",11,7,4
"63","2014/04/01 22:38",15,10,5
"64","2014/04/01 22:43",13,8,4
"65","2014/04/01 22:48",13,9,5
"66","2014/04/01 22:53",11,8,5
"67","2014/04/01 22:58",14,10,6
"68","2014/04/01 23:03",16,12,8
"69","2014/04/01 23:08",21,13,8
"70","2014/04/01 23:13",18,12,7
"71","2014/04/01 23:18",16,10,6
"72","2014/04/01 23:23",15,11,6
"73","2014/04/01 23:28",13,9,5
"74","2014/04/01 23:33",13,11,6
"75","2014/04/01 23:38",14,11,6
"76","2014/04/01 23:43",18,13,7
"77","2014/04/01 23:48",19,12,6
"78","2014/04/01 23:53",16,13,7
"79","2014/04/01 23:58",14,9,5
"80","2014/04/02 00:03",14,9,4
"81","2014/04/02 00:08",18,12,7
"82","2014/04/02 00:13",12,8,3
"83","2014/04/02 00:18",12,8,4
"84","2014/04/02 00:23",11,7,4
"85","2014/04/02 00:28",11,7,3
"86","2014/04/02 00:33",10,9,3
"87","2014/04/02 00:38",10,7,4
"88","2014/04/02 00:43",8,5,2
"89","2014/04/02 00:48",10,6,3
"90","2014/04/02 00:53",12,8,4
"91","2014/04/02 00:58",9,7,4
"92","2014/04/02 01:03",7,4,2
"93","2014/04/02 01:08",12,9,4
"94","2014/04/02 01:13",9,6,3
"95","2014/04/02 01:18",8,6,3
"96","2014/04/02 01:23",9,6,3
