PHY_Short_LDEV_5-7.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:FE:28","00:FE:29"
"1","2014/04/01 17:28",-4,-4
"2","2014/04/01 17:33",10,10
"3","2014/04/01 17:38",10,9
"4","2014/04/01 17:43",9,8
"5","2014/04/01 17:48",11,10
"6","2014/04/01 17:53",8,7
"7","2014/04/01 17:58",6,5
"8","2014/04/01 18:03",8,7
"9","2014/04/01 18:08",12,10
"10","2014/04/01 18:13",7,6
"11","2014/04/01 18:18",7,6
"12","2014/04/01 18:23",8,7
"13","2014/04/01 18:28",8,7
"14","2014/04/01 18:33",7,6
"15","2014/04/01 18:38",8,7
"16","2014/04/01 18:43",8,7
"17","2014/04/01 18:48",8,6
"18","2014/04/01 18:53",8,7
"19","2014/04/01 18:58",6,5
"20","2014/04/01 19:03",9,7
"21","2014/04/01 19:08",13,11
"22","2014/04/01 19:13",8,7
"23","2014/04/01 19:18",11,8
"24","2014/04/01 19:23",10,7
"25","2014/04/01 19:28",11,8
"26","2014/04/01 19:33",10,7
"27","2014/04/01 19:38",9,7
"28","2014/04/01 19:43",33,22
"29","2014/04/01 19:48",19,13
"30","2014/04/01 19:53",15,11
"31","2014/04/01 19:58",10,8
"32","2014/04/01 20:03",13,11
"33","2014/04/01 20:08",13,11
"34","2014/04/01 20:13",10,8
"35","2014/04/01 20:18",8,7
"36","2014/04/01 20:23",8,6
"37","2014/04/01 20:28",10,9
"38","2014/04/01 20:33",10,8
"39","2014/04/01 20:38",8,7
"40","2014/04/01 20:43",7,6
"41","2014/04/01 20:48",8,6
"42","2014/04/01 20:53",6,5
"43","2014/04/01 20:58",7,6
"44","2014/04/01 21:03",10,8
"45","2014/04/01 21:08",15,11
"46","2014/04/01 21:13",10,8
"47","2014/04/01 21:18",9,8
"48","2014/04/01 21:23",10,8
"49","2014/04/01 21:28",9,7
"50","2014/04/01 21:33",11,8
"51","2014/04/01 21:38",8,7
"52","2014/04/01 21:43",9,8
"53","2014/04/01 21:48",12,11
"54","2014/04/01 21:53",8,7
"55","2014/04/01 21:58",6,4
"56","2014/04/01 22:03",7,6
"57","2014/04/01 22:08",17,16
"58","2014/04/01 22:13",10,10
"59","2014/04/01 22:18",8,6
"60","2014/04/01 22:23",9,9
"61","2014/04/01 22:28",12,11
"62","2014/04/01 22:33",11,12
"63","2014/04/01 22:38",12,9
"64","2014/04/01 22:43",8,7
"65","2014/04/01 22:48",11,9
"66","2014/04/01 22:53",12,10
"67","2014/04/01 22:58",14,12
"68","2014/04/01 23:03",20,18
"69","2014/04/01 23:08",25,23
"70","2014/04/01 23:13",22,15
"71","2014/04/01 23:18",18,17
"72","2014/04/01 23:23",16,14
"73","2014/04/01 23:28",15,14
"74","2014/04/01 23:33",14,12
"75","2014/04/01 23:38",14,13
"76","2014/04/01 23:43",15,13
"77","2014/04/01 23:48",13,13
"78","2014/04/01 23:53",15,14
"79","2014/04/01 23:58",15,14
"80","2014/04/02 00:03",13,16
"81","2014/04/02 00:08",22,18
"82","2014/04/02 00:13",11,10
"83","2014/04/02 00:18",9,9
"84","2014/04/02 00:23",10,10
"85","2014/04/02 00:28",10,8
"86","2014/04/02 00:33",9,8
"87","2014/04/02 00:38",8,7
"88","2014/04/02 00:43",8,6
"89","2014/04/02 00:48",7,7
"90","2014/04/02 00:53",7,8
"91","2014/04/02 00:58",8,9
"92","2014/04/02 01:03",8,7
"93","2014/04/02 01:08",13,15
"94","2014/04/02 01:13",12,12
"95","2014/04/02 01:18",10,10
"96","2014/04/02 01:23",9,8
