PHY_Short_LDEV_13-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2A:B9","00:3A:9D","00:3A:9E","00:3A:9F","00:3A:A0","00:4A:1E","00:4A:1F","00:4A:20","00:5D:01","00:5D:02","00:5D:03","00:5D:04","00:5D:05","00:5D:06","00:FE:21","00:FE:42"
"18","2014/04/01 18:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
"19","2014/04/01 18:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
"20","2014/04/01 19:03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
"21","2014/04/01 19:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7
"22","2014/04/01 19:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
"23","2014/04/01 19:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
"24","2014/04/01 19:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
"25","2014/04/01 19:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
"26","2014/04/01 19:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6
"27","2014/04/01 19:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
"28","2014/04/01 19:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21
"29","2014/04/01 19:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10
"30","2014/04/01 19:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8
"31","2014/04/01 19:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
"32","2014/04/01 20:03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8
"33","2014/04/01 20:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7
"34","2014/04/01 20:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6
"35","2014/04/01 20:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
"36","2014/04/01 20:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
"37","2014/04/01 20:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
"38","2014/04/01 20:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
"39","2014/04/01 20:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
"40","2014/04/01 20:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
"41","2014/04/01 20:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
"42","2014/04/01 20:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
"43","2014/04/01 20:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
"44","2014/04/01 21:03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
"45","2014/04/01 21:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9
"46","2014/04/01 21:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
"47","2014/04/01 21:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
"48","2014/04/01 21:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
"49","2014/04/01 21:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
"50","2014/04/01 21:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
"51","2014/04/01 21:38",1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
"52","2014/04/01 21:43",1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3
"53","2014/04/01 21:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
"54","2014/04/01 21:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
"55","2014/04/01 21:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
"56","2014/04/01 22:03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
"57","2014/04/01 22:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10
"58","2014/04/01 22:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
"59","2014/04/01 22:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
"60","2014/04/01 22:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
"61","2014/04/01 22:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
"62","2014/04/01 22:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
"63","2014/04/01 22:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
"64","2014/04/01 22:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
"65","2014/04/01 22:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
"66","2014/04/01 22:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6
"67","2014/04/01 22:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6
"68","2014/04/01 23:03",0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,11
"69","2014/04/01 23:08",0,0,0,0,0,0,0,0,0,0,0,0,18,0,24,15
"70","2014/04/01 23:13",0,0,0,0,0,0,0,0,0,0,0,0,11,0,17,13
"71","2014/04/01 23:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9
"72","2014/04/01 23:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9
"73","2014/04/01 23:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8
"74","2014/04/01 23:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6
"75","2014/04/01 23:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12
"76","2014/04/01 23:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11
"77","2014/04/01 23:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9
"78","2014/04/01 23:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9
"79","2014/04/01 23:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8
"80","2014/04/02 00:03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6
"81","2014/04/02 00:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10
"82","2014/04/02 00:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7
"83","2014/04/02 00:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6
"84","2014/04/02 00:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
"85","2014/04/02 00:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
"86","2014/04/02 00:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5
"87","2014/04/02 00:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
"88","2014/04/02 00:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
"89","2014/04/02 00:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
"90","2014/04/02 00:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4
"91","2014/04/02 00:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
"92","2014/04/02 01:03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4
"93","2014/04/02 01:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6
"94","2014/04/02 01:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
"95","2014/04/02 01:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
"96","2014/04/02 01:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
