LDEV_IOPS2C.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2C:06X(X205-1)","00:2C:25X(X204-1)","00:2C:27(5-15)","00:2C:28(5-15)","00:2C:29(5-15)","00:2C:2A(5-15)","00:2C:2B(5-15)","00:2C:2C(5-15)","00:2C:2D(5-15)","00:2C:2E(5-15)","00:2C:2F(5-15)","00:2C:30(5-15)","00:2C:34X(X78-1)","00:2C:35X(X75-1)","00:2C:36X(X76-1)","00:2C:37X(X80-1)","00:2C:38X(X73-1)","00:2C:39X(X77-1)","00:2C:3AX(X79-1)","00:2C:3BX(X72-1)","00:2C:3CX(X623-1)","00:2C:3DX(X74-1)","00:2C:3FX(X622-1)","00:2C:40X(X766-1)","00:2C:42X(X469-1)","00:2C:44X(X119-1)","00:2C:47X(X116-1)","00:2C:4AX(X472-1)","00:2C:4CX(X117-1)","00:2C:4EX(X118-1)","00:2C:58X(X835-1)","00:2C:6BX(X158-1)","00:2C:6CX(X174-1)","00:2C:7AX(X206-1)","00:2C:7E(5-6)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",5,0,0,0,0,0,0,0,0,0,0,0,0,268,0,274,0,268,0,264,0,265,0,265,0,0,0,0,0,0,2,0,0,0,0
"8","2014/04/01 18:03",6,0,0,0,0,0,0,0,0,0,0,0,0,164,0,163,0,164,0,162,0,162,0,161,0,0,0,0,0,0,2,0,0,0,0
"9","2014/04/01 18:08",8,0,0,0,0,0,0,0,0,0,0,0,0,84,0,85,0,84,0,84,0,83,0,84,0,0,0,0,0,0,2,0,0,0,0
"10","2014/04/01 18:13",5,0,0,0,0,0,0,0,0,0,0,0,0,101,0,102,0,101,0,101,0,101,0,101,0,0,0,0,0,0,2,0,0,0,0
"11","2014/04/01 18:18",6,0,0,0,0,0,0,0,0,0,0,0,0,97,0,98,0,97,0,96,0,96,0,96,0,0,0,0,0,0,3,0,0,0,0
"12","2014/04/01 18:23",6,0,0,0,0,0,0,0,0,0,0,0,0,98,0,99,0,98,0,98,0,97,0,97,0,0,0,0,0,0,2,0,0,0,0
"13","2014/04/01 18:28",5,0,0,0,0,0,0,0,0,0,0,0,0,92,0,92,0,92,0,91,0,91,0,91,0,0,0,0,0,0,2,0,0,0,0
"14","2014/04/01 18:33",7,0,0,0,0,0,0,0,0,0,0,0,0,96,0,96,0,95,0,95,0,95,0,95,0,0,0,0,0,0,2,0,0,0,0
"15","2014/04/01 18:38",8,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,99,0,100,0,99,0,0,0,0,0,0,3,0,0,0,0
"16","2014/04/01 18:43",4,0,0,0,0,0,0,0,0,0,0,0,0,133,0,134,0,133,0,132,0,132,0,132,0,0,0,0,0,0,2,0,0,0,0
"17","2014/04/01 18:48",7,0,0,0,0,0,0,0,0,0,0,0,0,103,0,103,0,102,0,102,0,101,0,101,0,0,0,0,0,0,2,0,0,0,0
"18","2014/04/01 18:53",5,0,0,0,0,0,0,0,0,0,0,0,0,97,0,97,0,97,0,95,0,96,0,95,0,0,0,0,0,0,2,0,0,0,0
"19","2014/04/01 18:58",5,0,0,0,0,0,0,0,0,0,0,0,0,107,0,108,0,107,0,107,0,107,0,107,0,0,0,0,0,0,2,0,0,0,0
"20","2014/04/01 19:03",6,0,0,0,0,0,0,0,0,0,0,0,0,93,0,93,0,92,0,92,0,92,0,92,0,0,0,0,0,0,2,0,0,0,0
"21","2014/04/01 19:08",8,0,0,0,0,0,0,0,0,0,0,0,0,85,0,85,0,84,0,84,0,84,0,84,0,0,0,0,0,0,2,0,0,0,0
"22","2014/04/01 19:13",4,0,0,0,0,0,0,0,0,0,0,0,0,99,0,100,0,100,0,99,0,99,0,98,0,0,0,0,0,0,2,0,0,0,0
"23","2014/04/01 19:18",6,0,0,0,0,0,0,0,0,0,0,0,0,94,0,94,0,94,0,93,0,93,0,93,0,0,0,0,0,0,2,0,0,0,0
"24","2014/04/01 19:23",6,0,0,0,0,0,0,0,0,0,0,0,0,96,0,97,0,96,0,96,0,96,0,95,0,0,0,0,0,0,2,0,0,0,0
"25","2014/04/01 19:28",5,0,0,0,0,0,0,0,0,0,0,0,0,129,0,129,0,128,0,128,0,128,0,127,0,0,0,0,0,0,2,0,0,0,0
"26","2014/04/01 19:33",7,0,0,0,0,0,0,0,0,0,0,0,0,87,0,88,0,86,0,86,0,86,0,86,0,0,0,0,0,0,2,0,0,0,0
"27","2014/04/01 19:38",6,0,0,0,0,0,0,0,0,0,0,0,0,91,0,91,0,90,0,90,0,90,0,90,0,0,0,0,0,0,2,0,0,0,0
"28","2014/04/01 19:43",4,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,0,40,0,40,0,40,0,40,0,0,0,0,0,0,2,0,0,0,0
"29","2014/04/01 19:48",5,0,0,0,0,0,0,0,0,0,0,0,0,62,0,62,0,62,0,62,0,62,0,62,0,0,0,0,0,0,2,0,0,0,0
"30","2014/04/01 19:53",5,0,0,0,0,0,0,0,0,0,0,0,0,72,0,72,0,72,0,71,0,72,0,72,0,0,0,0,0,0,2,0,0,0,0
