LDEV_IOPS0C.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:00X(X573-1)","00:0C:01X(X574-1)","00:0C:02X(X575-1)","00:0C:03X(X576-1)","00:0C:04X(X577-1)","00:0C:05X(X578-1)","00:0C:06X(X579-1)","00:0C:07X(X580-1)","00:0C:08X(X581-1)","00:0C:09X(X582-1)","00:0C:0AX(X583-1)","00:0C:0BX(X584-1)","00:0C:0CX(X585-1)"
"72","2014/04/01 23:23",21,25,26,25,22,29,24,21,23,20,23,27,27
"73","2014/04/01 23:28",22,21,20,28,23,21,20,21,23,21,21,20,21
"74","2014/04/01 23:33",18,21,28,19,23,23,23,19,22,19,19,22,22
"75","2014/04/01 23:38",21,23,26,27,22,22,25,24,26,17,21,22,23
"76","2014/04/01 23:43",26,23,30,33,34,31,29,31,27,29,28,31,26
"77","2014/04/01 23:48",24,25,25,25,24,24,23,22,25,24,25,26,25
"78","2014/04/01 23:53",25,23,25,24,27,27,20,23,20,20,23,26,24
"79","2014/04/01 23:58",23,25,25,18,26,24,23,22,25,22,18,25,23
"80","2014/04/02 00:03",26,23,27,22,23,31,24,23,27,22,21,22,26
"81","2014/04/02 00:08",24,29,28,34,28,26,31,32,21,28,28,30,29
"82","2014/04/02 00:13",24,27,27,31,29,28,27,29,29,27,27,27,26
"83","2014/04/02 00:18",24,26,28,30,29,33,28,29,27,27,28,22,28
"84","2014/04/02 00:23",26,28,25,27,26,30,26,28,26,26,22,23,26
"85","2014/04/02 00:28",26,30,30,33,29,28,27,27,33,28,28,26,29
"86","2014/04/02 00:33",23,27,37,30,30,34,29,34,32,35,31,28,34
"87","2014/04/02 00:38",23,26,27,23,25,25,22,28,24,29,23,25,30
"88","2014/04/02 00:43",21,25,26,23,28,29,22,25,26,21,19,26,26
"89","2014/04/02 00:48",21,25,26,26,33,31,21,27,28,25,25,24,29
"90","2014/04/02 00:53",21,29,27,24,25,28,24,25,29,24,22,27,22
"91","2014/04/02 00:58",16,17,17,22,22,18,17,16,19,17,16,17,18
"92","2014/04/02 01:03",18,18,20,23,21,24,19,19,24,18,18,18,18
"93","2014/04/02 01:08",11,12,14,12,16,16,14,12,12,13,10,12,13
"94","2014/04/02 01:13",13,17,23,18,19,23,12,14,20,17,16,14,16
"95","2014/04/02 01:18",12,17,18,19,19,18,17,16,20,16,18,15,17
"96","2014/04/02 01:23",11,16,14,14,16,17,15,20,16,16,12,14,14
