LDEV_C2D_TransF0.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:00X(X175-1)","00:F0:01X(X5-1)","00:F0:02X(X391-1)","00:F0:03X(X270-1)","00:F0:1AX(X450-1)","00:F0:59X(X369-1)","00:F0:67X(X484-1)","00:F0:68X(X485-1)","00:F0:69X(X486-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",1,0,3,2,2,0,37,36,35
"8","2014/04/01 18:03",3,0,5,4,4,0,39,37,36
"9","2014/04/01 18:08",0,0,3,2,2,0,50,49,49
"10","2014/04/01 18:13",1,0,3,2,2,0,41,41,39
"11","2014/04/01 18:18",1,0,3,2,2,0,47,46,45
"12","2014/04/01 18:23",1,0,3,3,3,0,41,40,40
"13","2014/04/01 18:28",1,0,3,3,2,0,58,56,54
"14","2014/04/01 18:33",0,0,3,2,2,0,55,52,54
"15","2014/04/01 18:38",1,0,3,2,3,0,40,39,39
"16","2014/04/01 18:43",1,0,3,3,3,0,41,38,40
"17","2014/04/01 18:48",1,0,3,3,2,0,66,63,64
"18","2014/04/01 18:53",1,0,3,3,2,0,9,9,9
"19","2014/04/01 18:58",1,0,3,2,2,0,1,2,2
"20","2014/04/01 19:03",3,0,5,5,5,0,2,2,2
"21","2014/04/01 19:08",1,0,3,3,3,0,11,11,11
"22","2014/04/01 19:13",1,0,3,3,2,0,2,1,1
"23","2014/04/01 19:18",1,0,3,3,3,0,5,5,5
"24","2014/04/01 19:23",1,0,3,2,3,0,29,27,28
"25","2014/04/01 19:28",1,0,3,2,3,0,48,45,46
"26","2014/04/01 19:33",1,0,3,2,2,0,44,40,40
"27","2014/04/01 19:38",1,0,3,2,3,0,45,41,41
"28","2014/04/01 19:43",1,0,3,3,3,0,37,34,34
"29","2014/04/01 19:48",0,0,3,1,2,0,33,31,31
"30","2014/04/01 19:53",1,0,3,3,2,0,36,34,33
"31","2014/04/01 19:58",1,0,3,3,3,0,21,20,20
"32","2014/04/01 20:03",3,0,5,4,4,0,8,8,8
"33","2014/04/01 20:08",1,0,3,3,2,0,12,12,12
"34","2014/04/01 20:13",1,0,3,3,2,0,2,2,2
"35","2014/04/01 20:18",1,0,3,3,3,0,1,1,1
"36","2014/04/01 20:23",1,0,3,3,2,0,1,1,1
