LDEV_C2D_Trans32.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:32:1B(11-13)","00:32:1C(11-13)","00:32:1D(11-13)","00:32:37X(X858-1)","00:32:38(11-4)","00:32:39(11-4)","00:32:43(11-6)","00:32:44(11-6)","00:32:4CX(X179-1)","00:32:4F(13-5)","00:32:50(13-15)","00:32:51(13-3)","00:32:52(5-4)","00:32:61X(X457-1)","00:32:65X(X160-1)","00:32:66X(X159-1)","00:32:69X(X416-1)","00:32:6AX(X417-1)","00:32:6CX(X424-1)","00:32:6DX(X425-1)","00:32:6EX(X428-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,13,68,1,19
"8","2014/04/01 18:03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,30,1,23
"9","2014/04/01 18:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,19,62,4,19
"10","2014/04/01 18:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,13,95,10,26
"11","2014/04/01 18:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,84,1,24
"12","2014/04/01 18:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,19,34,5,20
"13","2014/04/01 18:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,13,112,1,23
"14","2014/04/01 18:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,105,2,21
"15","2014/04/01 18:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,19,90,5,21
"16","2014/04/01 18:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,13,13,2,25
"17","2014/04/01 18:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,1,36,0,19
"18","2014/04/01 18:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,23,61,4,22
"19","2014/04/01 18:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,22,90,3,21
"20","2014/04/01 19:03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,2,95,8,21
"21","2014/04/01 19:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,21,59,4,24
"22","2014/04/01 19:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,14,76,1,26
"23","2014/04/01 19:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,2,59,0,16
"24","2014/04/01 19:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,28,42,6,24
"25","2014/04/01 19:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,33,159,2,19
"26","2014/04/01 19:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,34,84,0,17
"27","2014/04/01 19:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,50,74,4,24
"28","2014/04/01 19:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,48,80,1,16
"29","2014/04/01 19:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,37,167,0,20
"30","2014/04/01 19:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,19,50,15,22
"31","2014/04/01 19:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,13,89,2,24
"32","2014/04/01 20:03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,1,43,0,24
"33","2014/04/01 20:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,21,133,6,58
"34","2014/04/01 20:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,16,106,2,28
"35","2014/04/01 20:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,3,101,1,14
"36","2014/04/01 20:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,22,63,4,23
"37","2014/04/01 20:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,16,88,2,17
"38","2014/04/01 20:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,3,13,0,24
"39","2014/04/01 20:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,22,56,5,17
"40","2014/04/01 20:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,18,12,13,22
"41","2014/04/01 20:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,216,0,20
"42","2014/04/01 20:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,20,31,5,19
"43","2014/04/01 20:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,15,31,1,23
"44","2014/04/01 21:03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,10,1,19
"45","2014/04/01 21:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,19,34,5,15
"46","2014/04/01 21:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,15,63,1,12
"47","2014/04/01 21:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,3,210,0,13
"48","2014/04/01 21:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,21,27,2,13
"49","2014/04/01 21:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,16,31,5,9
"50","2014/04/01 21:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,3,23,0,14
"51","2014/04/01 21:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,22,9,5,7
