LDEV_Write_Hit_3-9.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:20:1F","00:20:20","00:20:21","00:20:22","00:20:23","00:20:24","00:20:25","00:20:26","00:20:27","00:20:28","00:20:2E","00:20:2F","00:5C:E6"
"1","2014/04/01 17:28",97,94,98,100,98,98,90,86,96,100,92,94,0
"2","2014/04/01 17:33",96,96,97,97,95,92,93,95,90,100,97,96,0
"3","2014/04/01 17:38",94,98,99,98,97,95,90,76,90,0,95,95,0
"4","2014/04/01 17:43",62,97,98,96,95,91,70,52,82,41,96,97,0
"5","2014/04/01 17:48",70,97,89,100,94,95,86,41,100,100,68,85,0
"6","2014/04/01 17:53",74,97,97,95,95,87,86,75,91,100,93,94,0
"7","2014/04/01 17:58",67,98,100,100,97,99,93,68,97,0,93,100,0
"8","2014/04/01 18:03",98,98,96,98,96,94,96,78,91,87,96,98,0
"9","2014/04/01 18:08",88,97,98,100,96,95,89,62,88,0,90,91,0
"10","2014/04/01 18:13",57,94,99,97,97,96,80,67,77,75,96,91,0
"11","2014/04/01 18:18",96,94,97,99,96,94,100,92,94,0,91,98,0
"12","2014/04/01 18:23",97,96,98,95,97,94,86,83,97,79,96,98,0
"13","2014/04/01 18:28",96,98,98,98,97,97,92,88,100,100,94,100,0
"14","2014/04/01 18:33",80,97,97,100,93,89,76,67,82,97,95,95,0
"15","2014/04/01 18:38",38,96,97,94,94,90,68,69,82,0,82,88,0
"16","2014/04/01 18:43",56,96,92,91,93,89,78,48,78,89,94,89,0
"17","2014/04/01 18:48",90,98,95,100,97,97,100,94,93,100,89,83,0
"18","2014/04/01 18:53",84,98,98,99,96,95,97,92,86,100,91,96,0
"19","2014/04/01 18:58",88,97,98,100,98,94,100,92,100,0,95,94,0
"20","2014/04/01 19:03",82,96,98,96,94,97,91,95,96,100,96,95,0
"21","2014/04/01 19:08",32,97,95,91,92,94,78,77,82,97,95,88,0
"22","2014/04/01 19:13",45,98,97,97,95,97,80,65,93,90,85,88,0
"23","2014/04/01 19:18",59,98,91,94,93,92,87,86,80,100,88,81,0
"24","2014/04/01 19:23",40,98,98,99,96,96,64,80,82,100,92,92,0
"25","2014/04/01 19:28",67,94,97,92,95,93,85,58,88,97,94,86,0
"26","2014/04/01 19:33",74,94,91,95,90,85,51,50,88,0,96,95,0
"27","2014/04/01 19:38",87,96,98,97,98,95,73,84,85,83,87,91,0
"28","2014/04/01 19:43",94,97,98,98,97,96,100,97,87,100,94,91,0
"29","2014/04/01 19:48",91,97,97,100,96,97,90,78,100,100,93,86,0
"30","2014/04/01 19:53",77,97,97,100,97,98,86,81,95,99,91,92,0
"31","2014/04/01 19:58",96,98,97,99,98,97,100,97,100,100,96,90,0
"32","2014/04/01 20:03",97,98,96,96,96,98,94,71,97,100,97,95,0
"33","2014/04/01 20:08",73,98,98,95,96,97,94,84,84,100,88,92,0
"34","2014/04/01 20:13",93,97,98,97,95,98,94,91,96,100,95,90,0
"35","2014/04/01 20:18",100,94,94,97,97,96,96,88,100,0,92,91,0
"36","2014/04/01 20:23",95,94,98,98,97,98,97,100,79,100,94,100,0
"37","2014/04/01 20:28",99,98,98,98,97,98,92,87,97,100,98,90,0
"38","2014/04/01 20:33",97,98,97,98,96,98,100,96,96,100,95,96,0
"39","2014/04/01 20:38",99,97,99,96,98,95,94,86,92,100,95,95,0
"40","2014/04/01 20:43",97,97,99,94,94,92,89,80,96,85,100,91,0
"41","2014/04/01 20:48",98,97,95,100,96,95,93,93,100,100,98,86,0
"42","2014/04/01 20:53",98,98,99,100,98,97,94,88,100,100,94,95,0
"43","2014/04/01 20:58",99,99,99,100,99,97,100,92,83,100,98,94,0
"44","2014/04/01 21:03",97,97,97,96,95,98,89,95,84,95,98,97,0
"45","2014/04/01 21:08",94,98,98,100,97,96,97,100,93,100,93,96,0
"46","2014/04/01 21:13",96,98,98,100,98,98,100,93,83,0,96,95,0
"47","2014/04/01 21:18",98,98,98,99,97,99,100,95,96,92,83,82,0
"48","2014/04/01 21:23",97,98,99,96,99,96,95,97,100,100,92,96,0
"49","2014/04/01 21:28",97,98,98,100,98,97,100,100,100,100,100,94,0
"50","2014/04/01 21:33",98,95,98,97,95,97,100,90,96,100,98,100,0
"51","2014/04/01 21:38",99,94,99,100,95,98,89,92,96,100,100,96,0
"52","2014/04/01 21:43",98,97,99,71,98,97,90,84,96,98,97,100,0
"53","2014/04/01 21:48",95,98,95,100,97,97,87,63,88,100,68,83,0
"54","2014/04/01 21:53",97,98,98,97,98,97,91,80,96,60,93,95,0
"55","2014/04/01 21:58",96,98,100,98,99,98,100,100,100,100,100,89,0
"56","2014/04/01 22:03",98,98,95,96,98,94,100,94,96,100,97,93,0
"57","2014/04/01 22:08",98,98,96,96,98,96,80,73,87,0,95,93,0
"58","2014/04/01 22:13",98,98,100,100,95,96,100,66,85,100,98,95,0
"59","2014/04/01 22:18",100,97,98,96,97,96,89,91,88,72,89,92,0
"60","2014/04/01 22:23",96,98,98,98,98,96,100,100,100,0,95,96,0
"61","2014/04/01 22:28",96,98,98,96,97,98,88,97,83,98,98,90,0
"62","2014/04/01 22:33",96,98,98,96,97,98,100,100,95,0,100,93,0
"63","2014/04/01 22:38",99,98,96,98,96,91,87,96,87,100,88,100,0
"64","2014/04/01 22:43",98,98,99,100,98,98,100,100,100,100,100,89,0
"65","2014/04/01 22:48",97,95,96,98,98,98,96,90,100,100,95,90,0
"66","2014/04/01 22:53",99,95,97,97,98,99,100,92,96,100,93,100,0
"67","2014/04/01 22:58",96,97,98,92,97,100,96,89,92,100,98,100,0
"68","2014/04/01 23:03",91,97,91,71,92,94,76,83,75,100,63,62,0
"69","2014/04/01 23:08",86,97,97,97,97,84,48,70,38,58,91,94,0
"70","2014/04/01 23:13",85,97,98,95,95,97,73,82,74,100,98,91,0
"71","2014/04/01 23:18",98,98,94,83,90,93,65,52,82,66,84,77,0
"72","2014/04/01 23:23",88,97,98,96,95,97,76,80,82,81,85,89,0
"73","2014/04/01 23:28",65,97,93,87,92,95,57,30,80,0,94,90,0
"74","2014/04/01 23:33",66,96,94,55,89,86,37,46,67,51,90,84,0
"75","2014/04/01 23:38",56,93,97,84,94,93,71,59,81,100,89,85,0
"76","2014/04/01 23:43",35,92,95,84,94,95,65,73,89,79,89,87,0
"77","2014/04/01 23:48",55,97,96,85,92,94,55,50,75,100,89,78,0
"78","2014/04/01 23:53",55,97,96,82,96,97,72,65,85,99,91,88,0
"79","2014/04/01 23:58",40,98,97,84,95,97,83,84,95,100,89,86,0
"80","2014/04/02 00:03",59,97,95,85,93,93,73,67,76,77,96,89,0
"81","2014/04/02 00:08",61,97,97,94,94,96,79,72,84,100,92,92,0
"82","2014/04/02 00:13",58,97,97,81,93,96,70,79,75,97,89,86,0
"83","2014/04/02 00:18",76,97,93,78,93,94,65,66,77,80,90,75,0
"84","2014/04/02 00:23",76,97,97,97,96,94,84,50,95,0,87,86,0
"85","2014/04/02 00:28",88,93,96,84,93,93,75,54,73,78,94,85,0
"86","2014/04/02 00:33",97,94,98,100,94,96,85,71,100,100,96,90,0
"87","2014/04/02 00:38",97,97,97,100,97,96,76,50,93,93,95,94,0
"88","2014/04/02 00:43",95,98,98,100,97,96,71,65,96,77,96,89,0
"89","2014/04/02 00:48",92,98,96,96,97,95,91,64,100,0,94,83,0
"90","2014/04/02 00:53",96,97,97,96,98,96,100,92,100,0,95,88,0
"91","2014/04/02 00:58",92,98,98,95,97,97,88,78,95,0,88,100,0
"92","2014/04/02 01:03",85,97,95,96,96,93,79,75,86,64,93,94,0
"93","2014/04/02 01:08",56,96,97,89,94,96,69,75,89,74,91,86,0
"94","2014/04/02 01:13",84,97,97,93,94,96,69,64,83,64,97,89,0
"95","2014/04/02 01:18",75,93,94,93,94,93,66,64,86,0,94,85,0
"96","2014/04/02 01:23",74,93,98,90,95,97,74,47,86,0,88,86,0
