LDEV_Write_Hit_X694-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:1F X"
"1","2014/04/01 17:28",96
"2","2014/04/01 17:33",98
"3","2014/04/01 17:38",96
"4","2014/04/01 17:43",65
"5","2014/04/01 17:48",94
"6","2014/04/01 17:53",83
"7","2014/04/01 17:58",34
"8","2014/04/01 18:03",97
"9","2014/04/01 18:08",42
"10","2014/04/01 18:13",50
"11","2014/04/01 18:18",69
"12","2014/04/01 18:23",78
"13","2014/04/01 18:28",78
"14","2014/04/01 18:33",87
"15","2014/04/01 18:38",68
"16","2014/04/01 18:43",68
"17","2014/04/01 18:48",88
"18","2014/04/01 18:53",94
"19","2014/04/01 18:58",67
"20","2014/04/01 19:03",88
"21","2014/04/01 19:08",50
"22","2014/04/01 19:13",50
"23","2014/04/01 19:18",53
"24","2014/04/01 19:23",95
"25","2014/04/01 19:28",64
"26","2014/04/01 19:33",84
"27","2014/04/01 19:38",65
"28","2014/04/01 19:43",21
"29","2014/04/01 19:48",31
"30","2014/04/01 19:53",27
"31","2014/04/01 19:58",75
"32","2014/04/01 20:03",80
"33","2014/04/01 20:08",49
"34","2014/04/01 20:13",61
"35","2014/04/01 20:18",45
"36","2014/04/01 20:23",80
"37","2014/04/01 20:28",76
"38","2014/04/01 20:33",57
"39","2014/04/01 20:38",46
"40","2014/04/01 20:43",49
"41","2014/04/01 20:48",33
"42","2014/04/01 20:53",39
"43","2014/04/01 20:58",27
"44","2014/04/01 21:03",72
"45","2014/04/01 21:08",42
"46","2014/04/01 21:13",10
"47","2014/04/01 21:18",16
"48","2014/04/01 21:23",5
"49","2014/04/01 21:28",12
"50","2014/04/01 21:33",32
"51","2014/04/01 21:38",77
"52","2014/04/01 21:43",77
"53","2014/04/01 21:48",67
"54","2014/04/01 21:53",77
"55","2014/04/01 21:58",63
"56","2014/04/01 22:03",91
"57","2014/04/01 22:08",61
"58","2014/04/01 22:13",58
"59","2014/04/01 22:18",73
"60","2014/04/01 22:23",72
"61","2014/04/01 22:28",83
"62","2014/04/01 22:33",77
"63","2014/04/01 22:38",81
"64","2014/04/01 22:43",41
"65","2014/04/01 22:48",13
"66","2014/04/01 22:53",35
"67","2014/04/01 22:58",33
"68","2014/04/01 23:03",79
"69","2014/04/01 23:08",70
"70","2014/04/01 23:13",80
"71","2014/04/01 23:18",81
"72","2014/04/01 23:23",82
"73","2014/04/01 23:28",82
"74","2014/04/01 23:33",79
"75","2014/04/01 23:38",83
"76","2014/04/01 23:43",87
"77","2014/04/01 23:48",76
"78","2014/04/01 23:53",77
"79","2014/04/01 23:58",77
"80","2014/04/02 00:03",77
"81","2014/04/02 00:08",75
"82","2014/04/02 00:13",83
"83","2014/04/02 00:18",83
"84","2014/04/02 00:23",79
"85","2014/04/02 00:28",75
"86","2014/04/02 00:33",80
"87","2014/04/02 00:38",81
"88","2014/04/02 00:43",76
"89","2014/04/02 00:48",75
"90","2014/04/02 00:53",83
"91","2014/04/02 00:58",50
"92","2014/04/02 01:03",83
"93","2014/04/02 01:08",68
"94","2014/04/02 01:13",77
"95","2014/04/02 01:18",39
"96","2014/04/02 01:23",61
