LDEV_Write_Hit_1-2.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:1B","00:00:1C","00:00:1D","00:00:1E","00:00:1F","00:00:21","00:00:22","00:00:23","00:00:24","00:00:25","00:00:26","00:00:27","00:5C:CC","00:5C:CD","00:5C:CE","00:5C:E7","00:5C:E8","00:FE:00"
"1","2014/04/01 17:28",0,0,0,0,0,0,0,0,0,0,0,0,94,100,100,86,0,0
"2","2014/04/01 17:33",0,0,0,0,0,0,0,0,0,0,0,0,94,100,100,83,100,0
"3","2014/04/01 17:38",0,0,0,0,0,0,0,0,0,0,0,0,94,100,100,96,0,0
"4","2014/04/01 17:43",0,0,0,0,0,0,0,0,0,0,0,0,95,100,100,97,0,0
"5","2014/04/01 17:48",0,0,0,0,0,0,0,0,0,0,0,0,92,100,100,88,66,0
"6","2014/04/01 17:53",0,0,0,0,0,0,0,0,0,0,0,0,94,100,100,95,0,0
"7","2014/04/01 17:58",0,0,0,0,0,0,0,0,0,0,0,0,93,100,100,94,75,0
"8","2014/04/01 18:03",0,0,0,0,0,0,0,0,0,0,0,0,94,100,100,93,60,0
"9","2014/04/01 18:08",0,0,0,0,0,0,0,0,0,0,0,0,95,100,100,83,100,0
"10","2014/04/01 18:13",0,0,0,0,0,0,0,0,0,0,0,0,96,100,100,93,100,0
"11","2014/04/01 18:18",0,0,0,0,0,0,0,0,0,0,0,0,94,100,100,95,100,0
"12","2014/04/01 18:23",0,0,0,0,0,0,0,0,0,0,0,0,92,100,100,90,0,0
"13","2014/04/01 18:28",0,0,0,0,0,0,0,0,0,0,0,0,96,100,100,93,66,0
"14","2014/04/01 18:33",0,0,0,0,0,0,0,0,0,0,0,0,93,100,99,96,87,0
"15","2014/04/01 18:38",0,0,0,0,0,0,0,0,0,0,0,0,94,100,99,88,64,0
"16","2014/04/01 18:43",0,0,0,0,0,0,0,0,0,0,0,0,92,100,99,88,57,0
"17","2014/04/01 18:48",0,0,0,0,0,0,0,0,0,0,0,0,96,100,100,91,100,0
"18","2014/04/01 18:53",0,0,0,0,0,0,0,0,0,0,0,0,94,100,100,94,37,0
"19","2014/04/01 18:58",0,0,0,0,0,0,0,0,0,0,0,0,93,100,100,86,77,0
