LDEV_Write_Hit_1-12.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:DD","00:00:DF","00:00:E0","00:00:E6","00:00:E7","00:00:E8","00:00:E9","00:00:EA","00:00:EB","00:00:EC","00:00:ED","00:00:EE","00:00:EF","00:20:16","00:20:17"
"1","2014/04/01 17:28",100,100,0,0,0,100,100,97,0,0,0,94,98,98,97
"2","2014/04/01 17:33",100,100,0,0,0,100,100,97,50,0,0,91,93,98,96
"3","2014/04/01 17:38",100,100,0,0,0,100,100,100,0,0,0,93,94,98,93
"4","2014/04/01 17:43",100,100,0,0,0,100,100,97,75,0,0,96,99,98,96
"5","2014/04/01 17:48",100,100,0,0,0,96,100,100,0,0,0,94,98,98,96
"6","2014/04/01 17:53",100,100,0,0,0,100,100,97,75,0,0,94,98,97,97
"7","2014/04/01 17:58",100,100,0,0,0,100,100,100,0,0,0,95,99,98,93
"8","2014/04/01 18:03",100,100,0,0,0,100,100,97,50,0,0,96,99,99,85
"9","2014/04/01 18:08",100,100,0,0,0,100,100,100,0,0,0,95,99,97,84
"10","2014/04/01 18:13",100,100,0,0,0,100,100,97,50,0,0,94,96,98,89
"11","2014/04/01 18:18",100,100,0,0,0,100,100,100,0,0,0,94,97,98,95
"12","2014/04/01 18:23",100,100,0,0,0,99,100,97,50,0,0,95,99,99,91
"13","2014/04/01 18:28",100,100,0,0,0,100,100,100,0,0,0,95,99,98,95
"14","2014/04/01 18:33",100,100,0,0,0,100,100,97,0,0,0,95,96,99,92
"15","2014/04/01 18:38",100,100,0,0,0,100,100,100,0,0,0,94,94,98,95
"16","2014/04/01 18:43",100,100,0,0,0,100,100,97,25,0,0,95,98,97,98
"17","2014/04/01 18:48",100,100,0,0,0,99,100,100,0,0,0,95,98,97,99
"18","2014/04/01 18:53",100,100,0,0,0,100,100,97,25,0,0,95,99,98,87
"19","2014/04/01 18:58",100,100,0,0,0,100,100,100,0,0,0,95,99,98,85
"20","2014/04/01 19:03",11,1,0,0,0,2,100,97,25,0,0,92,98,98,88
"21","2014/04/01 19:08",9,13,4,0,0,64,100,97,0,0,0,90,90,98,94
"22","2014/04/01 19:13",100,100,86,0,0,0,100,100,0,0,0,91,92,98,91
"23","2014/04/01 19:18",0,0,0,0,0,0,100,97,0,0,0,92,96,99,97
"24","2014/04/01 19:23",0,0,0,0,0,0,100,100,50,0,0,93,98,98,97
"25","2014/04/01 19:28",96,0,0,0,0,100,100,97,0,0,0,93,99,97,94
"26","2014/04/01 19:33",88,76,100,0,0,100,100,100,50,0,0,92,93,96,98
"27","2014/04/01 19:38",100,100,0,0,0,0,100,97,0,0,0,92,94,98,98
"28","2014/04/01 19:43",100,100,0,0,0,0,100,100,75,0,0,94,99,98,87
"29","2014/04/01 19:48",100,100,0,0,0,0,100,97,0,0,0,94,99,98,84
"30","2014/04/01 19:53",100,100,0,0,0,0,100,100,50,0,0,95,99,98,90
"31","2014/04/01 19:58",97,100,0,0,0,0,100,97,0,0,0,90,98,97,96
"32","2014/04/01 20:03",100,100,0,0,0,0,100,100,50,0,0,95,99,98,94
"33","2014/04/01 20:08",100,100,0,0,0,0,100,97,0,0,0,94,98,98,89
"34","2014/04/01 20:13",100,100,0,0,0,0,100,100,50,0,0,93,90,98,97
"35","2014/04/01 20:18",100,100,0,0,0,0,100,97,0,0,0,94,97,98,96
"36","2014/04/01 20:23",100,100,0,0,0,0,100,97,50,0,0,95,84,97,97
"37","2014/04/01 20:28",100,100,0,0,0,0,100,100,0,0,0,95,88,98,97
"38","2014/04/01 20:33",100,100,0,0,0,0,100,97,50,0,0,95,91,99,87
"39","2014/04/01 20:38",100,100,0,0,0,0,100,100,0,0,0,95,99,98,86
"40","2014/04/01 20:43",100,100,0,0,0,0,100,97,50,0,0,93,97,98,90
"41","2014/04/01 20:48",100,100,0,0,0,0,100,100,0,0,0,94,98,97,97
"42","2014/04/01 20:53",100,100,0,0,0,0,100,97,100,0,0,95,99,98,92
"43","2014/04/01 20:58",100,100,0,0,0,0,100,100,0,0,0,95,98,98,89
