URJNL_M-JNL_Asynchronous_Copy_Transfer.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","05","03","0A","04","0C","07","09","0B","00","11","0F"
"72","2014/04/01 23:23",0,0,0,0,6159,0,0,0,0,0,0
"73","2014/04/01 23:28",0,0,0,0,5194,0,0,0,0,0,0
"74","2014/04/01 23:33",0,0,0,0,720,0,0,0,0,0,0
"75","2014/04/01 23:38",0,0,0,0,3671,0,0,0,0,0,0
"76","2014/04/01 23:43",0,0,0,0,3021,0,0,0,0,0,0
"77","2014/04/01 23:48",0,0,0,0,343,0,0,0,0,0,0
"78","2014/04/01 23:53",0,0,0,0,3616,0,0,0,0,0,0
"79","2014/04/01 23:58",0,0,0,0,3080,0,0,0,0,0,0
"80","2014/04/02 00:03",0,0,0,0,498,0,0,0,0,0,0
"81","2014/04/02 00:08",0,0,0,0,3750,0,0,0,0,0,0
"82","2014/04/02 00:13",0,0,0,0,3102,0,0,0,0,0,0
"83","2014/04/02 00:18",0,0,0,0,355,0,0,0,0,0,0
"84","2014/04/02 00:23",0,0,0,0,3745,0,0,0,0,0,0
"85","2014/04/02 00:28",0,0,0,0,3086,0,0,0,0,0,0
"86","2014/04/02 00:33",0,0,0,0,358,0,0,0,0,0,0
"87","2014/04/02 00:38",0,0,0,0,3580,0,0,0,0,0,0
"88","2014/04/02 00:43",0,0,0,0,3071,0,0,0,0,0,0
"89","2014/04/02 00:48",0,0,0,0,329,0,0,0,0,0,0
"90","2014/04/02 00:53",0,0,0,0,3599,0,0,0,0,0,0
"91","2014/04/02 00:58",0,0,0,0,2888,0,0,0,0,0,0
"92","2014/04/02 01:03",0,0,0,0,577,0,0,0,0,0,0
"93","2014/04/02 01:08",0,0,0,0,5458,0,0,0,0,0,0
"94","2014/04/02 01:13",0,0,0,0,5301,0,0,0,0,0,0
"95","2014/04/02 01:18",0,0,0,0,747,0,0,0,0,0,0
"96","2014/04/02 01:23",0,0,0,0,3915,0,0,0,0,0,0
