URJNL_Write_Transfer.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","05","03","0A","04","0C","07","09","0B","00","11","0F"
"72","2014/04/01 23:23",0,0,0,0,6164,0,0,0,0,0,0
"73","2014/04/01 23:28",0,0,0,0,5199,0,0,0,0,0,0
"74","2014/04/01 23:33",0,0,0,0,725,0,0,0,0,0,0
"75","2014/04/01 23:38",0,0,0,0,3641,0,0,0,0,0,0
"76","2014/04/01 23:43",0,0,0,0,3060,0,0,0,0,0,0
"77","2014/04/01 23:48",0,0,0,0,345,0,0,0,0,0,0
"78","2014/04/01 23:53",0,0,0,0,3622,0,0,0,0,0,0
"79","2014/04/01 23:58",0,0,0,0,3084,0,0,0,0,0,0
"80","2014/04/02 00:03",0,0,0,0,502,0,0,0,0,0,0
"81","2014/04/02 00:08",0,0,0,0,3755,0,0,0,0,0,0
"82","2014/04/02 00:13",0,0,0,0,3107,0,0,0,0,0,0
"83","2014/04/02 00:18",0,0,0,0,359,0,0,0,0,0,0
"84","2014/04/02 00:23",0,0,0,0,3750,0,0,0,0,0,0
"85","2014/04/02 00:28",0,0,0,0,3090,0,0,0,0,0,0
"86","2014/04/02 00:33",0,0,0,0,363,0,0,0,0,0,0
"87","2014/04/02 00:38",0,0,0,0,3584,0,0,0,0,0,0
"88","2014/04/02 00:43",0,0,0,0,3074,0,0,0,0,0,0
"89","2014/04/02 00:48",0,0,0,0,334,0,0,0,0,0,0
"90","2014/04/02 00:53",0,0,0,0,3603,0,0,0,0,0,0
"91","2014/04/02 00:58",0,0,0,0,2892,0,0,0,0,0,0
"92","2014/04/02 01:03",0,0,0,0,324,0,0,0,0,0,0
"93","2014/04/02 01:08",0,0,0,0,5718,0,0,0,0,0,0
"94","2014/04/02 01:13",0,0,0,0,5304,0,0,0,0,0,0
"95","2014/04/02 01:18",0,0,0,0,752,0,0,0,0,0,0
"96","2014/04/02 01:23",0,0,0,0,3920,0,0,0,0,0,0
