URJNL_R-JNL_Asynchronous_Copy_Response.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","05","03","0A","04","0C","07","09","0B","00","11","0F"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",11,14,13,13,0,14,60,13,0,13,13
"8","2014/04/01 18:03",6,11,10,9,0,10,44,11,0,9,10
"9","2014/04/01 18:08",5,9,8,8,0,8,41,9,0,7,8
"10","2014/04/01 18:13",5,10,10,10,0,8,40,9,0,8,9
"11","2014/04/01 18:18",4,12,8,9,0,8,36,9,0,9,9
"12","2014/04/01 18:23",4,9,6,8,0,7,36,9,0,7,8
"13","2014/04/01 18:28",4,9,7,7,0,8,36,8,0,7,9
"14","2014/04/01 18:33",4,9,6,8,0,10,36,9,0,7,9
"15","2014/04/01 18:38",6,10,7,8,0,7,42,8,0,8,8
"16","2014/04/01 18:43",6,12,9,11,0,11,48,11,0,9,11
"17","2014/04/01 18:48",4,10,8,9,0,9,37,10,0,7,10
"18","2014/04/01 18:53",6,13,24,12,0,10,44,12,0,9,10
"19","2014/04/01 18:58",4,12,7,9,0,7,36,9,0,7,8
"20","2014/04/01 19:03",6,11,8,9,0,10,42,9,0,9,10
"21","2014/04/01 19:08",14,20,15,16,0,16,69,17,0,15,17
"22","2014/04/01 19:13",10,17,13,14,0,14,62,14,0,12,14
"23","2014/04/01 19:18",9,15,11,13,0,12,59,13,0,12,12
"24","2014/04/01 19:23",9,18,12,13,0,12,61,13,0,12,13
"25","2014/04/01 19:28",7,13,10,10,0,10,48,13,0,9,10
"26","2014/04/01 19:33",8,17,45,13,0,14,47,15,0,12,13
"27","2014/04/01 19:38",4,9,7,8,0,10,36,10,0,7,10
"28","2014/04/01 19:43",5,11,7,8,0,10,39,10,0,7,10
"29","2014/04/01 19:48",4,12,8,10,0,10,37,10,0,8,9
"30","2014/04/01 19:53",3,10,7,6,0,8,28,17,0,8,7
"31","2014/04/01 19:58",4,9,7,7,0,7,31,7,0,7,8
"32","2014/04/01 20:03",5,14,9,12,0,11,45,16,0,9,11
"33","2014/04/01 20:08",7,17,11,12,0,12,48,13,0,10,12
"34","2014/04/01 20:13",8,13,11,11,0,11,49,12,0,10,12
"35","2014/04/01 20:18",4,9,6,7,0,9,37,8,0,7,8
"36","2014/04/01 20:23",4,12,8,10,0,9,37,10,0,8,9
"37","2014/04/01 20:28",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"38","2014/04/01 20:33",4,9,7,8,0,7,34,11,0,8,7
"39","2014/04/01 20:38",3,8,6,7,0,8,29,9,0,6,6
"40","2014/04/01 20:43",3,7,6,7,0,9,31,7,0,6,8
"41","2014/04/01 20:48",4,10,6,6,0,6,28,8,0,7,8
"42","2014/04/01 20:53",4,6,9,7,0,7,32,8,0,6,7
"43","2014/04/01 20:58",4,10,7,7,0,8,30,7,0,6,7
"44","2014/04/01 21:03",2,6,5,5,0,6,25,6,0,5,6
"45","2014/04/01 21:08",3,7,6,7,0,6,24,8,0,6,7
"46","2014/04/01 21:13",2,6,5,5,0,7,22,6,0,5,6
"47","2014/04/01 21:18",4,7,4,6,0,6,23,6,0,5,6
"48","2014/04/01 21:23",2,6,5,4,0,5,14,4,0,4,5
