URJNL_R-JNL_Asynchronous_Copy_Transfer.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","05","03","0A","04","0C","07","09","0B","00","11","0F"
"70","2014/04/01 23:13",1009,40,40,16,0,11,101802,44,0,97,14
"71","2014/04/01 23:18",539,24,1,12,0,81,96988,44,0,973,14
"72","2014/04/01 23:23",1288,16,1,14,0,33,91601,44,0,1,14
"73","2014/04/01 23:28",1018,18,1,12,0,7,137405,44,0,1,13
"74","2014/04/01 23:33",1409,26,26760,14,0,18,119913,43,0,3,14
"75","2014/04/01 23:38",1258,28,19614,11,0,13,128129,45,0,1,14
"76","2014/04/01 23:43",1132,26,6671,11,0,12,136644,43,0,1,14
"77","2014/04/01 23:48",811,26,11,10,0,147,118312,43,0,1,14
"78","2014/04/01 23:53",1181,25,1,12,0,75,103006,43,0,1,14
"79","2014/04/01 23:58",1290,26,1,11,0,23,94215,43,0,1,14
"80","2014/04/02 00:03",1078,28,91,14,0,19,82628,67,0,96,23
"81","2014/04/02 00:08",1942,26,34,13,0,12,98907,101,0,1,27
"82","2014/04/02 00:13",1594,45,98,13,0,10,84923,702,0,2,13
"83","2014/04/02 00:18",1915,153,1,11,0,16,93951,172,0,1,884
"84","2014/04/02 00:23",1905,82,1,13,0,10,92399,43,0,1,284
"85","2014/04/02 00:28",1779,56,1,10,0,6,82829,43,0,1,13
"86","2014/04/02 00:33",645,29,1,14,0,18,82096,43,0,1,13
"87","2014/04/02 00:38",1330,48,1,11,0,13,86258,44,0,1,16
"88","2014/04/02 00:43",465,31,1,12,0,12,86088,42,0,1,14
"89","2014/04/02 00:48",879,26,1,11,0,16,83646,44,0,1,14
"90","2014/04/02 00:53",828,7,11236,12,0,11,85815,42,0,1,14
"91","2014/04/02 00:58",421,27,1,11,0,8,88750,42,0,1,14
"92","2014/04/02 01:03",101,34,1,15,0,19,95506,65,0,99,25
"93","2014/04/02 01:08",868,27,47,12,0,14,96551,92,0,2,27
"94","2014/04/02 01:13",157,26,71,13,0,11,107515,43,0,3,14
"95","2014/04/02 01:18",359,26,4,11,0,18,99011,45,0,1,15
"96","2014/04/02 01:23",410,28,0,12,0,12,95406,42,0,1,13
