PHY_Short_PG.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","1-1","1-2","1-3","1-4","1-5","1-6","1-7","1-8","1-9","1-10","1-11","1-12","1-13","1-14","1-15","3-1","3-2","3-3","3-4","3-5","3-6","3-7","3-8","3-9","3-10","3-11","3-12","3-13","3-14","3-15","3-16","5-1","5-2","5-3","5-4","5-5","5-6","5-7","5-8","5-9","5-10","5-11","5-12","5-13","5-14","5-15","7-1","7-2","7-3","7-4","7-5","7-6","7-7","7-8","7-9","7-10","7-11","7-12","7-13","7-14","9-1","9-2","9-3","9-4","11-1","11-2","11-3","11-4","11-5","11-6","11-7","11-8","11-9","11-10","11-11","11-12","11-13","11-14","11-15","11-16","13-1","13-2","13-3","13-4","13-5","13-6","13-7","13-8","13-9","13-10","13-11","13-12","13-13","13-14","13-15","13-16"
"1","2014/04/01 17:28",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,20,18,20,21,19,0,0,0,0,7,7,6,6,6,5,5,6,6,5,7,6,7,7,6,9,6,5,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,-1,0,4,15,27,27,27,16,15,17,35,21,28,7,15,17,12,27,17
"2","2014/04/01 17:33",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,20,18,23,23,21,0,0,0,0,7,8,6,8,7,6,7,7,9,7,9,9,11,11,9,9,8,7,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,6,17,32,30,31,18,17,20,37,25,29,7,16,18,13,30,21
"3","2014/04/01 17:38",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,1,0,0,0,0,20,19,19,22,19,0,0,0,0,9,10,7,8,8,7,7,8,7,8,10,10,9,9,9,9,9,7,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,8,16,29,28,31,16,16,18,37,24,31,9,16,18,12,27,19
"4","2014/04/01 17:43",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,18,17,20,21,18,0,0,0,0,10,10,8,9,9,8,8,10,8,7,8,10,10,12,8,9,8,8,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,-1,0,7,17,29,29,30,18,16,18,36,22,29,7,15,17,13,27,18
"5","2014/04/01 17:48",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,21,21,21,20,20,0,0,0,0,7,7,7,7,7,8,9,8,9,7,8,9,9,9,9,9,10,8,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,-1,0,8,16,29,31,31,18,18,20,38,21,31,8,16,17,12,26,18
"6","2014/04/01 17:53",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,16,15,17,19,16,0,0,0,0,6,8,6,7,6,7,7,6,7,7,9,10,9,9,7,9,9,7,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,7,16,33,32,31,15,14,17,30,20,27,6,14,15,12,28,17
"7","2014/04/01 17:58",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,11,10,11,18,10,0,0,0,0,7,8,6,8,8,8,7,7,7,7,10,10,12,10,8,8,9,6,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,10,12,20,22,22,10,10,11,26,17,23,5,12,14,8,22,14
"8","2014/04/01 18:03",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,16,17,15,17,16,0,0,0,0,6,8,4,6,4,6,5,5,7,5,10,9,8,8,8,9,8,6,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,8,13,21,25,26,14,13,14,32,17,26,6,12,15,9,22,15
"9","2014/04/01 18:08",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,23,22,23,25,22,0,0,0,0,8,12,6,9,7,9,10,7,10,6,13,11,12,13,9,12,10,7,0,1,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,9,20,33,36,36,20,21,21,43,22,36,10,19,20,13,30,22
"10","2014/04/01 18:13",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,14,13,15,14,14,0,0,0,0,9,12,8,6,7,7,8,7,8,8,12,11,10,11,10,10,11,6,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,9,11,23,23,23,14,12,13,26,14,20,6,11,12,8,20,14
"11","2014/04/01 18:18",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,13,12,12,16,13,0,0,0,0,6,8,6,6,6,6,5,6,6,6,9,8,9,8,7,9,9,7,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,8,13,25,25,25,12,12,15,30,17,25,6,11,15,9,22,15
"12","2014/04/01 18:23",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,16,15,17,16,16,0,0,0,0,7,9,5,7,7,5,5,6,6,5,10,9,9,9,8,9,10,5,0,1,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,7,12,23,24,24,14,14,16,32,16,24,6,13,14,9,23,16
"13","2014/04/01 18:28",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,16,14,18,16,19,0,0,0,0,8,10,7,8,7,7,6,7,8,6,9,9,10,10,7,9,10,6,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,7,14,26,26,25,14,14,18,32,17,25,7,14,14,10,26,17
"14","2014/04/01 18:33",0,0,0,0,0,0,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,14,13,17,15,17,0,0,0,0,10,14,9,10,10,10,11,9,12,7,14,11,11,11,12,11,15,10,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,11,12,23,23,22,12,12,16,31,16,24,5,12,13,9,22,15
"15","2014/04/01 18:38",0,0,0,0,0,0,-1,-1,-1,-1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,1,0,0,0,0,15,14,16,16,14,0,0,0,0,11,11,11,11,12,10,10,9,11,9,12,13,14,14,13,12,15,13,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,12,12,25,27,25,13,13,18,29,16,23,6,12,14,10,24,16
"16","2014/04/01 18:43",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,16,15,17,17,15,0,0,0,0,7,7,5,6,6,5,5,5,6,6,7,9,9,8,6,7,8,5,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,6,12,23,25,24,13,14,18,30,18,23,6,12,14,11,24,17
"17","2014/04/01 18:48",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,1,0,0,0,0,15,12,19,15,21,0,0,0,0,8,6,7,8,8,9,6,6,10,5,6,7,10,7,5,6,9,5,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,7,12,20,22,20,12,12,16,30,15,22,6,14,14,10,21,16
"18","2014/04/01 18:53",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,16,15,16,16,16,0,0,0,0,7,6,6,7,7,6,5,5,6,5,7,6,8,6,6,6,7,5,0,1,3,0,-1,0,0,0,0,-1,-1,0,0,-1,0,5,13,21,23,20,13,14,19,34,16,26,6,14,13,10,21,15
"19","2014/04/01 18:58",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,12,12,13,13,12,0,0,0,0,6,6,6,6,7,5,5,6,6,5,6,6,7,6,6,7,5,5,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,5,11,18,19,18,12,12,13,27,14,20,5,11,11,8,18,12
"20","2014/04/01 19:03",0,0,0,0,0,0,-1,-1,-1,-1,0,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,49,0,16,15,16,18,16,0,0,0,40,6,6,6,7,6,5,6,6,6,6,6,6,6,6,5,6,6,6,0,0,2,0,-1,0,2,0,0,-1,-1,1,0,-1,0,5,13,20,21,19,14,13,15,31,17,26,7,14,13,10,21,14
"21","2014/04/01 19:08",0,0,0,0,0,0,-1,-1,-1,-1,0,52,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,2,0,0,6,1,24,24,23,26,23,0,0,0,97,6,7,6,10,10,8,7,7,8,7,8,7,8,8,9,8,7,9,0,1,1,0,-1,0,0,0,0,-1,-1,0,0,-1,0,6,19,29,34,32,20,21,22,45,23,38,11,20,20,13,30,21
"22","2014/04/01 19:13",1,0,0,0,0,0,-1,-1,-1,-1,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,1,1,15,14,15,17,14,0,0,0,98,6,8,6,8,8,7,7,8,7,5,7,6,7,7,5,7,5,5,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,4,13,20,23,21,13,13,15,29,15,25,6,13,13,10,21,14
"23","2014/04/01 19:18",0,1,0,0,0,0,-1,-1,-1,-1,0,1,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,17,0,0,29,1,20,19,19,19,19,0,0,0,99,8,5,9,8,11,8,5,6,7,5,5,6,7,6,6,6,7,5,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,5,15,25,26,25,16,17,20,38,17,29,7,15,15,11,24,17
"24","2014/04/01 19:23",0,1,0,0,0,0,-1,-1,-1,-1,0,1,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,82,0,0,35,1,17,16,17,19,17,0,0,0,52,11,12,16,13,20,10,6,7,8,6,13,12,12,9,7,7,9,6,0,1,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,6,13,24,25,24,14,14,20,34,17,28,6,14,14,12,24,16
"25","2014/04/01 19:28",0,0,0,0,0,0,-1,-1,-1,-1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,6,0,0,39,7,19,18,21,20,19,0,0,0,98,10,10,8,8,9,8,6,7,6,6,10,12,13,12,9,11,11,6,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,8,16,32,32,31,18,19,26,39,19,30,7,17,17,18,29,26
"26","2014/04/01 19:33",0,0,0,0,0,0,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,23,0,18,18,22,23,20,0,0,0,19,7,7,8,9,10,8,6,7,9,6,9,11,11,11,8,9,10,6,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,7,17,29,30,28,16,17,22,38,22,31,7,17,19,15,30,24
"27","2014/04/01 19:38",0,1,0,0,0,0,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,17,16,17,20,17,0,0,0,0,7,9,7,8,9,7,6,6,8,6,10,10,11,10,8,7,9,6,0,1,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,7,14,26,28,27,15,18,21,37,18,29,7,14,16,13,23,19
"28","2014/04/01 19:43",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,55,55,63,67,58,0,0,0,0,7,7,5,8,7,6,5,6,7,5,7,8,8,8,10,6,8,6,0,1,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,7,51,77,77,77,55,60,67,79,68,76,21,48,50,43,76,58
"29","2014/04/01 19:48",0,0,0,0,0,0,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,1,0,0,0,0,33,32,35,38,32,0,0,0,0,8,10,8,10,10,8,7,10,8,7,9,12,12,11,12,10,12,8,0,1,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,12,27,60,60,61,30,30,34,63,38,51,12,25,27,22,47,32
"30","2014/04/01 19:53",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,27,26,33,29,33,0,0,0,0,7,6,4,7,7,6,6,7,6,5,8,8,9,8,8,6,9,5,0,1,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,8,23,47,46,49,26,27,29,53,25,41,10,24,22,17,35,25
"31","2014/04/01 19:58",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,1,0,0,0,0,19,18,19,21,19,0,0,0,0,6,6,5,8,7,6,6,6,5,5,6,5,6,6,8,6,8,5,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,7,16,30,34,31,16,17,18,38,20,30,7,16,15,12,27,18
"32","2014/04/01 20:03",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,24,21,24,26,22,0,0,0,0,6,6,5,7,6,4,5,5,5,5,6,5,6,6,8,7,7,6,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,7,20,33,35,32,21,20,23,43,23,38,10,20,19,15,32,22
"33","2014/04/01 20:08",0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,25,25,25,27,25,0,0,0,0,9,8,7,8,7,7,10,9,8,8,9,9,8,9,9,11,10,9,0,1,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,7,21,31,37,35,23,24,23,46,24,37,10,21,21,14,30,22
"34","2014/04/01 20:13",0,0,0,0,0,0,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,18,19,19,20,18,0,0,0,0,6,6,6,7,7,6,6,6,7,6,6,5,6,8,6,9,8,6,0,0,2,0,-1,0,0,0,0,-1,-1,0,0,-1,0,5,16,27,28,26,16,17,17,37,19,32,8,16,16,11,24,17
