PHY_Long_PG.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","1-1","1-2","1-3","1-4","1-5","1-6","1-7","1-8","1-9","1-10","1-11","1-12","1-13","1-14","1-15","3-1","3-2","3-3","3-4","3-5","3-6","3-7","3-8","3-9","3-10","3-11","3-12","3-13","3-14","3-15","3-16","5-1","5-2","5-3","5-4","5-5","5-6","5-7","5-8","5-9","5-10","5-11","5-12","5-13","5-14","5-15","7-1","7-2","7-3","7-4","7-5","7-6","7-7","7-8","7-9","7-10","7-11","7-12","7-13","7-14","9-1","9-2","9-3","9-4","11-1","11-2","11-3","11-4","11-5","11-6","11-7","11-8","11-9","11-10","11-11","11-12","11-13","11-14","11-15","11-16","13-1","13-2","13-3","13-4","13-5","13-6","13-7","13-8","13-9","13-10","13-11","13-12","13-13","13-14","13-15","13-16"
"13","2014/03/03 04:15",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,11,0,0,27,10,17,13,19,16,16,0,0,0,24,11,12,11,11,11,10,10,10,11,10,12,14,13,14,10,12,11,10,0,0,0,0,-1,0,2,0,0,-1,-1,0,8,-1,0,10,41,29,27,26,17,18,18,32,15,24,7,13,14,13,24,17
"14","2014/03/03 04:30",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,2,0,0,9,8,9,7,11,8,8,0,0,0,53,7,7,7,7,6,6,6,6,6,6,8,7,7,7,6,6,6,6,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,-1,0,5,24,25,17,15,8,7,10,15,8,12,3,6,7,10,14,10
"15","2014/03/03 04:45",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,7,0,8,7,8,8,8,0,0,0,26,5,5,4,5,4,4,4,4,4,4,5,6,5,6,5,5,5,4,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,-1,0,4,6,17,11,12,7,7,8,14,8,10,2,5,6,6,15,9
"16","2014/03/03 05:00",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,17,0,6,4,6,8,5,0,0,0,14,7,7,5,5,6,5,6,6,5,6,8,8,6,7,8,5,5,7,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,-1,0,6,9,16,11,11,8,8,8,12,8,7,1,4,5,7,11,6
"17","2014/03/03 05:15",0,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,3,0,24,23,24,24,24,0,0,0,24,5,4,3,4,4,3,4,4,4,4,6,7,7,7,5,7,4,4,0,0,1,0,-1,0,2,0,0,-1,-1,0,0,-1,0,3,36,35,34,36,22,21,22,42,22,38,12,20,22,17,31,22
"18","2014/03/03 05:30",0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,0,0,23,22,22,20,20,0,0,1,1,5,4,4,5,5,3,4,4,4,4,5,5,5,5,4,6,4,3,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,0,3,29,29,29,27,18,18,20,34,18,29,11,17,18,14,24,19
"19","2014/03/03 05:45",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1,0,21,20,20,20,18,0,0,0,6,4,4,3,3,3,3,2,3,4,3,4,4,3,4,3,4,3,3,0,0,1,0,-1,0,0,0,0,-1,-1,0,13,-1,0,3,17,28,28,28,19,20,20,31,17,25,10,15,17,14,24,17
"20","2014/03/03 06:00",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,2,0,0,0,0,26,25,24,23,23,0,0,0,1,5,4,3,4,3,3,3,3,4,3,4,4,4,3,3,3,4,3,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,-1,0,2,19,29,28,29,22,22,20,35,19,31,12,19,19,14,25,20
"21","2014/03/03 06:15",0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,39,38,39,41,40,0,0,0,10,6,5,6,5,6,4,4,4,5,4,4,4,4,4,4,4,4,3,0,0,1,0,-1,0,0,0,0,-1,-1,1,24,-1,0,3,36,48,49,50,35,34,35,55,37,51,19,35,36,25,46,37
"22","2014/03/03 06:30",0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,15,0,0,11,0,50,50,56,49,56,0,0,0,3,8,7,7,8,6,9,8,9,9,8,7,5,6,6,7,7,7,7,0,1,0,0,-1,0,0,0,0,-1,-1,0,19,-1,0,6,46,60,56,57,45,47,47,63,41,57,22,41,47,32,54,43
