URLDEV_Write_Transfer_16.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:16:00","00:16:04","00:16:05","00:16:08","00:16:0F","00:16:10","00:16:11","00:16:12","00:16:13","00:16:14","00:16:15","00:16:16","00:16:24"
"22","2014/04/01 19:13",0,0,0,0,0,0,0,0,0,0,0,688,0
"23","2014/04/01 19:18",0,0,0,0,0,0,0,0,0,0,0,561,0
"24","2014/04/01 19:23",0,0,0,0,0,0,0,0,0,0,0,234,0
"25","2014/04/01 19:28",0,0,0,0,0,0,0,0,0,0,0,307,0
"26","2014/04/01 19:33",0,0,0,0,0,0,0,0,0,0,0,237,0
"27","2014/04/01 19:38",0,0,0,0,0,0,0,0,0,0,0,229,0
"28","2014/04/01 19:43",0,0,0,0,0,0,0,0,0,0,0,212,0
"29","2014/04/01 19:48",0,0,0,0,0,0,0,0,0,0,0,267,0
"30","2014/04/01 19:53",0,0,0,0,0,0,0,0,0,0,0,218,0
"31","2014/04/01 19:58",0,0,0,0,0,0,0,0,0,0,0,214,0
"32","2014/04/01 20:03",0,0,0,0,0,0,0,0,0,0,0,266,0
"33","2014/04/01 20:08",0,0,0,0,0,0,0,0,0,0,0,337,0
"34","2014/04/01 20:13",0,0,0,0,0,0,0,0,0,0,0,427,0
"35","2014/04/01 20:18",0,0,0,0,0,0,0,0,0,0,0,409,0
"36","2014/04/01 20:23",0,0,0,0,0,0,0,0,0,0,0,277,0
"37","2014/04/01 20:28",0,0,0,0,0,0,0,0,0,0,0,331,0
"38","2014/04/01 20:33",0,0,0,0,0,0,0,0,0,0,0,397,0
"39","2014/04/01 20:38",0,0,0,0,0,0,0,0,0,0,0,225,0
"40","2014/04/01 20:43",0,0,0,0,0,0,0,0,0,0,0,276,0
"41","2014/04/01 20:48",0,0,0,0,0,0,0,0,0,0,0,324,0
"42","2014/04/01 20:53",0,0,0,0,0,0,0,0,0,0,0,210,0
"43","2014/04/01 20:58",0,0,0,0,0,0,0,0,0,0,0,212,0
"44","2014/04/01 21:03",0,0,0,0,0,0,0,0,0,0,0,246,0
"45","2014/04/01 21:08",0,0,0,0,0,0,0,0,0,0,0,242,0
"46","2014/04/01 21:13",0,0,0,0,0,0,0,0,0,0,0,542,0
"47","2014/04/01 21:18",0,0,0,0,0,0,0,0,0,0,0,550,0
"48","2014/04/01 21:23",0,0,0,0,0,0,0,0,0,0,0,306,0
"49","2014/04/01 21:28",0,0,0,0,0,0,0,0,0,0,0,336,0
"50","2014/04/01 21:33",0,0,0,0,0,0,0,0,0,0,0,500,0
"51","2014/04/01 21:38",0,0,0,0,0,0,0,0,0,0,0,289,0
"52","2014/04/01 21:43",0,0,0,0,0,0,0,0,0,0,0,217,0
"53","2014/04/01 21:48",0,0,0,0,0,0,0,0,0,0,0,215,0
"54","2014/04/01 21:53",0,0,0,0,0,0,0,0,0,0,0,227,0
"55","2014/04/01 21:58",0,0,0,0,0,0,0,0,0,0,0,294,0
"56","2014/04/01 22:03",0,0,0,0,0,0,0,0,0,0,0,328,0
"57","2014/04/01 22:08",0,0,0,0,0,0,0,0,0,0,0,312,0
"58","2014/04/01 22:13",0,0,0,0,0,0,0,0,0,0,0,378,0
"59","2014/04/01 22:18",0,0,0,0,0,0,0,0,0,0,0,309,0
"60","2014/04/01 22:23",0,0,0,0,0,0,0,0,0,0,0,216,0
"61","2014/04/01 22:28",0,0,0,0,0,0,0,0,0,0,0,226,0
"62","2014/04/01 22:33",0,0,0,0,0,0,0,0,0,0,0,294,0
"63","2014/04/01 22:38",0,0,0,0,0,0,0,0,0,0,0,157,0
"64","2014/04/01 22:43",0,0,0,0,0,0,0,0,0,0,0,221,0
"65","2014/04/01 22:48",0,0,0,0,0,0,0,0,0,0,0,226,0
"66","2014/04/01 22:53",0,0,0,0,0,0,0,0,0,0,0,223,0
"67","2014/04/01 22:58",0,0,0,0,0,0,0,0,0,0,0,149,0
"68","2014/04/01 23:03",0,0,0,0,0,0,0,0,0,0,0,182,0
"69","2014/04/01 23:08",0,0,0,0,0,0,0,0,0,0,0,168,0
"70","2014/04/01 23:13",0,0,0,0,0,0,0,0,0,0,0,270,0
"71","2014/04/01 23:18",0,0,0,0,0,0,0,0,0,0,0,271,0
"72","2014/04/01 23:23",0,0,0,0,0,0,0,0,0,0,0,181,0
"73","2014/04/01 23:28",0,0,0,0,0,0,0,0,0,0,0,249,0
"74","2014/04/01 23:33",0,0,0,0,0,0,0,0,0,0,0,310,0
"75","2014/04/01 23:38",0,0,0,0,0,0,0,0,0,0,0,87,0
"76","2014/04/01 23:43",0,0,0,0,0,0,0,0,0,0,0,155,0
"77","2014/04/01 23:48",0,0,0,0,0,0,0,0,0,0,0,181,0
"78","2014/04/01 23:53",0,0,0,0,0,0,0,0,0,0,0,89,0
"79","2014/04/01 23:58",0,0,0,0,0,0,0,0,0,0,0,183,0
"80","2014/04/02 00:03",0,0,0,0,0,0,0,0,0,0,0,249,0
"81","2014/04/02 00:08",0,0,0,0,0,0,0,0,0,0,0,160,0
"82","2014/04/02 00:13",0,0,0,0,0,0,0,0,0,0,0,172,0
"83","2014/04/02 00:18",0,0,0,0,0,0,0,0,0,0,0,175,0
