LDEV_Response0C.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:00X(X573-1)","00:0C:01X(X574-1)","00:0C:02X(X575-1)","00:0C:03X(X576-1)","00:0C:04X(X577-1)","00:0C:05X(X578-1)","00:0C:06X(X579-1)","00:0C:07X(X580-1)","00:0C:08X(X581-1)","00:0C:09X(X582-1)","00:0C:0AX(X583-1)","00:0C:0BX(X584-1)","00:0C:0CX(X585-1)"
"56","2014/04/01 22:03",5704,3815,4715,3631,3211,3409,4755,4444,4044,5090,4527,4032,4147
"57","2014/04/01 22:08",6212,7314,7320,6182,6657,6545,8011,7052,6436,5491,8447,6462,7008
"58","2014/04/01 22:13",4527,4417,4678,3847,3457,3760,4793,3524,4132,4742,4131,3805,4571
"59","2014/04/01 22:18",2658,2523,2052,2086,1798,1862,2704,2297,2075,2389,2582,2464,2282
"60","2014/04/01 22:23",2400,2136,2355,2030,1985,1997,3179,2463,2439,2494,2335,2600,2191
"61","2014/04/01 22:28",14146,10353,8625,17751,14758,12449,9311,11642,12568,10384,10362,11216,15704
"62","2014/04/01 22:33",5443,10405,7368,5170,6926,4605,6813,8384,6880,10449,6508,6080,7502
"63","2014/04/01 22:38",3757,3950,4516,3978,3454,3294,5243,3922,3266,5187,3927,4001,3948
"64","2014/04/01 22:43",2109,2173,2156,1942,1993,1687,2228,2232,2069,2439,2468,2122,2311
"65","2014/04/01 22:48",2891,2899,3236,3680,2476,2418,2722,2698,2997,3159,2646,2957,2518
"66","2014/04/01 22:53",3264,2894,4691,3840,3542,3884,3962,3896,3384,4263,3976,3425,3583
"67","2014/04/01 22:58",4104,3192,4328,2995,3912,3641,3954,3364,2975,3864,4728,3898,3529
"68","2014/04/01 23:03",5550,5203,6571,6429,6048,7327,6387,6810,6386,6997,5835,7176,7150
"69","2014/04/01 23:08",8504,6213,7408,5904,9744,6658,8561,6982,7023,6556,7382,7685,7571
"70","2014/04/01 23:13",5435,6784,5747,6290,5155,6504,7747,4623,7259,6951,6249,5697,7582
"71","2014/04/01 23:18",12215,8206,9953,8908,8541,8434,7974,7872,8851,8908,9520,9348,8616
"72","2014/04/01 23:23",7183,8306,8718,7837,11132,8086,8248,10177,7129,10523,8290,8569,9861
"73","2014/04/01 23:28",7371,5586,6107,5912,5849,5161,6485,5745,6139,6300,6482,6812,5326
"74","2014/04/01 23:33",5128,5256,5385,6650,5826,5757,5860,6480,4351,6906,5544,5830,6012
"75","2014/04/01 23:38",8402,6170,8845,8810,7898,8852,9943,7568,6961,6842,7309,8349,6914
"76","2014/04/01 23:43",20628,18214,20004,20207,21271,16676,20446,22713,22334,18452,26386,24251,24477
"77","2014/04/01 23:48",5305,5647,5834,5917,5266,5390,6828,7939,6567,7337,5524,4671,4064
"78","2014/04/01 23:53",7176,7194,7834,5806,9057,7176,8948,3800,5426,8699,8978,5670,7700
"79","2014/04/01 23:58",8896,5843,7537,6283,7630,6992,6533,9220,7053,7896,7252,9042,6731
"80","2014/04/02 00:03",7790,6496,6837,4517,7747,5784,5995,6151,5413,6458,5304,6317,6780
"81","2014/04/02 00:08",13609,12530,9587,12578,10399,10548,12347,10576,10120,10674,11100,11065,15434
"82","2014/04/02 00:13",21240,14999,13811,19904,18607,20285,18982,15928,20622,15377,18958,21863,20916
