LDEV_Response16.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:16:00X(X154-1)","00:16:04X(X196-1)","00:16:05X(X654-1)","00:16:08X(X656-1)","00:16:0FX(X81-1)","00:16:10X(X192-1)","00:16:11X(X190-1)","00:16:12X(X193-1)","00:16:13(11-12)","00:16:14(11-13)","00:16:15(11-13)","00:16:16X(X670-1)","00:16:24X(X571-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",1957,2094,-3,-3,659,-3,-3,-3,-3,-3,-3,47141,1455
"8","2014/04/01 18:03",2667,2377,-3,-3,-3,-3,-3,-3,-3,-3,-3,40261,2032
"9","2014/04/01 18:08",4157,1825,-3,-3,442,-3,-3,-3,-3,-3,-3,56454,1749
"10","2014/04/01 18:13",1854,1608,-3,-3,461,-3,-3,-3,-3,-3,-3,38819,1636
"11","2014/04/01 18:18",1989,1806,-3,-3,365,-3,-3,-3,-3,-3,-3,34762,1886
"12","2014/04/01 18:23",2643,1817,-3,-3,1346,-3,-3,-3,-3,-3,-3,49961,1947
"13","2014/04/01 18:28",1896,2021,-3,-3,873,-3,-3,-3,-3,-3,-3,44493,1800
"14","2014/04/01 18:33",1957,2161,-3,-3,-3,-3,-3,-3,-3,-3,-3,57053,2208
"15","2014/04/01 18:38",1670,2217,-3,-3,505,-3,-3,-3,-3,-3,-3,25423,1889
"16","2014/04/01 18:43",1822,2277,-3,-3,-3,-3,-3,-3,-3,-3,-3,47612,2541
