LDEV_Response12.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:12:00X(X133-1)","00:12:01X(X131-1)","00:12:02X(X200-1)","00:12:03X(X201-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4
"7","2014/04/01 17:58",-3,-3,1365,5704
"8","2014/04/01 18:03",-3,-3,1226,974
"9","2014/04/01 18:08",-3,-3,1878,1371
"10","2014/04/01 18:13",-3,-3,5581,1622
"11","2014/04/01 18:18",-3,-3,1233,1392
"12","2014/04/01 18:23",-3,-3,1368,1554
"13","2014/04/01 18:28",-3,-3,1650,1456
"14","2014/04/01 18:33",-3,-3,1306,1641
"15","2014/04/01 18:38",-3,-3,1372,1177
"16","2014/04/01 18:43",-3,-3,1092,1125
"17","2014/04/01 18:48",-3,-3,2285,1603
"18","2014/04/01 18:53",-3,-3,1428,898
"19","2014/04/01 18:58",-3,-3,1094,1166
"20","2014/04/01 19:03",-3,-3,927,1220
"21","2014/04/01 19:08",-3,-3,4424,1779
"22","2014/04/01 19:13",-3,-3,955,1901
"23","2014/04/01 19:18",-3,-3,1221,1907
"24","2014/04/01 19:23",-3,-3,2105,1336
"25","2014/04/01 19:28",-3,-3,1912,1805
"26","2014/04/01 19:33",-3,-3,1996,590
"27","2014/04/01 19:38",-3,-3,2822,2397
"28","2014/04/01 19:43",-3,-3,1282,1284
"29","2014/04/01 19:48",-3,-3,3651,2772
"30","2014/04/01 19:53",-3,-3,1614,1551
"31","2014/04/01 19:58",-3,-3,1125,1306
"32","2014/04/01 20:03",-3,-3,1637,1414
"33","2014/04/01 20:08",-3,-3,1228,1416
"34","2014/04/01 20:13",-3,-3,913,1263
"35","2014/04/01 20:18",-3,-3,849,1170
"36","2014/04/01 20:23",-3,-3,1167,1011
"37","2014/04/01 20:28",-3,-3,1060,1201
"38","2014/04/01 20:33",-3,-3,1061,752
"39","2014/04/01 20:38",-3,-3,961,1312
"40","2014/04/01 20:43",-3,-3,1148,1136
"41","2014/04/01 20:48",-3,-3,892,1225
"42","2014/04/01 20:53",-3,-3,833,1074
"43","2014/04/01 20:58",-3,-3,1144,965
"44","2014/04/01 21:03",-3,-3,1164,1065
"45","2014/04/01 21:08",-3,-3,1078,1209
"46","2014/04/01 21:13",-3,-3,4626,1251
"47","2014/04/01 21:18",-3,-3,782,886
"48","2014/04/01 21:23",-3,-3,1009,1317
"49","2014/04/01 21:28",-3,-3,972,1133
"50","2014/04/01 21:33",-3,-3,938,1032
"51","2014/04/01 21:38",-3,-3,1165,1102
"52","2014/04/01 21:43",-3,-3,1128,1232
"53","2014/04/01 21:48",-3,-3,1006,1011
"54","2014/04/01 21:53",-3,-3,1207,1725
"55","2014/04/01 21:58",-3,-3,945,1079
"56","2014/04/01 22:03",-3,-3,862,1128
"57","2014/04/01 22:08",-3,-3,1200,1019
"58","2014/04/01 22:13",-3,-3,1012,1274
"59","2014/04/01 22:18",-3,-3,995,1101
"60","2014/04/01 22:23",-3,-3,922,1040
"61","2014/04/01 22:28",-3,-3,1002,1265
"62","2014/04/01 22:33",-3,-3,923,1039
"63","2014/04/01 22:38",-3,-3,867,1258
"64","2014/04/01 22:43",-3,-3,935,1200
"65","2014/04/01 22:48",-3,-3,877,1311
"66","2014/04/01 22:53",-3,-3,2293,1204
"67","2014/04/01 22:58",-3,-3,1064,1190
"68","2014/04/01 23:03",-3,-3,1280,1313
"69","2014/04/01 23:08",-3,-3,1420,1512
"70","2014/04/01 23:13",-3,-3,1794,2149
"71","2014/04/01 23:18",-3,-3,1344,4182
"72","2014/04/01 23:23",-3,-3,1217,1885
"73","2014/04/01 23:28",-3,-3,2039,1795
"74","2014/04/01 23:33",-3,-3,1301,1687
"75","2014/04/01 23:38",-3,-3,1137,1003
"76","2014/04/01 23:43",-3,-3,1331,1796
"77","2014/04/01 23:48",-3,-3,1213,1792
"78","2014/04/01 23:53",-3,-3,1173,975
"79","2014/04/01 23:58",-3,-3,1547,1295
"80","2014/04/02 00:03",-3,-3,1140,1400
"81","2014/04/02 00:08",-3,-3,1731,1205
"82","2014/04/02 00:13",-3,-3,1420,2171
"83","2014/04/02 00:18",-3,-3,1264,1724
"84","2014/04/02 00:23",-3,-3,1365,1341
"85","2014/04/02 00:28",-3,-3,1029,1238
"86","2014/04/02 00:33",-3,-3,1331,1917
"87","2014/04/02 00:38",-3,-3,1009,1464
"88","2014/04/02 00:43",-3,-3,1312,1836
"89","2014/04/02 00:48",-3,-3,4142,1328
"90","2014/04/02 00:53",-3,-3,942,1008
"91","2014/04/02 00:58",-3,-3,1007,1385
"92","2014/04/02 01:03",-3,-3,943,1384
"93","2014/04/02 01:08",-3,-3,1510,1416
"94","2014/04/02 01:13",-3,-3,1333,1231
"95","2014/04/02 01:18",-3,-3,1406,1875
"96","2014/04/02 01:23",-3,-3,1349,4554
