LDEV_Response5A.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D6X(X68-1)","00:5A:D7X(X66-1)","00:5A:D8X(X50-1)","00:5A:D9X(X71-1)","00:5A:FC(5-6)","00:5A:FD(5-6)","00:5A:FEX(X69-1)","00:5A:FFX(X67-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",2105,2051,2209,2157,-3,-3,497,548
"8","2014/04/01 18:03",1731,1470,1566,1630,-3,-3,1248,1304
"9","2014/04/01 18:08",2118,1848,2190,2352,-3,-3,1186,1321
"10","2014/04/01 18:13",2055,1771,2136,2123,-3,-3,412,320
"11","2014/04/01 18:18",2111,1755,1954,1966,-3,-3,1404,1381
"12","2014/04/01 18:23",1555,1130,1420,1304,-3,-3,1107,1244
"13","2014/04/01 18:28",2349,1951,2040,2324,-3,-3,368,420
"14","2014/04/01 18:33",1986,1784,1947,2145,-3,-3,1084,1427
"15","2014/04/01 18:38",3232,3361,3376,3445,-3,-3,1027,1162
"16","2014/04/01 18:43",2499,2294,2254,2593,-3,-3,250,323
"17","2014/04/01 18:48",2419,2192,2116,2562,-3,-3,792,757
"18","2014/04/01 18:53",2917,2763,2558,2883,-3,-3,385,424
"19","2014/04/01 18:58",1848,1432,1744,1916,-3,-3,2175,2170
"20","2014/04/01 19:03",1964,1963,1912,2226,-3,-3,1461,1510
"21","2014/04/01 19:08",3248,3385,2577,3686,-3,-3,2569,2868
"22","2014/04/01 19:13",3687,3047,3121,4212,-3,-3,378,382
"23","2014/04/01 19:18",2246,2092,2069,2248,-3,-3,1791,1936
"24","2014/04/01 19:23",2440,2038,2370,2343,-3,-3,480,1030
"25","2014/04/01 19:28",4045,3383,3489,4529,-3,-3,1634,1565
"26","2014/04/01 19:33",3908,3449,3339,4696,-3,-3,1103,1086
"27","2014/04/01 19:38",2108,1903,1954,2070,-3,-3,322,321
"28","2014/04/01 19:43",10305,7515,7563,11758,-3,-3,837,1502
"29","2014/04/01 19:48",5667,5707,6110,8155,-3,-3,1465,1383
"30","2014/04/01 19:53",2011,1678,1967,2231,-3,-3,440,514
"31","2014/04/01 19:58",2862,2413,2719,3215,-3,-3,716,773
"32","2014/04/01 20:03",3338,3467,3752,4220,-3,-3,679,720
"33","2014/04/01 20:08",3104,2958,2832,3664,-3,-3,300,375
"34","2014/04/01 20:13",2935,2652,2551,2902,-3,-3,1301,1190
"35","2014/04/01 20:18",2079,1865,1985,2141,-3,-3,1470,1494
"36","2014/04/01 20:23",3132,2688,2844,3129,-3,-3,347,336
"37","2014/04/01 20:28",2480,2120,2223,2802,-3,-3,1478,1730
"38","2014/04/01 20:33",4349,4355,5057,5544,-3,-3,349,433
"39","2014/04/01 20:38",2367,2092,2026,2577,-3,-3,1687,1843
"40","2014/04/01 20:43",2145,2068,1977,2134,-3,-3,2245,2232
"41","2014/04/01 20:48",2405,2211,2244,2790,-3,-3,346,462
"42","2014/04/01 20:53",2601,2374,2580,2543,-3,-3,1848,1975
"43","2014/04/01 20:58",3285,2678,3038,2910,-3,-3,1613,1602
"44","2014/04/01 21:03",3905,3825,3653,4291,-3,-3,305,375
"45","2014/04/01 21:08",4700,5032,4909,6283,-3,-3,2456,2409
"46","2014/04/01 21:13",4305,4322,4152,6122,-3,-3,2601,2578
"47","2014/04/01 21:18",1865,1563,1614,1787,-3,-3,356,409
"48","2014/04/01 21:23",4305,4039,4232,-3,-3,-3,2591,2782
