LDEV_Rnd_Write_Hit_13-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2A:B9","00:3A:9D","00:3A:9E","00:3A:9F","00:3A:A0","00:4A:1E","00:4A:1F","00:4A:20","00:5D:01","00:5D:02","00:5D:03","00:5D:04","00:5D:05","00:5D:06"
"72","2014/04/01 23:23",91,80,0,0,68,0,68,0,0,0,0,0,92,0
"73","2014/04/01 23:28",94,85,0,0,68,50,0,0,0,0,0,0,88,0
"74","2014/04/01 23:33",91,81,0,0,51,0,0,0,0,0,0,0,89,0
"75","2014/04/01 23:38",91,79,0,0,75,50,68,0,0,0,0,0,88,0
"76","2014/04/01 23:43",91,78,0,0,70,0,0,0,0,0,0,0,88,0
"77","2014/04/01 23:48",91,80,0,0,70,0,0,0,0,0,0,0,86,0
"78","2014/04/01 23:53",89,75,0,0,68,50,67,0,0,0,0,0,88,0
"79","2014/04/01 23:58",90,76,0,0,71,50,0,0,0,0,0,0,90,0
"80","2014/04/02 00:03",90,81,0,0,70,0,64,0,0,0,0,0,91,0
"81","2014/04/02 00:08",90,78,0,0,51,0,70,0,0,0,0,0,90,0
"82","2014/04/02 00:13",87,77,0,0,76,50,0,0,0,0,0,0,91,0
"83","2014/04/02 00:18",87,81,0,0,72,0,67,0,0,0,0,0,93,0
"84","2014/04/02 00:23",84,79,0,0,70,0,0,0,0,0,0,0,89,0
"85","2014/04/02 00:28",89,78,0,0,70,50,65,0,0,0,0,0,90,0
"86","2014/04/02 00:33",89,78,0,0,66,0,0,0,0,0,0,0,90,0
"87","2014/04/02 00:38",90,85,0,0,63,50,0,0,0,0,0,0,93,0
"88","2014/04/02 00:43",95,81,0,0,64,0,65,0,0,0,0,0,92,0
"89","2014/04/02 00:48",91,85,0,0,76,0,70,0,0,0,0,0,91,0
"90","2014/04/02 00:53",90,77,0,0,70,50,0,0,0,0,0,0,92,0
"91","2014/04/02 00:58",91,85,0,0,76,50,65,0,0,0,0,0,89,0
"92","2014/04/02 01:03",87,84,0,0,73,0,63,0,0,0,0,0,90,0
"93","2014/04/02 01:08",0,86,0,0,70,0,71,0,0,0,0,0,92,0
"94","2014/04/02 01:13",0,84,0,0,68,50,0,0,0,0,0,0,90,0
"95","2014/04/02 01:18",0,84,0,0,68,0,0,0,0,0,0,0,90,0
"96","2014/04/02 01:23",0,78,0,0,71,0,68,0,0,0,0,0,90,0
