LDEV_Rnd_Write_Hit_1-13.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:F2","00:00:F3","00:00:F9","00:00:FA","00:00:FB","00:00:FC","00:00:FD","00:00:FE","00:00:FF","00:01:00","00:01:01","00:01:02","00:01:03","00:20:18","00:20:19"
"1","2014/04/01 17:28",0,0,0,0,0,0,89,95,0,96,100,0,0,93,78
"2","2014/04/01 17:33",0,0,0,0,0,0,90,96,0,98,100,100,100,100,94
"3","2014/04/01 17:38",0,0,0,0,0,0,90,96,0,98,0,66,100,97,91
"4","2014/04/01 17:43",0,0,0,0,0,0,91,97,0,97,28,90,100,98,75
"5","2014/04/01 17:48",0,0,0,0,0,0,89,97,0,97,36,18,71,98,96
"6","2014/04/01 17:53",0,0,0,0,0,0,89,96,0,96,100,100,100,99,88
"7","2014/04/01 17:58",0,0,0,0,0,0,89,97,0,97,100,77,78,100,79
"8","2014/04/01 18:03",0,0,0,0,0,0,90,97,0,98,83,0,0,100,100
"9","2014/04/01 18:08",0,0,0,0,0,0,89,98,0,95,76,0,62,98,100
"10","2014/04/01 18:13",0,0,0,0,0,0,90,97,0,96,100,30,66,97,37
"11","2014/04/01 18:18",0,0,0,0,0,0,91,97,0,97,100,50,84,100,90
"12","2014/04/01 18:23",0,0,0,0,0,0,91,96,0,97,91,63,100,94,80
"13","2014/04/01 18:28",0,0,0,0,0,0,90,96,0,97,60,100,100,93,82
"14","2014/04/01 18:33",37,23,17,0,0,0,91,95,0,96,75,0,66,99,91
"15","2014/04/01 18:38",0,0,0,0,0,0,89,95,0,96,69,0,33,97,71
"16","2014/04/01 18:43",0,0,0,0,0,0,91,95,0,96,0,0,88,92,66
"17","2014/04/01 18:48",0,0,0,0,0,0,89,97,0,98,85,0,100,98,76
"18","2014/04/01 18:53",0,0,0,0,0,0,92,99,0,97,66,75,100,96,82
"19","2014/04/01 18:58",0,0,0,0,0,0,92,97,0,98,100,0,0,93,76
"20","2014/04/01 19:03",81,0,0,0,0,0,91,97,0,90,71,15,82,98,71
"21","2014/04/01 19:08",0,0,0,0,0,0,86,86,0,90,23,60,70,90,81
"22","2014/04/01 19:13",62,0,0,0,0,0,89,95,0,96,50,91,100,95,71
"23","2014/04/01 19:18",0,0,0,0,0,0,91,95,0,95,90,87,86,97,92
"24","2014/04/01 19:23",0,0,0,0,0,0,88,92,0,99,96,94,93,95,83
"25","2014/04/01 19:28",86,0,0,0,0,0,91,96,0,98,97,95,93,89,87
"26","2014/04/01 19:33",82,0,0,0,0,0,90,95,0,89,82,53,77,100,83
"27","2014/04/01 19:38",0,0,0,0,0,0,91,95,0,93,80,50,57,95,62
"28","2014/04/01 19:43",0,0,0,0,0,0,92,97,0,95,48,33,87,95,64
"29","2014/04/01 19:48",0,0,0,0,0,0,91,97,0,97,83,100,88,99,78
"30","2014/04/01 19:53",0,0,0,0,0,0,93,96,0,96,82,54,83,98,95
"31","2014/04/01 19:58",0,0,0,0,0,0,92,97,0,99,83,100,100,97,65
"32","2014/04/01 20:03",0,0,0,0,0,0,77,97,0,96,64,91,85,98,96
"33","2014/04/01 20:08",0,0,0,0,0,0,59,90,0,98,100,100,90,100,94
"34","2014/04/01 20:13",0,0,0,0,0,0,75,86,0,94,68,90,94,97,74
"35","2014/04/01 20:18",0,0,0,0,0,0,90,89,0,98,88,0,0,99,51
"36","2014/04/01 20:23",0,0,0,0,0,0,93,94,0,98,65,25,94,91,72
"37","2014/04/01 20:28",0,0,0,0,0,0,93,95,0,96,94,0,60,97,81
"38","2014/04/01 20:33",0,0,0,0,0,0,91,96,0,95,83,80,95,100,100
"39","2014/04/01 20:38",0,0,0,0,0,0,91,98,0,97,84,92,100,99,97
"40","2014/04/01 20:43",39,34,44,0,0,0,91,96,0,97,100,0,100,96,79
"41","2014/04/01 20:48",0,0,0,0,0,0,91,96,0,99,100,50,100,98,77
"42","2014/04/01 20:53",0,0,0,0,0,0,91,97,0,99,100,100,100,95,88
"43","2014/04/01 20:58",0,0,0,0,0,0,94,97,0,99,85,0,87,96,83
"44","2014/04/01 21:03",0,0,0,0,0,0,91,98,0,99,100,69,100,100,100
"45","2014/04/01 21:08",0,0,0,0,0,0,86,89,0,98,0,100,100,99,100
"46","2014/04/01 21:13",0,0,0,0,0,0,89,95,0,98,64,76,100,97,66
"47","2014/04/01 21:18",0,0,0,0,0,0,91,96,0,98,100,100,100,100,69
"48","2014/04/01 21:23",0,0,0,0,0,0,90,94,0,99,100,100,100,96,91
"49","2014/04/01 21:28",0,0,0,0,0,0,91,98,0,99,50,100,100,95,81
"50","2014/04/01 21:33",100,0,0,0,0,0,92,97,0,99,82,100,100,100,84
"51","2014/04/01 21:38",0,0,0,0,0,0,91,95,0,99,0,0,100,97,96
"52","2014/04/01 21:43",0,0,0,0,0,0,97,97,0,90,73,63,85,93,68
"53","2014/04/01 21:48",0,0,0,0,0,0,91,97,0,95,85,83,82,95,60
"54","2014/04/01 21:53",0,0,0,0,0,0,91,94,0,96,79,82,75,95,84
"55","2014/04/01 21:58",0,0,0,0,0,0,81,85,0,97,86,79,85,95,86
"56","2014/04/01 22:03",0,0,0,0,0,0,94,91,0,96,93,88,86,100,89
"57","2014/04/01 22:08",0,0,0,0,0,0,89,92,0,96,76,78,88,93,95
"58","2014/04/01 22:13",0,0,0,0,0,0,90,96,0,95,85,71,84,92,77
"59","2014/04/01 22:18",0,0,0,0,0,0,91,96,0,96,85,84,88,98,100
"60","2014/04/01 22:23",0,0,0,0,0,0,89,95,0,96,85,79,72,92,89
"61","2014/04/01 22:28",0,0,0,0,0,0,97,94,0,96,89,85,93,94,80
"62","2014/04/01 22:33",0,0,0,0,0,0,93,95,0,97,91,86,88,99,93
"63","2014/04/01 22:38",0,0,0,0,0,0,90,93,0,98,86,94,94,92,92
"64","2014/04/01 22:43",0,0,0,0,0,0,91,89,0,97,90,88,87,95,95
"65","2014/04/01 22:48",0,0,0,0,0,0,90,89,0,97,93,89,81,97,91
"66","2014/04/01 22:53",0,0,0,0,0,0,92,90,0,96,91,76,75,100,90
"67","2014/04/01 22:58",0,0,0,0,0,0,90,89,0,97,77,76,95,98,100
"68","2014/04/01 23:03",0,0,0,0,0,0,87,89,0,95,72,72,89,96,0
"69","2014/04/01 23:08",0,0,0,0,0,0,84,81,0,95,71,64,60,90,53
"70","2014/04/01 23:13",0,0,0,0,0,0,91,88,0,94,81,34,56,95,59
"71","2014/04/01 23:18",0,0,0,0,0,0,93,89,0,93,65,71,78,97,60
"72","2014/04/01 23:23",0,0,0,0,0,0,87,88,0,90,79,55,60,92,51
"73","2014/04/01 23:28",0,0,0,0,0,0,89,92,0,93,74,55,81,87,84
"74","2014/04/01 23:33",0,0,0,0,0,0,86,89,0,93,71,56,85,97,76
"75","2014/04/01 23:38",0,0,0,0,0,0,88,90,0,88,73,56,69,96,78
"76","2014/04/01 23:43",0,0,0,0,0,0,89,92,0,92,71,58,82,80,27
"77","2014/04/01 23:48",0,0,0,0,0,0,87,91,0,93,71,76,85,95,84
"78","2014/04/01 23:53",0,0,0,0,0,0,88,93,0,89,75,58,61,91,65
"79","2014/04/01 23:58",0,0,0,0,0,0,89,94,0,90,64,43,74,95,86
"80","2014/04/02 00:03",66,0,0,0,0,0,87,92,0,90,66,69,92,96,79
"81","2014/04/02 00:08",0,0,0,0,0,0,86,88,0,87,69,48,58,93,67
"82","2014/04/02 00:13",0,0,0,0,0,0,89,96,0,91,81,75,93,93,57
"83","2014/04/02 00:18",72,0,0,0,0,0,92,96,0,92,92,85,100,97,63
"84","2014/04/02 00:23",0,0,0,0,0,0,89,94,0,91,72,71,64,94,77
"85","2014/04/02 00:28",0,0,0,0,0,0,92,92,0,95,84,95,100,93,60
"86","2014/04/02 00:33",78,0,0,0,0,0,91,91,0,88,73,55,100,97,100
"87","2014/04/02 00:38",0,0,0,0,0,0,88,95,0,91,79,88,79,99,77
"88","2014/04/02 00:43",0,0,0,0,0,0,90,95,0,92,71,87,94,92,75
"89","2014/04/02 00:48",0,0,0,0,0,0,90,95,0,95,83,96,93,99,86
"90","2014/04/02 00:53",0,0,0,0,0,0,92,95,0,94,76,88,83,94,60
"91","2014/04/02 00:58",0,0,0,0,0,0,93,96,0,96,85,91,96,92,97
"92","2014/04/02 01:03",25,27,37,0,0,0,89,94,0,95,82,90,84,97,80
"93","2014/04/02 01:08",95,0,0,0,0,0,82,86,0,95,81,73,66,90,67
"94","2014/04/02 01:13",0,0,0,0,0,0,86,93,0,95,80,91,80,90,59
"95","2014/04/02 01:18",89,0,0,0,0,0,85,94,0,92,83,50,71,90,92
"96","2014/04/02 01:23",0,0,0,0,0,0,90,90,0,93,78,79,76,92,62
