LDEV_Rnd_Write_Hit_1-11.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:D3","00:00:D4","00:00:D5","00:20:15"
"1","2014/04/01 17:28",96,0,0,99
"2","2014/04/01 17:33",100,0,0,99
"3","2014/04/01 17:38",96,0,0,88
"4","2014/04/01 17:43",96,0,0,91
"5","2014/04/01 17:48",96,0,0,68
"6","2014/04/01 17:53",100,0,0,91
"7","2014/04/01 17:58",93,0,0,95
"8","2014/04/01 18:03",100,0,0,83
"9","2014/04/01 18:08",93,0,0,93
"10","2014/04/01 18:13",100,0,0,79
"11","2014/04/01 18:18",100,0,0,99
"12","2014/04/01 18:23",93,0,0,98
"13","2014/04/01 18:28",100,0,0,96
"14","2014/04/01 18:33",93,0,0,77
"15","2014/04/01 18:38",100,0,0,58
"16","2014/04/01 18:43",96,0,0,95
"17","2014/04/01 18:48",96,0,0,96
"18","2014/04/01 18:53",96,0,0,98
"19","2014/04/01 18:58",100,0,0,97
"20","2014/04/01 19:03",96,0,0,97
"21","2014/04/01 19:08",96,0,0,68
"22","2014/04/01 19:13",96,0,0,77
"23","2014/04/01 19:18",100,0,0,80
"24","2014/04/01 19:23",93,0,0,83
"25","2014/04/01 19:28",100,0,0,90
"26","2014/04/01 19:33",93,0,0,76
"27","2014/04/01 19:38",93,0,0,88
"28","2014/04/01 19:43",100,0,0,98
"29","2014/04/01 19:48",93,0,0,95
"30","2014/04/01 19:53",100,0,0,89
"31","2014/04/01 19:58",93,0,0,97
"32","2014/04/01 20:03",100,0,0,93
"33","2014/04/01 20:08",93,0,0,86
"34","2014/04/01 20:13",100,0,0,81
"35","2014/04/01 20:18",96,0,0,95
"36","2014/04/01 20:23",96,0,0,99
"37","2014/04/01 20:28",96,0,0,98
"38","2014/04/01 20:33",100,0,0,94
"39","2014/04/01 20:38",96,0,0,98
"40","2014/04/01 20:43",100,0,0,97
"41","2014/04/01 20:48",96,0,0,93
"42","2014/04/01 20:53",100,0,0,95
"43","2014/04/01 20:58",96,0,0,98
"44","2014/04/01 21:03",100,0,0,99
"45","2014/04/01 21:08",96,0,0,99
"46","2014/04/01 21:13",100,0,0,99
"47","2014/04/01 21:18",100,0,0,98
"48","2014/04/01 21:23",96,0,0,99
"49","2014/04/01 21:28",100,0,0,98
"50","2014/04/01 21:33",96,0,0,99
"51","2014/04/01 21:38",100,0,0,97
"52","2014/04/01 21:43",96,0,0,99
"53","2014/04/01 21:48",100,0,0,96
"54","2014/04/01 21:53",96,0,0,98
"55","2014/04/01 21:58",100,0,0,97
"56","2014/04/01 22:03",96,0,0,99
"57","2014/04/01 22:08",100,0,0,98
"58","2014/04/01 22:13",96,0,0,97
"59","2014/04/01 22:18",100,0,0,98
"60","2014/04/01 22:23",97,0,0,97
"61","2014/04/01 22:28",100,0,0,96
"62","2014/04/01 22:33",96,0,0,98
"63","2014/04/01 22:38",100,0,0,98
"64","2014/04/01 22:43",96,0,0,96
"65","2014/04/01 22:48",100,0,0,85
"66","2014/04/01 22:53",96,0,0,97
"67","2014/04/01 22:58",100,0,0,88
"68","2014/04/01 23:03",83,0,0,66
"69","2014/04/01 23:08",17,0,0,83
"70","2014/04/01 23:13",100,0,0,55
"71","2014/04/01 23:18",100,0,0,67
"72","2014/04/01 23:23",93,0,0,71
"73","2014/04/01 23:28",96,0,0,64
"74","2014/04/01 23:33",93,0,0,61
"75","2014/04/01 23:38",96,0,0,35
"76","2014/04/01 23:43",100,0,0,57
"77","2014/04/01 23:48",90,0,0,70
"78","2014/04/01 23:53",100,0,0,62
"79","2014/04/01 23:58",91,0,0,78
"80","2014/04/02 00:03",100,0,0,68
"81","2014/04/02 00:08",96,0,0,77
"82","2014/04/02 00:13",93,0,0,90
"83","2014/04/02 00:18",96,0,0,84
"84","2014/04/02 00:23",93,0,0,93
"85","2014/04/02 00:28",96,0,0,84
"86","2014/04/02 00:33",100,0,0,93
"87","2014/04/02 00:38",90,0,0,93
"88","2014/04/02 00:43",100,0,0,93
"89","2014/04/02 00:48",90,0,0,97
"90","2014/04/02 00:53",100,0,0,90
"91","2014/04/02 00:58",93,0,0,99
"92","2014/04/02 01:03",100,0,0,89
"93","2014/04/02 01:08",96,0,0,78
"94","2014/04/02 01:13",93,0,0,80
"95","2014/04/02 01:18",96,0,0,85
"96","2014/04/02 01:23",93,0,0,97
