LDEV_Rnd_Write_Hit_1-14.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:0B","00:01:0C","00:01:0D","00:01:0E","00:01:0F","00:01:10","00:01:11","00:01:12","00:01:13","00:01:14","00:01:15","00:20:1A","00:20:1B","00:AB:0C"
"72","2014/04/01 23:23",58,100,75,37,97,90,99,87,100,91,0,95,91,0
"73","2014/04/01 23:28",91,100,66,100,98,89,99,79,100,94,0,97,90,0
"74","2014/04/01 23:33",77,98,100,66,96,92,98,62,100,96,0,98,100,0
"75","2014/04/01 23:38",56,95,50,0,86,97,99,50,100,97,50,95,89,0
"76","2014/04/01 23:43",81,98,75,0,97,100,98,100,100,98,0,89,75,0
"77","2014/04/01 23:48",81,100,71,85,95,91,100,87,100,98,0,97,98,0
"78","2014/04/01 23:53",69,94,50,100,97,78,96,78,100,94,50,97,90,0
"79","2014/04/01 23:58",92,99,69,100,91,96,97,66,100,99,100,97,91,0
"80","2014/04/02 00:03",94,94,100,100,98,97,100,100,100,99,0,98,86,0
"81","2014/04/02 00:08",87,100,83,66,85,89,98,90,100,99,50,96,84,0
"82","2014/04/02 00:13",91,97,86,33,85,93,94,92,100,99,100,96,83,0
"83","2014/04/02 00:18",87,100,80,0,98,97,97,87,80,99,0,95,96,0
"84","2014/04/02 00:23",78,98,86,33,93,89,97,81,100,97,100,97,94,0
"85","2014/04/02 00:28",95,100,100,0,95,85,100,68,100,98,100,97,96,0
"86","2014/04/02 00:33",60,85,66,33,98,91,100,90,100,100,25,98,86,0
"87","2014/04/02 00:38",89,96,75,0,97,100,93,66,100,98,100,96,87,0
"88","2014/04/02 00:43",80,98,88,50,90,90,99,66,100,98,100,95,83,0
"89","2014/04/02 00:48",91,100,84,0,88,93,97,100,100,99,0,97,94,0
"90","2014/04/02 00:53",75,96,85,85,95,95,94,33,100,98,100,96,87,0
"91","2014/04/02 00:58",87,100,87,0,96,95,94,70,100,99,0,96,94,0
"92","2014/04/02 01:03",85,98,87,86,93,98,99,73,100,98,62,96,96,0
"93","2014/04/02 01:08",75,96,100,90,89,94,96,60,100,98,100,95,93,0
"94","2014/04/02 01:13",78,98,62,100,91,94,97,67,100,98,0,97,85,0
"95","2014/04/02 01:18",84,98,66,50,97,96,99,98,100,98,70,97,98,0
"96","2014/04/02 01:23",77,84,71,66,92,95,100,87,93,97,64,97,96,0
