LDEV_Rnd_Write_Hit_3-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:20:09","00:20:1E"
"1","2014/04/01 17:28",0,58
"2","2014/04/01 17:33",0,100
"3","2014/04/01 17:38",0,90
"4","2014/04/01 17:43",0,100
"5","2014/04/01 17:48",0,100
"6","2014/04/01 17:53",0,95
"7","2014/04/01 17:58",0,100
"8","2014/04/01 18:03",0,93
"9","2014/04/01 18:08",0,100
"10","2014/04/01 18:13",0,80
"11","2014/04/01 18:18",0,100
"12","2014/04/01 18:23",0,100
"13","2014/04/01 18:28",0,75
"14","2014/04/01 18:33",0,100
"15","2014/04/01 18:38",0,86
"16","2014/04/01 18:43",0,75
"17","2014/04/01 18:48",0,86
"18","2014/04/01 18:53",0,100
"19","2014/04/01 18:58",0,100
"20","2014/04/01 19:03",0,94
"21","2014/04/01 19:08",0,41
"22","2014/04/01 19:13",0,73
"23","2014/04/01 19:18",0,100
"24","2014/04/01 19:23",0,51
"25","2014/04/01 19:28",0,100
"26","2014/04/01 19:33",0,53
"27","2014/04/01 19:38",0,85
"28","2014/04/01 19:43",0,92
"29","2014/04/01 19:48",0,100
"30","2014/04/01 19:53",0,94
"31","2014/04/01 19:58",0,100
"32","2014/04/01 20:03",0,100
"33","2014/04/01 20:08",0,85
"34","2014/04/01 20:13",0,100
"35","2014/04/01 20:18",0,47
"36","2014/04/01 20:23",0,69
"37","2014/04/01 20:28",0,96
"38","2014/04/01 20:33",0,96
"39","2014/04/01 20:38",0,97
"40","2014/04/01 20:43",0,100
"41","2014/04/01 20:48",0,97
"42","2014/04/01 20:53",0,100
"43","2014/04/01 20:58",0,100
"44","2014/04/01 21:03",0,98
"45","2014/04/01 21:08",0,100
"46","2014/04/01 21:13",0,93
"47","2014/04/01 21:18",0,97
"48","2014/04/01 21:23",0,100
"49","2014/04/01 21:28",0,100
"50","2014/04/01 21:33",0,100
"51","2014/04/01 21:38",0,100
"52","2014/04/01 21:43",0,100
"53","2014/04/01 21:48",0,57
"54","2014/04/01 21:53",0,96
"55","2014/04/01 21:58",0,100
"56","2014/04/01 22:03",0,100
"57","2014/04/01 22:08",0,100
"58","2014/04/01 22:13",0,93
"59","2014/04/01 22:18",0,94
"60","2014/04/01 22:23",0,100
"61","2014/04/01 22:28",0,94
"62","2014/04/01 22:33",0,100
"63","2014/04/01 22:38",0,100
"64","2014/04/01 22:43",0,100
"65","2014/04/01 22:48",0,100
"66","2014/04/01 22:53",0,100
"67","2014/04/01 22:58",0,100
"68","2014/04/01 23:03",0,100
"69","2014/04/01 23:08",0,52
"70","2014/04/01 23:13",0,90
"71","2014/04/01 23:18",0,100
"72","2014/04/01 23:23",0,69
"73","2014/04/01 23:28",0,82
"74","2014/04/01 23:33",0,57
"75","2014/04/01 23:38",0,57
"76","2014/04/01 23:43",0,100
"77","2014/04/01 23:48",0,67
"78","2014/04/01 23:53",0,100
"79","2014/04/01 23:58",0,80
"80","2014/04/02 00:03",0,86
"81","2014/04/02 00:08",0,79
"82","2014/04/02 00:13",0,95
"83","2014/04/02 00:18",0,100
"84","2014/04/02 00:23",0,85
"85","2014/04/02 00:28",0,100
"86","2014/04/02 00:33",0,100
"87","2014/04/02 00:38",0,100
"88","2014/04/02 00:43",0,58
"89","2014/04/02 00:48",0,100
"90","2014/04/02 00:53",0,100
"91","2014/04/02 00:58",0,93
"92","2014/04/02 01:03",0,97
"93","2014/04/02 01:08",0,88
"94","2014/04/02 01:13",0,93
"95","2014/04/02 01:18",0,85
"96","2014/04/02 01:23",0,90
