LDEV_Seq_Read_HitC9.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C9:14X(X811-1)","00:C9:15X(X812-1)","00:C9:16X(X813-1)","00:C9:17X(X814-1)","00:C9:19X(X816-1)","00:C9:1AX(X817-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,94,93,94,95,100
"8","2014/04/01 18:03",0,96,93,95,96,0
"9","2014/04/01 18:08",0,95,92,95,96,0
"10","2014/04/01 18:13",100,97,94,95,96,100
"11","2014/04/01 18:18",0,93,93,93,94,0
"12","2014/04/01 18:23",0,95,93,94,94,0
"13","2014/04/01 18:28",0,89,88,91,89,0
"14","2014/04/01 18:33",0,94,93,94,93,0
"15","2014/04/01 18:38",0,92,93,93,92,40
"16","2014/04/01 18:43",0,97,96,96,96,0
"17","2014/04/01 18:48",0,95,95,94,95,0
"18","2014/04/01 18:53",0,96,94,95,95,0
"19","2014/04/01 18:58",0,95,95,94,94,0
"20","2014/04/01 19:03",0,95,94,95,95,0
"21","2014/04/01 19:08",100,96,97,96,97,98
"22","2014/04/01 19:13",98,97,96,97,97,100
"23","2014/04/01 19:18",100,97,97,96,96,100
"24","2014/04/01 19:23",100,95,96,95,95,91
"25","2014/04/01 19:28",100,96,94,96,95,100
"26","2014/04/01 19:33",100,96,96,95,96,99
"27","2014/04/01 19:38",0,93,93,93,92,100
"28","2014/04/01 19:43",0,64,60,63,65,0
"29","2014/04/01 19:48",0,65,60,66,63,0
"30","2014/04/01 19:53",0,75,71,75,77,0
"31","2014/04/01 19:58",100,87,86,84,89,100
"32","2014/04/01 20:03",0,94,94,93,92,0
"33","2014/04/01 20:08",100,93,93,93,94,100
"34","2014/04/01 20:13",91,94,94,93,93,100
"35","2014/04/01 20:18",100,95,94,94,95,100
"36","2014/04/01 20:23",0,95,95,95,94,0
"37","2014/04/01 20:28",0,94,93,92,93,0
"38","2014/04/01 20:33",0,94,94,93,94,0
"39","2014/04/01 20:38",0,96,95,95,96,0
"40","2014/04/01 20:43",0,95,96,96,95,0
"41","2014/04/01 20:48",0,95,95,95,94,0
"42","2014/04/01 20:53",0,97,97,96,96,0
"43","2014/04/01 20:58",0,93,91,91,92,0
"44","2014/04/01 21:03",0,95,95,94,94,0
"45","2014/04/01 21:08",100,90,87,89,87,98
"46","2014/04/01 21:13",100,91,89,89,92,100
"47","2014/04/01 21:18",100,85,83,83,85,100
"48","2014/04/01 21:23",100,89,83,84,87,100
"49","2014/04/01 21:28",100,90,87,87,86,0
"50","2014/04/01 21:33",100,86,82,82,86,100
"51","2014/04/01 21:38",100,87,88,86,88,60
"52","2014/04/01 21:43",0,88,82,89,86,0
"53","2014/04/01 21:48",0,84,83,80,84,0
"54","2014/04/01 21:53",0,87,86,87,87,0
"55","2014/04/01 21:58",100,75,75,76,77,100
"56","2014/04/01 22:03",0,87,88,88,88,0
"57","2014/04/01 22:08",100,85,81,85,86,100
"58","2014/04/01 22:13",85,88,87,87,87,85
"59","2014/04/01 22:18",0,89,91,90,90,0
"60","2014/04/01 22:23",100,93,92,92,92,100
"61","2014/04/01 22:28",0,91,92,92,91,0
"62","2014/04/01 22:33",0,89,89,87,89,0
"63","2014/04/01 22:38",0,88,88,89,90,0
"64","2014/04/01 22:43",0,93,93,93,93,0
"65","2014/04/01 22:48",0,93,93,94,94,0
"66","2014/04/01 22:53",0,92,90,91,90,0
"67","2014/04/01 22:58",0,91,88,89,91,100
"68","2014/04/01 23:03",0,90,90,91,90,0
"69","2014/04/01 23:08",100,91,89,90,90,100
"70","2014/04/01 23:13",100,90,92,91,91,100
"71","2014/04/01 23:18",100,91,87,88,90,100
"72","2014/04/01 23:23",100,90,91,92,91,100
"73","2014/04/01 23:28",100,91,90,91,91,0
"74","2014/04/01 23:33",100,91,91,91,91,94
"75","2014/04/01 23:38",100,92,93,92,92,100
"76","2014/04/01 23:43",100,93,92,93,93,0
"77","2014/04/01 23:48",0,93,92,93,93,0
"78","2014/04/01 23:53",0,93,93,92,94,0
"79","2014/04/01 23:58",100,94,94,94,95,100
"80","2014/04/02 00:03",0,94,93,94,93,0
"81","2014/04/02 00:08",100,93,94,94,94,100
"82","2014/04/02 00:13",100,94,94,94,94,100
"83","2014/04/02 00:18",0,94,93,94,94,0
"84","2014/04/02 00:23",0,94,94,94,94,100
"85","2014/04/02 00:28",0,94,93,95,94,0
"86","2014/04/02 00:33",0,94,94,95,94,0
"87","2014/04/02 00:38",50,94,94,94,93,80
"88","2014/04/02 00:43",0,94,94,95,94,0
"89","2014/04/02 00:48",0,95,95,94,95,0
"90","2014/04/02 00:53",0,94,94,93,94,0
"91","2014/04/02 00:58",0,95,94,94,94,0
"92","2014/04/02 01:03",0,93,94,93,93,0
"93","2014/04/02 01:08",100,90,88,88,89,100
"94","2014/04/02 01:13",100,91,90,91,90,100
"95","2014/04/02 01:18",100,92,90,91,92,94
"96","2014/04/02 01:23",100,94,94,93,94,92
