LDEV_BackTrans_3-9.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:20:1F","00:20:20","00:20:21","00:20:22","00:20:23","00:20:24","00:20:25","00:20:26","00:20:27","00:20:28","00:20:2E","00:20:2F","00:5C:E6"
"1","2014/04/01 17:28",1,3,0,0,2,0,0,0,0,0,0,0,0
"2","2014/04/01 17:33",1,3,0,0,3,0,0,0,0,0,0,0,0
"3","2014/04/01 17:38",1,2,0,0,2,0,0,0,0,0,0,0,0
"4","2014/04/01 17:43",1,2,0,0,2,0,0,0,0,0,0,0,0
"5","2014/04/01 17:48",1,3,0,0,2,0,0,0,0,0,0,0,0
"6","2014/04/01 17:53",1,3,0,0,2,0,0,0,0,0,0,0,0
"7","2014/04/01 17:58",1,3,0,0,3,0,0,0,0,0,0,0,0
"8","2014/04/01 18:03",1,3,0,0,2,0,0,0,0,0,0,0,0
"9","2014/04/01 18:08",1,3,0,0,2,0,0,0,0,0,0,0,0
"10","2014/04/01 18:13",1,3,0,0,2,0,0,0,0,0,0,0,0
"11","2014/04/01 18:18",1,3,0,0,2,0,0,0,0,0,0,0,0
"12","2014/04/01 18:23",1,3,0,0,2,0,0,0,0,0,0,0,0
"13","2014/04/01 18:28",1,3,0,0,2,0,0,0,0,0,0,0,0
"14","2014/04/01 18:33",1,3,0,0,3,0,0,0,0,0,0,0,0
"15","2014/04/01 18:38",1,3,0,0,2,0,0,0,0,0,0,0,0
"16","2014/04/01 18:43",1,3,0,0,2,0,0,0,0,0,0,0,0
"17","2014/04/01 18:48",1,3,0,0,3,0,0,0,0,0,0,0,0
"18","2014/04/01 18:53",1,3,0,0,2,0,0,0,0,0,0,0,0
"19","2014/04/01 18:58",1,2,0,0,2,0,0,0,0,0,0,0,0
"20","2014/04/01 19:03",1,2,0,0,2,0,0,0,0,0,0,0,0
"21","2014/04/01 19:08",1,3,0,0,2,0,0,0,0,0,0,0,0
"22","2014/04/01 19:13",1,3,0,0,3,0,0,0,0,0,0,0,0
"23","2014/04/01 19:18",1,3,0,0,3,0,0,0,0,0,0,0,0
"24","2014/04/01 19:23",1,3,0,0,2,0,0,0,0,0,0,0,0
"25","2014/04/01 19:28",1,3,0,0,2,0,0,0,0,0,0,0,0
"26","2014/04/01 19:33",1,3,0,0,2,0,0,0,0,0,0,0,0
"27","2014/04/01 19:38",1,3,0,0,3,0,0,0,0,0,0,0,0
