PHY_Short_Cache_Usage_Rate.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00(CLPR0)","01(CLPR1)","02(CLPR2)"
"1","2014/04/01 17:28",-4,-4,-4
"2","2014/04/01 17:33",99,98,97
"3","2014/04/01 17:38",99,98,97
"4","2014/04/01 17:43",99,98,97
"5","2014/04/01 17:48",99,98,97
"6","2014/04/01 17:53",99,98,97
"7","2014/04/01 17:58",99,98,97
"8","2014/04/01 18:03",99,98,97
"9","2014/04/01 18:08",99,98,97
"10","2014/04/01 18:13",99,98,97
"11","2014/04/01 18:18",99,98,97
"12","2014/04/01 18:23",99,98,97
"13","2014/04/01 18:28",98,98,97
"14","2014/04/01 18:33",99,98,97
"15","2014/04/01 18:38",99,98,97
"16","2014/04/01 18:43",99,98,97
"17","2014/04/01 18:48",99,98,97
"18","2014/04/01 18:53",99,98,97
"19","2014/04/01 18:58",99,98,97
"20","2014/04/01 19:03",99,98,98
"21","2014/04/01 19:08",99,98,98
"22","2014/04/01 19:13",99,98,98
"23","2014/04/01 19:18",99,98,97
"24","2014/04/01 19:23",99,98,98
"25","2014/04/01 19:28",99,98,79
"26","2014/04/01 19:33",99,98,59
"27","2014/04/01 19:38",99,98,59
"28","2014/04/01 19:43",99,98,60
"29","2014/04/01 19:48",99,98,61
"30","2014/04/01 19:53",99,98,61
"31","2014/04/01 19:58",99,98,62
"32","2014/04/01 20:03",99,98,62
"33","2014/04/01 20:08",99,98,62
"34","2014/04/01 20:13",99,98,63
"35","2014/04/01 20:18",99,98,63
"36","2014/04/01 20:23",99,98,63
"37","2014/04/01 20:28",99,98,64
"38","2014/04/01 20:33",99,98,64
"39","2014/04/01 20:38",99,98,65
"40","2014/04/01 20:43",99,98,65
"41","2014/04/01 20:48",99,98,65
"42","2014/04/01 20:53",99,98,66
"43","2014/04/01 20:58",99,98,66
"44","2014/04/01 21:03",99,98,66
"45","2014/04/01 21:08",99,98,67
"46","2014/04/01 21:13",99,98,67
"47","2014/04/01 21:18",99,98,67
"48","2014/04/01 21:23",99,98,68
"49","2014/04/01 21:28",99,98,68
"50","2014/04/01 21:33",99,98,68
"51","2014/04/01 21:38",99,98,69
"52","2014/04/01 21:43",99,98,69
"53","2014/04/01 21:48",99,98,69
"54","2014/04/01 21:53",99,98,73
"55","2014/04/01 21:58",99,98,75
"56","2014/04/01 22:03",99,98,76
"57","2014/04/01 22:08",99,98,77
"58","2014/04/01 22:13",99,98,78
"59","2014/04/01 22:18",99,98,80
"60","2014/04/01 22:23",99,98,82
"61","2014/04/01 22:28",99,98,81
"62","2014/04/01 22:33",99,98,81
"63","2014/04/01 22:38",99,98,81
"64","2014/04/01 22:43",99,98,83
"65","2014/04/01 22:48",99,99,83
"66","2014/04/01 22:53",99,98,83
"67","2014/04/01 22:58",99,98,84
"68","2014/04/01 23:03",99,98,90
"69","2014/04/01 23:08",99,98,97
"70","2014/04/01 23:13",99,98,97
"71","2014/04/01 23:18",99,98,97
"72","2014/04/01 23:23",99,98,98
"73","2014/04/01 23:28",99,98,97
"74","2014/04/01 23:33",99,98,97
"75","2014/04/01 23:38",99,98,97
"76","2014/04/01 23:43",99,98,97
"77","2014/04/01 23:48",99,98,97
"78","2014/04/01 23:53",99,98,97
"79","2014/04/01 23:58",99,98,98
"80","2014/04/02 00:03",99,98,97
"81","2014/04/02 00:08",99,98,97
"82","2014/04/02 00:13",99,98,97
"83","2014/04/02 00:18",99,98,97
"84","2014/04/02 00:23",99,98,97
"85","2014/04/02 00:28",99,98,97
"86","2014/04/02 00:33",99,98,97
"87","2014/04/02 00:38",99,98,97
"88","2014/04/02 00:43",99,98,96
"89","2014/04/02 00:48",99,98,97
"90","2014/04/02 00:53",99,98,97
"91","2014/04/02 00:58",99,98,97
"92","2014/04/02 01:03",99,98,94
"93","2014/04/02 01:08",99,98,99
"94","2014/04/02 01:13",99,98,98
"95","2014/04/02 01:18",99,98,92
"96","2014/04/02 01:23",99,98,97
