PHY_Long_CSW_CMA.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","CSW-1DU.CACHE-1CA","CSW-1DL.CACHE-1CA","CSW-1JU.CACHE-1CA","CSW-1JL.CACHE-1CA","CSW-2PU.CACHE-1CA","CSW-2PL.CACHE-1CA","CSW-2VU.CACHE-1CA","CSW-2VL.CACHE-1CA","CSW-1DU.CACHE-1CB","CSW-1DL.CACHE-1CB","CSW-1JU.CACHE-1CB","CSW-1JL.CACHE-1CB","CSW-2PU.CACHE-1CB","CSW-2PL.CACHE-1CB","CSW-2VU.CACHE-1CB","CSW-2VL.CACHE-1CB","CSW-1DU.CACHE-1CE","CSW-1DL.CACHE-1CE","CSW-1JU.CACHE-1CE","CSW-1JL.CACHE-1CE","CSW-2PU.CACHE-1CE","CSW-2PL.CACHE-1CE","CSW-2VU.CACHE-1CE","CSW-2VL.CACHE-1CE","CSW-1DU.CACHE-1CF","CSW-1DL.CACHE-1CF","CSW-1JU.CACHE-1CF","CSW-1JL.CACHE-1CF","CSW-2PU.CACHE-1CF","CSW-2PL.CACHE-1CF","CSW-2VU.CACHE-1CF","CSW-2VL.CACHE-1CF","CSW-1DU.CACHE-2CC","CSW-1DL.CACHE-2CC","CSW-1JU.CACHE-2CC","CSW-1JL.CACHE-2CC","CSW-2PU.CACHE-2CC","CSW-2PL.CACHE-2CC","CSW-2VU.CACHE-2CC","CSW-2VL.CACHE-2CC","CSW-1DU.CACHE-2CD","CSW-1DL.CACHE-2CD","CSW-1JU.CACHE-2CD","CSW-1JL.CACHE-2CD","CSW-2PU.CACHE-2CD","CSW-2PL.CACHE-2CD","CSW-2VU.CACHE-2CD","CSW-2VL.CACHE-2CD","CSW-1DU.CACHE-2CG","CSW-1DL.CACHE-2CG","CSW-1JU.CACHE-2CG","CSW-1JL.CACHE-2CG","CSW-2PU.CACHE-2CG","CSW-2PL.CACHE-2CG","CSW-2VU.CACHE-2CG","CSW-2VL.CACHE-2CG","CSW-1DU.CACHE-2CH","CSW-1DL.CACHE-2CH","CSW-1JU.CACHE-2CH","CSW-1JL.CACHE-2CH","CSW-2PU.CACHE-2CH","CSW-2PL.CACHE-2CH","CSW-2VU.CACHE-2CH","CSW-2VL.CACHE-2CH"
"15","2014/03/03 04:45",4,7,3,0,4,7,3,0,4,6,3,0,4,6,3,0,4,7,3,0,4,7,3,0,4,6,3,0,4,6,3,0,4,7,3,0,4,6,3,0,4,6,3,0,4,6,3,0,4,6,4,0,4,6,3,0,4,6,3,0,4,6,3,0
"16","2014/03/03 05:00",5,4,4,1,6,4,4,1,5,4,4,1,5,4,4,1,5,4,4,1,5,4,4,1,5,4,4,1,5,5,4,1,5,4,4,1,5,4,4,1,5,4,4,1,5,4,4,1,5,4,4,1,5,4,4,1,5,4,4,1,5,4,4,1
"17","2014/03/03 05:15",12,12,4,1,12,12,4,1,12,12,4,1,12,12,4,1,12,12,4,1,12,12,4,1,12,12,4,1,12,12,4,1,12,12,4,1,12,12,4,1,12,12,4,1,12,12,4,1,12,12,4,1,12,12,4,1,12,12,4,1,12,12,4,1
"18","2014/03/03 05:30",4,9,4,2,4,9,4,2,4,9,4,2,4,9,4,2,4,9,4,2,4,9,4,2,4,9,4,2,4,9,4,2,4,9,4,2,4,9,4,2,4,9,4,2,4,9,4,2,4,9,4,2,4,9,4,2,4,9,4,2,4,9,4,2
"19","2014/03/03 05:45",6,8,2,1,6,8,2,1,7,8,2,1,7,8,2,1,6,8,2,1,6,8,2,1,7,8,2,1,7,8,2,1,6,8,2,1,6,8,2,1,7,8,2,1,7,8,2,1,7,8,2,1,7,8,2,1,7,8,2,1,7,8,2,1
"20","2014/03/03 06:00",5,10,3,2,5,10,3,2,5,10,3,2,5,10,3,2,5,10,3,2,5,10,3,2,5,10,3,2,5,10,3,2,5,10,3,2,5,10,3,2,5,10,3,2,5,10,3,2,5,10,3,2,5,10,3,2,5,10,3,2,5,10,3,2
"21","2014/03/03 06:15",14,16,5,2,14,16,5,2,14,16,5,2,14,16,5,2,14,16,5,2,14,16,5,2,14,16,5,2,14,16,5,2,14,16,5,2,14,16,5,2,14,16,5,2,14,16,5,2,14,16,5,2,14,16,5,2,14,16,5,2,14,16,5,2
"22","2014/03/03 06:30",14,19,8,3,14,19,8,3,14,18,8,3,14,18,8,3,14,19,8,3,14,19,8,3,14,18,8,3,14,18,8,3,14,19,8,3,14,19,8,3,14,19,8,3,14,19,8,3,14,19,8,3,14,19,8,3,14,19,8,3,14,19,8,3
"23","2014/03/03 06:45",16,26,8,3,16,26,8,3,16,25,8,3,16,25,8,3,16,26,8,3,16,26,8,3,16,26,8,3,16,26,8,3,16,26,8,3,16,26,8,3,16,26,8,3,16,26,8,3,16,26,8,3,16,26,8,3,16,25,8,3,16,25,8,3
"24","2014/03/03 07:00",12,30,5,3,12,30,5,3,12,29,5,3,12,29,5,3,11,30,5,3,12,30,5,3,12,30,6,3,12,30,6,3,12,30,6,3,12,30,6,3,12,30,6,3,12,30,5,3,12,29,5,3,12,30,5,3,12,29,5,3,12,29,5,3
