PHY_Short_MPA_CSW.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CHA-1EU.CSW-1DU","CHA-1EU.CSW-2PU","CHA-1FU.CSW-1DU","CHA-1FU.CSW-2PU","CHA-1EL.CSW-1DL","CHA-1EL.CSW-2PL","CHA-2QU.CSW-1DU","CHA-2QU.CSW-2PU","CHA-2RU.CSW-1DU","CHA-2RU.CSW-2PU","CHA-2QL.CSW-1DL","CHA-2QL.CSW-2PL","DKA-1AU.CSW-1DU","DKA-1AU.CSW-2PU","DKA-1BU.CSW-1DU","DKA-1BU.CSW-2PU","DKA-1AL.CSW-1DL","DKA-1AL.CSW-2PL","DKA-1BL.CSW-1DL","DKA-1BL.CSW-2PL","DKA-1LU.CSW-1JU","DKA-1LU.CSW-2VU","DKA-1KU.CSW-1JU","DKA-1KU.CSW-2VU","DKA-1LL.CSW-1JL","DKA-1LL.CSW-2VL","DKA-1KL.CSW-1JL","DKA-1KL.CSW-2VL","DKA-2MU.CSW-1DU","DKA-2MU.CSW-2PU","DKA-2NU.CSW-1DU","DKA-2NU.CSW-2PU","DKA-2ML.CSW-1DL","DKA-2ML.CSW-2PL","DKA-2NL.CSW-1DL","DKA-2NL.CSW-2PL","DKA-2XU.CSW-1JU","DKA-2XU.CSW-2VU","DKA-2WU.CSW-1JU","DKA-2WU.CSW-2VU","DKA-2XL.CSW-1JL","DKA-2XL.CSW-2VL","DKA-2WL.CSW-1JL","DKA-2WL.CSW-2VL"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,8,8,7,7,6,6,6,6,2,2,2,2,2,2,2,2,8,8,8,8,6,6,6,6,2,2,2,2
"3","2014/04/01 17:38",3,3,3,3,3,3,3,3,1,1,3,3,1,1,1,1,7,7,7,7,6,6,5,5,2,2,2,2,1,1,1,1,7,7,7,7,6,6,6,6,2,2,2,2
"4","2014/04/01 17:43",6,6,5,5,5,5,5,5,3,3,7,7,2,2,2,2,10,10,9,9,7,8,9,9,4,4,4,4,2,2,2,2,9,9,10,10,8,8,9,9,4,4,4,4
"5","2014/04/01 17:48",3,3,5,5,6,6,2,2,2,2,5,5,2,2,2,2,9,9,8,8,7,7,6,6,2,2,3,3,1,1,1,1,8,8,9,9,6,6,6,6,2,2,2,2
"6","2014/04/01 17:53",3,3,6,6,7,7,4,4,2,2,8,8,2,2,2,2,7,7,6,6,7,7,7,7,2,2,3,3,2,2,2,2,8,8,7,7,7,7,8,8,3,3,3,3
"7","2014/04/01 17:58",3,3,1,1,8,8,3,3,1,1,8,8,1,1,2,2,6,6,6,6,5,5,6,6,2,2,2,2,2,2,2,2,6,6,6,6,5,5,6,6,2,2,2,2
"8","2014/04/01 18:03",3,3,0,0,3,3,3,3,0,0,3,3,2,2,2,2,6,6,5,5,5,5,5,5,3,3,2,2,2,2,2,2,6,6,6,6,5,5,6,6,1,1,2,2
"9","2014/04/01 18:08",6,6,3,3,3,3,5,5,1,1,3,3,2,2,2,2,6,6,6,6,7,7,7,7,2,2,3,3,2,2,2,2,6,6,6,6,8,8,7,7,3,3,3,3
"10","2014/04/01 18:13",3,3,1,1,5,5,4,4,0,0,5,5,2,2,2,2,8,8,10,10,6,6,6,6,3,3,3,3,2,2,1,1,8,8,8,8,7,7,7,7,4,4,3,3
"11","2014/04/01 18:18",4,4,5,5,3,3,4,4,4,4,3,3,1,1,1,1,7,7,5,5,5,5,6,6,2,2,1,1,1,1,1,1,7,7,7,7,6,6,6,6,2,2,2,2
"12","2014/04/01 18:23",4,4,0,0,4,4,4,4,0,0,4,4,1,1,1,1,7,7,6,6,7,7,6,6,2,2,2,2,1,1,1,1,7,7,6,6,6,6,6,6,1,1,2,2
"13","2014/04/01 18:28",4,4,1,1,3,3,15,15,3,3,4,4,6,6,6,6,15,15,14,13,19,19,20,20,6,6,6,6,6,6,6,6,14,14,14,14,18,18,19,19,7,7,6,6
"14","2014/04/01 18:33",7,7,1,1,6,6,9,9,1,1,6,6,1,1,2,2,7,7,7,7,7,7,8,8,3,3,3,3,1,1,1,1,8,8,7,7,7,7,9,9,3,3,3,3
"15","2014/04/01 18:38",7,7,3,3,4,4,7,7,3,3,4,4,1,1,2,2,5,5,6,6,9,9,10,10,3,3,3,3,2,2,1,1,6,6,5,5,10,10,9,9,3,3,3,3
"16","2014/04/01 18:43",1,1,1,1,4,4,2,2,3,3,3,3,1,1,1,1,8,8,8,8,5,5,5,5,2,2,2,2,1,1,1,1,9,9,9,9,4,4,6,6,1,1,2,2
"17","2014/04/01 18:48",2,2,4,4,3,3,5,5,4,4,4,4,1,1,1,1,5,5,5,5,4,4,5,5,1,1,1,1,0,0,1,1,5,5,5,5,5,5,5,5,1,1,1,1
"18","2014/04/01 18:53",5,5,0,0,3,3,2,2,0,0,3,3,2,2,2,2,7,7,6,6,6,6,5,5,1,1,1,1,1,1,2,2,6,6,6,6,5,5,5,5,1,1,1,1
"19","2014/04/01 18:58",4,4,2,2,3,3,3,3,2,2,3,3,1,1,1,1,4,4,4,4,5,5,5,5,1,1,1,1,1,1,1,1,4,4,4,4,4,4,5,5,1,1,1,1
"20","2014/04/01 19:03",23,23,3,3,4,4,15,15,1,1,4,4,10,10,12,12,9,9,9,9,3,3,4,4,1,1,1,1,12,12,13,13,10,10,9,9,3,3,4,4,0,0,0,0
"21","2014/04/01 19:08",12,12,2,2,6,6,12,12,1,1,5,5,7,7,6,6,18,18,15,15,9,9,6,6,3,3,4,4,7,7,8,8,18,18,18,18,7,7,10,10,3,3,3,3
"22","2014/04/01 19:13",6,6,3,3,5,5,6,6,2,2,5,5,2,2,2,2,10,10,9,9,7,7,7,7,2,2,2,2,2,2,2,2,10,10,9,9,6,6,6,6,1,1,2,2
"23","2014/04/01 19:18",10,10,1,1,5,5,10,10,2,2,6,6,3,3,3,3,21,21,25,25,8,8,7,7,2,2,2,2,2,2,2,2,21,21,22,22,7,7,7,7,2,2,2,2
"24","2014/04/01 19:23",7,7,1,1,6,6,9,9,1,1,6,6,5,5,5,5,13,13,13,13,14,14,12,12,4,4,3,3,4,4,4,4,13,13,12,12,13,13,12,12,3,3,3,3
"25","2014/04/01 19:28",6,6,0,0,9,9,5,5,1,1,9,9,1,1,1,1,19,19,16,16,9,9,5,5,2,2,1,1,2,2,2,2,19,19,19,19,4,4,7,7,1,1,2,2
"26","2014/04/01 19:33",4,4,3,3,3,3,1,1,1,1,5,5,1,1,1,1,6,6,6,6,7,7,7,7,2,2,2,2,1,1,1,1,7,7,7,7,8,8,7,7,2,2,3,3
"27","2014/04/01 19:38",8,8,1,1,5,5,7,7,3,3,4,4,1,1,1,1,8,8,8,8,7,7,5,5,2,2,1,1,1,1,1,1,9,9,8,8,7,7,7,7,1,1,1,1
"28","2014/04/01 19:43",2,2,1,1,25,25,3,3,1,1,25,25,7,7,7,7,49,49,49,49,9,9,11,11,8,8,8,8,8,8,9,9,51,51,51,51,10,10,12,12,8,8,8,8
"29","2014/04/01 19:48",1,1,1,1,11,11,3,3,2,2,10,10,4,4,4,4,16,16,16,16,8,8,7,7,4,4,4,4,4,4,4,4,17,17,16,16,7,7,7,7,4,4,3,3
