PHY_Short_CSW_CMA.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CSW-1DU.CACHE-1CA","CSW-1DL.CACHE-1CA","CSW-1JU.CACHE-1CA","CSW-1JL.CACHE-1CA","CSW-2PU.CACHE-1CA","CSW-2PL.CACHE-1CA","CSW-2VU.CACHE-1CA","CSW-2VL.CACHE-1CA","CSW-1DU.CACHE-1CB","CSW-1DL.CACHE-1CB","CSW-1JU.CACHE-1CB","CSW-1JL.CACHE-1CB","CSW-2PU.CACHE-1CB","CSW-2PL.CACHE-1CB","CSW-2VU.CACHE-1CB","CSW-2VL.CACHE-1CB","CSW-1DU.CACHE-1CE","CSW-1DL.CACHE-1CE","CSW-1JU.CACHE-1CE","CSW-1JL.CACHE-1CE","CSW-2PU.CACHE-1CE","CSW-2PL.CACHE-1CE","CSW-2VU.CACHE-1CE","CSW-2VL.CACHE-1CE","CSW-1DU.CACHE-1CF","CSW-1DL.CACHE-1CF","CSW-1JU.CACHE-1CF","CSW-1JL.CACHE-1CF","CSW-2PU.CACHE-1CF","CSW-2PL.CACHE-1CF","CSW-2VU.CACHE-1CF","CSW-2VL.CACHE-1CF","CSW-1DU.CACHE-2CC","CSW-1DL.CACHE-2CC","CSW-1JU.CACHE-2CC","CSW-1JL.CACHE-2CC","CSW-2PU.CACHE-2CC","CSW-2PL.CACHE-2CC","CSW-2VU.CACHE-2CC","CSW-2VL.CACHE-2CC","CSW-1DU.CACHE-2CD","CSW-1DL.CACHE-2CD","CSW-1JU.CACHE-2CD","CSW-1JL.CACHE-2CD","CSW-2PU.CACHE-2CD","CSW-2PL.CACHE-2CD","CSW-2VU.CACHE-2CD","CSW-2VL.CACHE-2CD","CSW-1DU.CACHE-2CG","CSW-1DL.CACHE-2CG","CSW-1JU.CACHE-2CG","CSW-1JL.CACHE-2CG","CSW-2PU.CACHE-2CG","CSW-2PL.CACHE-2CG","CSW-2VU.CACHE-2CG","CSW-2VL.CACHE-2CG","CSW-1DU.CACHE-2CH","CSW-1DL.CACHE-2CH","CSW-1JU.CACHE-2CH","CSW-1JL.CACHE-2CH","CSW-2PU.CACHE-2CH","CSW-2PL.CACHE-2CH","CSW-2VU.CACHE-2CH","CSW-2VL.CACHE-2CH"
"14","2014/04/01 18:33",3,6,4,1,3,6,4,1,3,6,4,2,3,6,4,2,3,6,4,1,3,6,4,1,3,6,4,1,3,6,4,1,3,6,4,2,3,6,4,2,3,6,4,2,3,6,4,2,3,6,4,2,3,6,4,2,3,6,4,1,3,6,4,1
"15","2014/04/01 18:38",3,4,5,1,3,4,5,1,3,4,5,1,3,4,5,1,3,4,5,1,3,4,5,1,3,4,5,1,3,4,5,1,3,4,5,1,3,4,5,1,3,4,5,1,3,4,5,1,3,4,5,1,3,4,5,1,3,4,5,1,3,4,5,1
"16","2014/04/01 18:43",2,5,2,1,2,5,2,1,2,5,3,1,2,5,3,1,2,5,3,1,2,5,3,1,2,5,3,1,2,5,3,1,2,5,3,1,2,5,3,1,2,6,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,6,2,1,2,6,2,1
"17","2014/04/01 18:48",3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0
"18","2014/04/01 18:53",2,5,3,0,2,5,3,0,2,5,3,0,2,5,3,0,2,4,3,0,2,4,3,0,2,5,3,0,2,5,3,0,2,5,3,1,2,5,3,1,2,5,3,0,2,5,3,0,2,5,3,0,2,5,3,1,2,5,3,0,2,5,3,0
"19","2014/04/01 18:58",2,3,2,0,2,3,2,0,2,3,2,0,2,3,2,0,2,3,2,0,2,3,2,0,2,3,2,0,2,3,2,0,2,3,2,0,2,3,2,0,2,3,2,0,2,3,2,0,2,3,2,0,2,3,2,0,2,3,2,0,2,3,2,0
"20","2014/04/01 19:03",10,6,2,0,10,6,2,0,10,6,2,0,10,6,2,0,10,6,2,0,10,6,2,0,10,6,2,0,10,6,2,0,10,6,2,0,10,6,2,0,10,6,2,0,10,6,2,0,10,6,2,0,10,6,2,0,10,6,2,0,10,6,2,0
"21","2014/04/01 19:08",9,11,4,2,9,11,4,2,9,11,4,2,9,11,4,2,9,11,4,2,9,11,4,2,9,11,4,2,9,11,4,2,9,11,4,2,9,11,4,2,9,11,4,2,9,11,4,2,9,11,4,2,9,11,4,2,9,11,4,2,9,11,4,2
"22","2014/04/01 19:13",4,7,3,1,4,7,3,1,4,7,3,1,4,7,3,1,4,7,3,1,4,7,3,1,4,7,3,1,4,7,3,1,4,7,3,1,4,7,3,1,4,7,3,1,4,7,3,1,4,7,3,1,4,7,3,1,4,7,3,1,4,7,3,1
"23","2014/04/01 19:18",6,13,4,1,6,13,4,1,6,13,4,1,6,13,4,1,6,13,4,1,6,13,4,1,6,13,4,1,6,13,4,1,6,13,4,1,6,13,4,1,6,13,4,1,6,13,4,1,6,13,4,1,6,13,4,1,6,13,4,1,6,13,4,1
