PHY_Short_MPA_SMA.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CHA-1EU.SM-1SA","CHA-1EU.SM-1SC","CHA-1EU.SM-2SB","CHA-1EU.SM-2SD","CHA-1FU.SM-1SA","CHA-1FU.SM-1SC","CHA-1FU.SM-2SB","CHA-1FU.SM-2SD","CHA-1EL.SM-1SA","CHA-1EL.SM-1SC","CHA-1EL.SM-2SB","CHA-1EL.SM-2SD","CHA-2QU.SM-1SA","CHA-2QU.SM-1SC","CHA-2QU.SM-2SB","CHA-2QU.SM-2SD","CHA-2RU.SM-1SA","CHA-2RU.SM-1SC","CHA-2RU.SM-2SB","CHA-2RU.SM-2SD","CHA-2QL.SM-1SA","CHA-2QL.SM-1SC","CHA-2QL.SM-2SB","CHA-2QL.SM-2SD","DKA-1AU.SM-1SA","DKA-1AU.SM-1SC","DKA-1AU.SM-2SB","DKA-1AU.SM-2SD","DKA-1BU.SM-1SA","DKA-1BU.SM-1SC","DKA-1BU.SM-2SB","DKA-1BU.SM-2SD","DKA-1AL.SM-1SA","DKA-1AL.SM-1SC","DKA-1AL.SM-2SB","DKA-1AL.SM-2SD","DKA-1BL.SM-1SA","DKA-1BL.SM-1SC","DKA-1BL.SM-2SB","DKA-1BL.SM-2SD","DKA-1LU.SM-1SA","DKA-1LU.SM-1SC","DKA-1LU.SM-2SB","DKA-1LU.SM-2SD","DKA-1KU.SM-1SA","DKA-1KU.SM-1SC","DKA-1KU.SM-2SB","DKA-1KU.SM-2SD","DKA-1LL.SM-1SA","DKA-1LL.SM-1SC","DKA-1LL.SM-2SB","DKA-1LL.SM-2SD","DKA-1KL.SM-1SA","DKA-1KL.SM-1SC","DKA-1KL.SM-2SB","DKA-1KL.SM-2SD","DKA-2MU.SM-1SA","DKA-2MU.SM-1SC","DKA-2MU.SM-2SB","DKA-2MU.SM-2SD","DKA-2NU.SM-1SA","DKA-2NU.SM-1SC","DKA-2NU.SM-2SB","DKA-2NU.SM-2SD","DKA-2ML.SM-1SA","DKA-2ML.SM-1SC","DKA-2ML.SM-2SB","DKA-2ML.SM-2SD","DKA-2NL.SM-1SA","DKA-2NL.SM-1SC","DKA-2NL.SM-2SB","DKA-2NL.SM-2SD","DKA-2XU.SM-1SA","DKA-2XU.SM-1SC","DKA-2XU.SM-2SB","DKA-2XU.SM-2SD","DKA-2WU.SM-1SA","DKA-2WU.SM-1SC","DKA-2WU.SM-2SB","DKA-2WU.SM-2SD","DKA-2XL.SM-1SA","DKA-2XL.SM-1SC","DKA-2XL.SM-2SB","DKA-2XL.SM-2SD","DKA-2WL.SM-1SA","DKA-2WL.SM-1SC","DKA-2WL.SM-2SB","DKA-2WL.SM-2SD"
"27","2014/04/01 19:38",2,2,2,2,1,1,1,0,3,3,3,2,2,2,2,2,1,1,1,0,3,3,3,2,0,0,0,0,0,1,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"28","2014/04/01 19:43",2,2,2,2,1,1,1,1,4,5,4,4,3,3,3,2,2,1,1,1,4,5,4,4,1,0,0,0,1,1,1,1,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,6,6,6,6,5,6,5,6,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0
"29","2014/04/01 19:48",2,2,2,1,1,1,1,0,3,3,3,2,2,2,2,2,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,4,4,4,3,4,4,4,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,4,4,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"30","2014/04/01 19:53",2,2,2,1,1,1,1,0,3,3,3,2,2,2,2,1,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"31","2014/04/01 19:58",2,2,2,1,1,1,1,0,3,3,3,2,2,2,2,1,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"32","2014/04/01 20:03",2,2,2,1,1,1,1,1,4,4,4,2,2,2,2,1,1,1,1,1,3,4,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"33","2014/04/01 20:08",2,2,2,1,2,2,2,1,4,4,4,3,2,2,2,1,1,1,1,1,3,4,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34","2014/04/01 20:13",2,2,2,1,1,1,1,0,3,4,3,2,2,2,2,1,2,1,1,1,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"35","2014/04/01 20:18",2,2,2,2,1,1,1,0,3,3,3,2,2,2,2,1,1,1,1,0,3,4,3,3,0,0,0,0,0,0,0,0,3,3,3,2,4,4,4,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,3,4,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"36","2014/04/01 20:23",2,2,2,1,1,1,1,0,3,3,3,2,2,2,2,1,1,1,1,1,3,4,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"37","2014/04/01 20:28",2,2,2,2,1,1,1,1,3,3,3,2,2,2,2,1,1,1,1,0,3,4,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"38","2014/04/01 20:33",2,2,2,2,1,1,1,0,3,3,3,2,2,2,2,2,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"39","2014/04/01 20:38",2,2,2,1,1,1,1,1,3,3,3,2,2,2,2,1,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"40","2014/04/01 20:43",2,2,2,1,1,1,1,0,3,3,3,2,2,2,2,1,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"41","2014/04/01 20:48",2,2,2,1,1,1,1,0,3,3,3,2,2,1,2,1,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"42","2014/04/01 20:53",3,2,2,1,1,1,1,0,3,3,3,2,2,2,2,1,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"43","2014/04/01 20:58",2,2,2,2,1,1,1,0,3,3,3,2,2,2,2,1,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"44","2014/04/01 21:03",2,2,2,1,1,1,1,0,3,3,3,2,2,2,2,1,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"45","2014/04/01 21:08",3,3,3,2,1,1,1,0,3,3,3,2,2,2,2,2,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
"46","2014/04/01 21:13",2,2,2,1,1,1,1,0,3,3,3,2,2,2,2,1,1,1,1,1,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"47","2014/04/01 21:18",2,1,1,0,1,1,1,0,3,3,3,2,1,1,1,0,1,1,1,0,3,2,2,1,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"48","2014/04/01 21:23",2,1,2,1,1,1,1,0,3,3,3,2,2,2,2,1,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"49","2014/04/01 21:28",2,1,1,1,1,0,0,0,3,3,3,2,1,1,1,0,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"50","2014/04/01 21:33",2,2,2,1,1,1,1,0,3,3,3,2,2,2,2,1,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"51","2014/04/01 21:38",2,2,2,1,1,1,1,0,3,3,3,2,2,2,2,1,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"52","2014/04/01 21:43",2,2,2,2,1,1,1,0,3,3,3,2,2,2,2,2,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"53","2014/04/01 21:48",2,2,2,1,1,1,1,0,3,3,3,2,2,2,2,1,1,1,1,0,3,3,3,2,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
