LDEV_Rnd_Write_IOPSF0.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:00X(X175-1)","00:F0:01X(X5-1)","00:F0:02X(X391-1)","00:F0:03X(X270-1)","00:F0:1AX(X450-1)","00:F0:59X(X369-1)","00:F0:67X(X484-1)","00:F0:68X(X485-1)","00:F0:69X(X486-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",8,0,33,32,33,0,96,96,92
"8","2014/04/01 18:03",11,0,35,33,34,0,95,90,88
"9","2014/04/01 18:08",8,0,32,30,32,0,116,108,111
"10","2014/04/01 18:13",8,0,32,29,31,0,112,102,109
"11","2014/04/01 18:18",8,0,31,29,31,0,118,107,110
"12","2014/04/01 18:23",8,0,31,28,30,0,119,105,110
"13","2014/04/01 18:28",8,0,30,27,30,0,165,148,154
"14","2014/04/01 18:33",7,0,29,27,29,0,129,118,121
"15","2014/04/01 18:38",8,0,29,30,28,0,113,104,108
"16","2014/04/01 18:43",8,0,28,34,30,0,112,102,106
"17","2014/04/01 18:48",8,0,33,34,33,0,133,129,128
"18","2014/04/01 18:53",8,0,34,32,33,0,19,17,17
"19","2014/04/01 18:58",8,0,33,32,33,0,8,8,8
"20","2014/04/01 19:03",11,0,34,33,34,0,12,8,10
"21","2014/04/01 19:08",7,0,32,30,32,0,23,22,24
"22","2014/04/01 19:13",8,0,31,29,31,0,10,8,9
"23","2014/04/01 19:18",7,0,31,29,31,0,16,12,14
"24","2014/04/01 19:23",7,0,31,28,30,0,55,50,52
"25","2014/04/01 19:28",7,0,30,27,30,0,90,83,83
"26","2014/04/01 19:33",7,0,29,27,29,0,92,87,86
"27","2014/04/01 19:38",8,0,29,30,28,0,97,94,94
"28","2014/04/01 19:43",8,0,29,34,29,0,84,76,76
"29","2014/04/01 19:48",8,0,34,34,34,0,74,64,65
"30","2014/04/01 19:53",8,0,34,33,33,0,86,81,81
"31","2014/04/01 19:58",8,0,33,32,32,0,77,74,76
"32","2014/04/01 20:03",11,0,34,32,34,0,33,32,32
"33","2014/04/01 20:08",7,0,32,30,32,0,28,26,27
"34","2014/04/01 20:13",8,0,31,29,31,0,10,9,9
"35","2014/04/01 20:18",8,0,31,28,31,0,7,9,6
