LDEV_Rnd_Write_IOPS01.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:00(1-13)","00:01:01(1-13)","00:01:02(1-13)","00:01:03(1-13)","00:01:04X(X279-1)","00:01:0B(1-14)","00:01:0C(1-14)","00:01:0D(1-14)","00:01:0E(1-14)","00:01:0F(1-14)","00:01:10(1-14)","00:01:11(1-14)","00:01:12(1-14)","00:01:13(1-14)","00:01:14(1-14)","00:01:15(1-14)","00:01:16X(X46-1)","00:01:4F(1-1)","00:01:50(1-1)","00:01:51(1-1)","00:01:52(1-1)","00:01:53(1-1)","00:01:54(1-1)","00:01:55(1-1)","00:01:56(1-1)","00:01:59(1-1)","00:01:5A(1-1)","00:01:5B(1-1)","00:01:5C(1-1)","00:01:C5X(X487-1)","00:01:D3X(X488-1)","00:01:D7X(X489-1)","00:01:DBX(X490-1)","00:01:DDX(X552-1)","00:01:DEX(X553-1)","00:01:DFX(X491-1)","00:01:E1X(X492-1)","00:01:E4X(X493-1)","00:01:E5X(X494-1)","00:01:E6X(X495-1)","00:01:E7X(X496-1)","00:01:E8X(X497-1)","00:01:E9X(X498-1)","00:01:EAX(X499-1)","00:01:EBX(X500-1)","00:01:ECX(X501-1)","00:01:EDX(X502-1)","00:01:EEX(X503-1)","00:01:EFX(X504-1)","00:01:F0X(X505-1)","00:01:F1X(X506-1)","00:01:F2X(X507-1)","00:01:F3X(X508-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",8,0,0,0,86,0,2,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2014/04/01 18:03",3,0,0,0,83,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
"9","2014/04/01 18:08",8,0,0,0,109,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,16,1,0,0,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
"10","2014/04/01 18:13",3,0,0,0,99,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
