LDEV_Seq_Read_IOPSF0.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:00X(X175-1)","00:F0:01X(X5-1)","00:F0:02X(X391-1)","00:F0:03X(X270-1)","00:F0:1AX(X450-1)","00:F0:59X(X369-1)","00:F0:67X(X484-1)","00:F0:68X(X485-1)","00:F0:69X(X486-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,0,0,0,0,64,67,67
"8","2014/04/01 18:03",0,0,0,0,0,0,78,73,77
"9","2014/04/01 18:08",0,0,0,0,0,0,45,47,46
"10","2014/04/01 18:13",0,0,0,0,0,0,29,36,34
"11","2014/04/01 18:18",0,0,0,0,0,0,34,27,26
"12","2014/04/01 18:23",0,0,0,0,0,0,26,25,29
"13","2014/04/01 18:28",0,0,0,0,0,0,39,43,41
"14","2014/04/01 18:33",0,0,0,0,0,0,193,196,187
"15","2014/04/01 18:38",0,0,0,0,0,0,63,66,65
"16","2014/04/01 18:43",0,0,0,0,0,0,64,62,64
"17","2014/04/01 18:48",0,0,0,0,0,0,145,159,153
"18","2014/04/01 18:53",0,0,0,0,0,0,80,88,88
"19","2014/04/01 18:58",0,0,0,0,0,0,55,54,54
"20","2014/04/01 19:03",0,0,0,0,0,0,39,39,42
"21","2014/04/01 19:08",0,0,0,0,0,0,62,59,61
"22","2014/04/01 19:13",0,0,0,0,0,0,122,124,132
"23","2014/04/01 19:18",0,0,0,0,0,0,73,75,75
"24","2014/04/01 19:23",0,0,0,0,0,0,38,42,41
"25","2014/04/01 19:28",0,0,0,0,0,0,47,52,55
"26","2014/04/01 19:33",0,0,0,0,0,0,38,31,31
"27","2014/04/01 19:38",0,0,0,0,0,0,37,41,38
"28","2014/04/01 19:43",0,0,0,0,0,0,21,21,26
"29","2014/04/01 19:48",0,0,0,0,0,0,81,82,78
"30","2014/04/01 19:53",0,0,0,0,0,0,160,171,161
"31","2014/04/01 19:58",0,0,0,0,0,0,9,9,8
"32","2014/04/01 20:03",0,0,0,0,0,0,38,38,41
"33","2014/04/01 20:08",0,0,0,0,0,0,22,22,23
"34","2014/04/01 20:13",0,0,0,0,0,0,26,24,26
"35","2014/04/01 20:18",0,0,0,0,0,0,30,30,28
"36","2014/04/01 20:23",0,0,0,0,0,0,68,72,70
