LDEV_Rnd_Write_Hit4A.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:4A:19(5-6)","00:4A:1A(5-6)","00:4A:1B(5-6)","00:4A:1C(5-6)","00:4A:1D(5-6)","00:4A:1E(13-1)","00:4A:1F(13-1)","00:4A:20(13-1)","00:4A:21X(X198-1)","00:4A:27X(X34-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,99,0,99,50,50,0,99,80
"8","2014/04/01 18:03",0,0,99,0,99,0,70,0,98,84
"9","2014/04/01 18:08",0,0,98,0,99,0,70,0,98,69
"10","2014/04/01 18:13",0,0,100,0,99,50,0,0,99,80
"11","2014/04/01 18:18",0,0,99,0,99,93,75,0,98,77
"12","2014/04/01 18:23",0,0,100,0,99,0,0,0,98,82
"13","2014/04/01 18:28",0,0,99,0,99,50,0,0,98,67
"14","2014/04/01 18:33",100,0,99,0,99,92,70,0,99,74
"15","2014/04/01 18:38",0,0,99,0,99,50,0,0,98,73
"16","2014/04/01 18:43",0,0,99,0,99,0,0,0,98,89
"17","2014/04/01 18:48",0,0,99,0,99,0,65,0,98,75
"18","2014/04/01 18:53",0,0,99,0,99,50,0,0,99,77
"19","2014/04/01 18:58",100,0,99,0,99,93,66,0,98,75
"20","2014/04/01 19:03",0,0,98,0,99,0,69,0,98,91
"21","2014/04/01 19:08",0,0,92,0,99,0,0,0,98,74
"22","2014/04/01 19:13",0,0,90,0,99,50,70,0,98,79
"23","2014/04/01 19:18",0,0,93,0,99,0,0,0,98,77
"24","2014/04/01 19:23",0,0,92,0,99,0,0,0,98,77
"25","2014/04/01 19:28",0,0,90,0,99,50,70,0,98,80
"26","2014/04/01 19:33",0,0,95,0,99,0,0,0,97,77
"27","2014/04/01 19:38",0,0,98,0,99,80,0,0,98,76
"28","2014/04/01 19:43",0,0,97,0,99,95,70,0,86,67
"29","2014/04/01 19:48",0,0,99,0,99,92,76,0,96,64
"30","2014/04/01 19:53",0,0,99,0,99,88,68,0,97,68
"31","2014/04/01 19:58",0,0,99,0,99,50,69,0,98,77
"32","2014/04/01 20:03",80,0,97,0,99,0,66,0,98,79
"33","2014/04/01 20:08",94,0,86,0,99,0,71,0,98,77
"34","2014/04/01 20:13",100,0,99,0,99,50,68,0,97,69
"35","2014/04/01 20:18",0,0,99,0,99,0,74,0,99,77
"36","2014/04/01 20:23",0,0,99,0,99,0,74,0,98,64
"37","2014/04/01 20:28",0,0,99,0,99,66,75,0,98,74
"38","2014/04/01 20:33",0,0,99,0,99,0,72,0,98,81
"39","2014/04/01 20:38",0,0,99,0,99,50,80,0,99,71
"40","2014/04/01 20:43",0,0,99,0,99,0,73,0,98,84
"41","2014/04/01 20:48",0,0,99,0,99,0,85,0,98,82
"42","2014/04/01 20:53",0,0,99,0,99,50,72,0,98,90
"43","2014/04/01 20:58",0,0,100,0,99,50,77,0,98,65
"44","2014/04/01 21:03",0,0,99,0,99,0,59,0,98,68
"45","2014/04/01 21:08",0,0,99,0,99,0,72,0,97,81
"46","2014/04/01 21:13",0,0,99,0,99,66,79,0,98,78
"47","2014/04/01 21:18",0,0,99,0,99,0,0,0,98,60
"48","2014/04/01 21:23",0,0,98,0,99,0,67,0,97,64
"49","2014/04/01 21:28",0,0,99,0,99,50,0,0,98,69
"50","2014/04/01 21:33",0,0,99,0,99,0,0,0,98,75
"51","2014/04/01 21:38",0,0,99,0,99,50,63,0,97,90
"52","2014/04/01 21:43",0,0,99,0,99,0,0,0,97,81
"53","2014/04/01 21:48",0,0,99,0,99,0,74,0,98,74
"54","2014/04/01 21:53",0,0,98,0,99,50,81,0,98,70
