LDEV_Seq_Read_Hit_X506-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:F1 X"
"1","2014/04/01 17:28",40
"2","2014/04/01 17:33",66
"3","2014/04/01 17:38",40
"4","2014/04/01 17:43",96
"5","2014/04/01 17:48",94
"6","2014/04/01 17:53",90
"7","2014/04/01 17:58",50
"8","2014/04/01 18:03",89
"9","2014/04/01 18:08",33
"10","2014/04/01 18:13",100
"11","2014/04/01 18:18",0
"12","2014/04/01 18:23",50
"13","2014/04/01 18:28",50
"14","2014/04/01 18:33",95
"15","2014/04/01 18:38",50
"16","2014/04/01 18:43",91
"17","2014/04/01 18:48",0
"18","2014/04/01 18:53",63
"19","2014/04/01 18:58",60
"20","2014/04/01 19:03",93
"21","2014/04/01 19:08",25
"22","2014/04/01 19:13",80
"23","2014/04/01 19:18",0
"24","2014/04/01 19:23",0
"25","2014/04/01 19:28",50
"26","2014/04/01 19:33",89
"27","2014/04/01 19:38",0
"28","2014/04/01 19:43",87
"29","2014/04/01 19:48",0
"30","2014/04/01 19:53",37
"31","2014/04/01 19:58",25
"32","2014/04/01 20:03",85
"33","2014/04/01 20:08",25
"34","2014/04/01 20:13",100
"35","2014/04/01 20:18",15
"36","2014/04/01 20:23",92
"37","2014/04/01 20:28",25
"38","2014/04/01 20:33",95
"39","2014/04/01 20:38",25
"40","2014/04/01 20:43",100
"41","2014/04/01 20:48",91
"42","2014/04/01 20:53",25
"43","2014/04/01 20:58",50
"44","2014/04/01 21:03",90
"45","2014/04/01 21:08",50
"46","2014/04/01 21:13",100
"47","2014/04/01 21:18",100
"48","2014/04/01 21:23",0
"49","2014/04/01 21:28",55
"50","2014/04/01 21:33",0
"51","2014/04/01 21:38",25
"52","2014/04/01 21:43",97
"53","2014/04/01 21:48",92
"54","2014/04/01 21:53",88
"55","2014/04/01 21:58",25
"56","2014/04/01 22:03",91
"57","2014/04/01 22:08",84
"58","2014/04/01 22:13",88
"59","2014/04/01 22:18",93
"60","2014/04/01 22:23",94
"61","2014/04/01 22:28",88
"62","2014/04/01 22:33",92
"63","2014/04/01 22:38",93
"64","2014/04/01 22:43",95
"65","2014/04/01 22:48",95
"66","2014/04/01 22:53",95
"67","2014/04/01 22:58",95
"68","2014/04/01 23:03",91
"69","2014/04/01 23:08",93
"70","2014/04/01 23:13",94
"71","2014/04/01 23:18",95
"72","2014/04/01 23:23",95
"73","2014/04/01 23:28",96
"74","2014/04/01 23:33",95
"75","2014/04/01 23:38",95
"76","2014/04/01 23:43",95
"77","2014/04/01 23:48",95
"78","2014/04/01 23:53",95
"79","2014/04/01 23:58",95
"80","2014/04/02 00:03",95
"81","2014/04/02 00:08",95
"82","2014/04/02 00:13",95
"83","2014/04/02 00:18",93
"84","2014/04/02 00:23",93
"85","2014/04/02 00:28",95
"86","2014/04/02 00:33",96
"87","2014/04/02 00:38",44
"88","2014/04/02 00:43",96
"89","2014/04/02 00:48",96
"90","2014/04/02 00:53",95
"91","2014/04/02 00:58",95
"92","2014/04/02 01:03",94
"93","2014/04/02 01:08",95
"94","2014/04/02 01:13",79
"95","2014/04/02 01:18",24
"96","2014/04/02 01:23",61
