LDEV_Seq_Write_Hit5A.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D6X(X68-1)","00:5A:D7X(X66-1)","00:5A:D8X(X50-1)","00:5A:D9X(X71-1)","00:5A:FC(5-6)","00:5A:FD(5-6)","00:5A:FEX(X69-1)","00:5A:FFX(X67-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,0,0,0,0,100,98
"8","2014/04/01 18:03",100,0,0,0,0,0,96,98
"9","2014/04/01 18:08",0,0,0,0,0,0,98,97
"10","2014/04/01 18:13",100,0,0,0,0,0,96,87
"11","2014/04/01 18:18",0,0,0,0,0,0,96,0
"12","2014/04/01 18:23",0,0,0,0,0,0,98,91
"13","2014/04/01 18:28",0,0,0,0,0,0,98,96
"14","2014/04/01 18:33",0,0,0,0,0,0,96,99
"15","2014/04/01 18:38",100,0,100,0,0,0,92,90
"16","2014/04/01 18:43",0,0,0,0,0,0,96,94
"17","2014/04/01 18:48",0,0,0,0,0,0,97,99
"18","2014/04/01 18:53",0,0,0,100,0,0,93,96
"19","2014/04/01 18:58",100,0,0,0,0,0,80,83
"20","2014/04/01 19:03",0,0,0,0,0,0,97,92
"21","2014/04/01 19:08",0,0,0,0,0,0,0,96
"22","2014/04/01 19:13",0,0,0,0,0,0,96,97
"23","2014/04/01 19:18",0,0,0,0,0,0,100,98
"24","2014/04/01 19:23",0,0,0,0,0,0,0,0
"25","2014/04/01 19:28",0,0,0,0,0,0,100,60
"26","2014/04/01 19:33",0,0,100,0,0,0,0,0
"27","2014/04/01 19:38",100,0,0,100,0,0,0,0
"28","2014/04/01 19:43",0,0,0,100,0,0,0,0
"29","2014/04/01 19:48",0,0,0,0,0,0,100,98
"30","2014/04/01 19:53",0,0,0,0,0,0,0,0
"31","2014/04/01 19:58",0,0,0,0,0,0,98,0
"32","2014/04/01 20:03",0,0,0,0,0,0,98,98
"33","2014/04/01 20:08",0,0,0,0,0,0,99,98
"34","2014/04/01 20:13",0,0,0,0,0,0,95,0
"35","2014/04/01 20:18",100,0,0,0,0,0,97,94
"36","2014/04/01 20:23",100,100,0,0,0,0,98,0
"37","2014/04/01 20:28",0,0,0,0,0,0,98,91
"38","2014/04/01 20:33",0,0,0,0,0,0,92,0
"39","2014/04/01 20:38",0,0,0,0,0,0,90,0
"40","2014/04/01 20:43",0,0,0,100,0,0,0,0
"41","2014/04/01 20:48",0,0,0,0,0,0,0,0
"42","2014/04/01 20:53",0,0,0,0,0,0,80,98
"43","2014/04/01 20:58",0,0,0,0,0,0,100,0
"44","2014/04/01 21:03",0,0,0,0,0,0,0,93
"45","2014/04/01 21:08",0,0,0,0,0,0,0,97
"46","2014/04/01 21:13",0,0,0,0,0,0,0,76
"47","2014/04/01 21:18",100,0,0,0,0,0,0,50
"48","2014/04/01 21:23",0,0,0,0,0,0,33,0
"49","2014/04/01 21:28",0,0,0,0,0,0,0,0
"50","2014/04/01 21:33",0,0,0,0,0,0,98,99
"51","2014/04/01 21:38",0,0,0,0,0,0,97,98
"52","2014/04/01 21:43",0,0,0,0,0,0,96,98
"53","2014/04/01 21:48",0,0,0,0,0,0,95,0
"54","2014/04/01 21:53",0,0,0,0,0,0,75,0
"55","2014/04/01 21:58",0,0,0,0,0,0,77,0
"56","2014/04/01 22:03",0,0,0,0,0,0,80,90
"57","2014/04/01 22:08",0,0,0,0,0,0,92,93
