"No.","time","00:5C:8E(3-6)","00:5C:9B(3-6)","00:5C:A7(5-12)","00:5C:A8(5-15)","00:5C:B1(5-13)","00:5C:B2(5-2)","00:5C:B3X(X187-1)","00:5C:B4X(X186-1)","00:5C:BFX(X188-1)","00:5C:CC(1-2)","00:5C:CD(1-2)","00:5C:CE(1-2)","00:5C:CF(1-3)","00:5C:D9(1-3)","00:5C:DAX(X120-1)","00:5C:DBX(X124-1)","00:5C:DCX(X123-1)","00:5C:E2X(X122-1)","00:5C:E3X(X121-1)","00:5C:E4(3-8)","00:5C:E5(3-8)","00:5C:E6(3-9)","00:5C:E7(1-2)","00:5C:E8(1-2)","00:5C:E9(1-3)","00:5C:EA(1-3)","00:5C:EDX(X220-1)","00:5C:F5(5-15)","00:5C:F6(5-15)","00:5C:F7(5-15)","00:5C:F8(5-15)","00:5C:F9(5-15)","00:5C:FA(5-15)","00:5C:FB(5-15)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"30","2014/04/01 19:53",97,0,0,0,0,0,0,0,0,90,0,0,92,0,88,90,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0
"31","2014/04/01 19:58",100,0,0,0,0,0,0,0,0,0,0,0,88,0,82,89,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0
"32","2014/04/01 20:03",98,50,0,0,0,9,0,0,0,90,0,0,0,0,90,91,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
"33","2014/04/01 20:08",97,0,0,0,0,0,0,0,0,90,0,0,90,0,80,92,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0
"34","2014/04/01 20:13",97,0,0,0,0,12,0,0,0,92,0,0,91,0,92,88,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0
"35","2014/04/01 20:18",97,0,0,0,0,7,0,0,0,86,0,0,90,0,0,91,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0
"36","2014/04/01 20:23",98,0,0,0,0,0,0,0,0,90,0,0,91,0,84,92,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0
"37","2014/04/01 20:28",95,0,0,0,0,16,0,0,0,87,0,0,90,0,80,86,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0
"38","2014/04/01 20:33",93,0,0,0,0,0,0,0,0,92,0,0,90,0,70,90,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0
"39","2014/04/01 20:38",96,0,0,0,0,7,0,0,0,90,0,0,90,0,82,86,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0
"40","2014/04/01 20:43",98,0,0,0,0,9,0,0,0,91,0,0,90,0,83,93,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
"41","2014/04/01 20:48",96,0,0,0,0,0,0,0,0,90,0,0,90,0,82,90,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0
"42","2014/04/01 20:53",96,0,0,0,0,0,0,0,0,90,0,0,90,0,83,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2014/04/01 20:58",97,0,0,0,0,57,0,0,0,90,0,0,90,0,82,92,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
"44","2014/04/01 21:03",97,0,0,0,0,0,0,0,0,92,0,0,88,0,93,90,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0
"45","2014/04/01 21:08",100,0,0,0,0,14,0,0,0,86,0,0,94,0,88,90,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
"46","2014/04/01 21:13",96,0,0,0,0,5,0,0,0,90,0,0,90,0,86,92,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0
"47","2014/04/01 21:18",96,0,0,0,0,0,0,0,0,88,0,0,88,0,85,88,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0
"48","2014/04/01 21:23",97,0,0,0,0,0,0,0,0,92,0,0,91,0,86,90,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
"49","2014/04/01 21:28",96,0,0,0,0,0,0,0,0,90,0,0,91,0,81,92,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0
"50","2014/04/01 21:33",96,0,0,0,0,28,0,0,0,86,0,0,90,0,77,87,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0
"51","2014/04/01 21:38",96,0,0,0,0,8,0,0,0,92,0,0,93,0,77,90,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
"52","2014/04/01 21:43",96,0,0,0,0,0,0,0,0,91,0,0,86,0,86,93,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0
"53","2014/04/01 21:48",94,5,0,0,0,6,0,0,0,90,0,0,89,0,83,0,0,0,0,0,0,0,97,55,0,0,0,0,0,0,0,0,0,0
"54","2014/04/01 21:53",95,0,95,0,0,16,0,0,0,92,0,0,90,0,73,0,0,0,0,0,0,0,97,40,0,0,0,0,0,0,0,0,0,0
"55","2014/04/01 21:58",97,0,97,0,0,0,0,0,0,88,0,0,90,0,88,0,0,0,0,0,0,0,93,75,0,0,0,0,0,0,0,0,0,0
"56","2014/04/01 22:03",97,0,95,0,0,16,0,0,0,90,0,0,90,0,94,0,0,0,0,0,0,0,92,100,0,0,0,0,0,0,0,0,0,0
"57","2014/04/01 22:08",96,0,96,0,0,14,0,0,0,0,0,0,88,0,81,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
"58","2014/04/01 22:13",97,0,0,0,0,0,0,0,0,90,0,0,92,0,84,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0
"59","2014/04/01 22:18",97,0,0,0,0,18,0,0,0,90,0,0,90,0,81,94,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0
"60","2014/04/01 22:23",97,0,95,0,0,18,0,0,0,86,0,0,88,0,82,88,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0
