LDEV_TransRate_X124-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5C:DB X"
"1","2014/04/01 17:28",27
"2","2014/04/01 17:33",28
"3","2014/04/01 17:38",29
"4","2014/04/01 17:43",28
"5","2014/04/01 17:48",30
"6","2014/04/01 17:53",28
"7","2014/04/01 17:58",28
"8","2014/04/01 18:03",29
"9","2014/04/01 18:08",29
"10","2014/04/01 18:13",28
"11","2014/04/01 18:18",28
"12","2014/04/01 18:23",30
"13","2014/04/01 18:28",28
"14","2014/04/01 18:33",29
"15","2014/04/01 18:38",28
"16","2014/04/01 18:43",28
"17","2014/04/01 18:48",28
"18","2014/04/01 18:53",28
"19","2014/04/01 18:58",28
"20","2014/04/01 19:03",29
"21","2014/04/01 19:08",29
"22","2014/04/01 19:13",28
"23","2014/04/01 19:18",28
"24","2014/04/01 19:23",30
"25","2014/04/01 19:28",28
"26","2014/04/01 19:33",29
"27","2014/04/01 19:38",27
"28","2014/04/01 19:43",28
"29","2014/04/01 19:48",30
"30","2014/04/01 19:53",28
"31","2014/04/01 19:58",28
"32","2014/04/01 20:03",28
"33","2014/04/01 20:08",28
"34","2014/04/01 20:13",30
"35","2014/04/01 20:18",28
"36","2014/04/01 20:23",30
"37","2014/04/01 20:28",27
"38","2014/04/01 20:33",28
"39","2014/04/01 20:38",30
"40","2014/04/01 20:43",28
"41","2014/04/01 20:48",30
"42","2014/04/01 20:53",28
"43","2014/04/01 20:58",28
"44","2014/04/01 21:03",29
"45","2014/04/01 21:08",29
"46","2014/04/01 21:13",27
"47","2014/04/01 21:18",28
"48","2014/04/01 21:23",29
"49","2014/04/01 21:28",28
"50","2014/04/01 21:33",29
"51","2014/04/01 21:38",28
"52","2014/04/01 21:43",28
"53","2014/04/01 21:48",28
"54","2014/04/01 21:53",28
"55","2014/04/01 21:58",30
"56","2014/04/01 22:03",28
"57","2014/04/01 22:08",30
"58","2014/04/01 22:13",28
"59","2014/04/01 22:18",30
"60","2014/04/01 22:23",27
"61","2014/04/01 22:28",28
"62","2014/04/01 22:33",29
"63","2014/04/01 22:38",28
"64","2014/04/01 22:43",133
"65","2014/04/01 22:48",28
"66","2014/04/01 22:53",30
"67","2014/04/01 22:58",28
"68","2014/04/01 23:03",29
"69","2014/04/01 23:08",30
"70","2014/04/01 23:13",30
"71","2014/04/01 23:18",30
"72","2014/04/01 23:23",29
"73","2014/04/01 23:28",32
"74","2014/04/01 23:33",28
"75","2014/04/01 23:38",30
"76","2014/04/01 23:43",29
"77","2014/04/01 23:48",28
"78","2014/04/01 23:53",30
"79","2014/04/01 23:58",28
"80","2014/04/02 00:03",29
"81","2014/04/02 00:08",28
"82","2014/04/02 00:13",29
"83","2014/04/02 00:18",28
"84","2014/04/02 00:23",30
"85","2014/04/02 00:28",27
"86","2014/04/02 00:33",28
"87","2014/04/02 00:38",30
"88","2014/04/02 00:43",28
"89","2014/04/02 00:48",30
"90","2014/04/02 00:53",27
"91","2014/04/02 00:58",30
"92","2014/04/02 01:03",28
"93","2014/04/02 01:08",29
"94","2014/04/02 01:13",27
"95","2014/04/02 01:18",28
"96","2014/04/02 01:23",29
