LDEV_TransRate_X499-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:EA X"
"1","2014/04/01 17:28",90
"2","2014/04/01 17:33",134
"3","2014/04/01 17:38",94
"4","2014/04/01 17:43",324
"5","2014/04/01 17:48",194
"6","2014/04/01 17:53",259
"7","2014/04/01 17:58",84
"8","2014/04/01 18:03",151
"9","2014/04/01 18:08",109
"10","2014/04/01 18:13",98
"11","2014/04/01 18:18",115
"12","2014/04/01 18:23",196
"13","2014/04/01 18:28",83
"14","2014/04/01 18:33",157
"15","2014/04/01 18:38",89
"16","2014/04/01 18:43",265
"17","2014/04/01 18:48",113
"18","2014/04/01 18:53",128
"19","2014/04/01 18:58",91
"20","2014/04/01 19:03",163
"21","2014/04/01 19:08",108
"22","2014/04/01 19:13",98
"23","2014/04/01 19:18",185
"24","2014/04/01 19:23",126
"25","2014/04/01 19:28",85
"26","2014/04/01 19:33",196
"27","2014/04/01 19:38",106
"28","2014/04/01 19:43",103
"29","2014/04/01 19:48",138
"30","2014/04/01 19:53",146
"31","2014/04/01 19:58",100
"32","2014/04/01 20:03",161
"33","2014/04/01 20:08",103
"34","2014/04/01 20:13",99
"35","2014/04/01 20:18",170
"36","2014/04/01 20:23",124
"37","2014/04/01 20:28",98
"38","2014/04/01 20:33",154
"39","2014/04/01 20:38",95
"40","2014/04/01 20:43",97
"41","2014/04/01 20:48",126
"42","2014/04/01 20:53",138
"43","2014/04/01 20:58",96
"44","2014/04/01 21:03",157
"45","2014/04/01 21:08",114
"46","2014/04/01 21:13",104
"47","2014/04/01 21:18",116
"48","2014/04/01 21:23",133
"49","2014/04/01 21:28",85
"50","2014/04/01 21:33",155
"51","2014/04/01 21:38",91
"52","2014/04/01 21:43",329
"53","2014/04/01 21:48",164
"54","2014/04/01 21:53",228
"55","2014/04/01 21:58",98
"56","2014/04/01 22:03",466
"57","2014/04/01 22:08",1116
"58","2014/04/01 22:13",1081
"59","2014/04/01 22:18",492
"60","2014/04/01 22:23",582
"61","2014/04/01 22:28",942
"62","2014/04/01 22:33",1187
"63","2014/04/01 22:38",1102
"64","2014/04/01 22:43",1025
"65","2014/04/01 22:48",1088
"66","2014/04/01 22:53",1298
"67","2014/04/01 22:58",1245
"68","2014/04/01 23:03",1867
"69","2014/04/01 23:08",1524
"70","2014/04/01 23:13",1183
"71","2014/04/01 23:18",1290
"72","2014/04/01 23:23",1350
"73","2014/04/01 23:28",1356
"74","2014/04/01 23:33",1052
"75","2014/04/01 23:38",1139
"76","2014/04/01 23:43",926
"77","2014/04/01 23:48",921
"78","2014/04/01 23:53",1065
"79","2014/04/01 23:58",857
"80","2014/04/02 00:03",800
"81","2014/04/02 00:08",535
"82","2014/04/02 00:13",485
"83","2014/04/02 00:18",472
"84","2014/04/02 00:23",672
"85","2014/04/02 00:28",476
"86","2014/04/02 00:33",426
"87","2014/04/02 00:38",321
"88","2014/04/02 00:43",205
"89","2014/04/02 00:48",300
"90","2014/04/02 00:53",391
"91","2014/04/02 00:58",431
"92","2014/04/02 01:03",410
"93","2014/04/02 01:08",364
"94","2014/04/02 01:13",744
"95","2014/04/02 01:18",779
"96","2014/04/02 01:23",814
