LDEV_TransRate_1-13.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:F2","00:00:F3","00:00:F9","00:00:FA","00:00:FB","00:00:FC","00:00:FD","00:00:FE","00:00:FF","00:01:00","00:01:01","00:01:02","00:01:03","00:20:18","00:20:19"
"69","2014/04/01 23:08",0,4,0,0,0,0,68,28,0,124,22,0,0,1,7
"70","2014/04/01 23:13",0,0,0,0,0,0,57,26,0,116,5,0,0,1,0
"71","2014/04/01 23:18",0,1,0,0,0,0,61,28,0,109,19,0,0,1,0
"72","2014/04/01 23:23",0,0,0,0,0,0,58,26,0,118,20,0,0,2,1
"73","2014/04/01 23:28",0,0,0,0,0,0,51,22,0,134,14,0,0,2,1
"74","2014/04/01 23:33",0,0,0,0,0,0,53,24,0,119,25,0,0,1,0
"75","2014/04/01 23:38",0,0,0,0,0,0,53,23,0,120,20,0,0,1,1
"76","2014/04/01 23:43",0,0,0,0,0,0,53,30,0,156,19,0,0,2,1
"77","2014/04/01 23:48",9,28,0,0,0,0,53,30,0,85,7,0,0,1,0
"78","2014/04/01 23:53",6,0,1,0,0,0,52,24,0,90,10,0,0,2,0
"79","2014/04/01 23:58",0,0,0,0,0,0,52,22,0,105,6,0,0,2,1
"80","2014/04/02 00:03",0,0,0,0,0,0,53,25,0,52,13,0,0,1,0
"81","2014/04/02 00:08",0,0,0,0,0,0,55,24,0,80,5,0,0,2,0
"82","2014/04/02 00:13",0,0,0,0,0,0,54,25,0,136,8,0,0,2,1
"83","2014/04/02 00:18",0,0,0,0,0,0,52,28,0,44,3,0,0,1,0
"84","2014/04/02 00:23",8,0,0,0,0,0,56,25,0,114,10,0,0,1,0
"85","2014/04/02 00:28",0,0,0,0,0,0,52,21,0,80,10,0,0,2,1
"86","2014/04/02 00:33",1,0,0,0,0,0,53,25,0,45,4,0,0,1,1
"87","2014/04/02 00:38",0,0,0,0,0,0,52,22,0,83,8,0,0,1,1
"88","2014/04/02 00:43",0,0,0,0,0,0,52,30,0,92,42,0,0,2,1
"89","2014/04/02 00:48",0,0,0,0,0,0,52,30,0,85,14,0,0,1,0
"90","2014/04/02 00:53",0,0,0,0,0,0,51,25,0,110,24,0,0,2,0
"91","2014/04/02 00:58",0,0,0,0,0,0,52,23,0,112,22,0,0,2,1
"92","2014/04/02 01:03",15,5,1,0,0,0,50,23,0,134,19,1,0,1,0
"93","2014/04/02 01:08",5,17,1,0,0,0,61,26,0,99,16,0,0,1,1
"94","2014/04/02 01:13",1,0,0,0,0,0,53,23,0,104,31,0,0,2,1
"95","2014/04/02 01:18",0,0,0,0,0,0,53,28,0,98,27,0,0,1,0
"96","2014/04/02 01:23",0,0,0,0,0,0,60,25,0,260,9,6,14,1,0
