LDEV_TransRate_X585-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:0C X"
"1","2014/04/01 17:28",388
"2","2014/04/01 17:33",165
"3","2014/04/01 17:38",123
"4","2014/04/01 17:43",157
"5","2014/04/01 17:48",94
"6","2014/04/01 17:53",197
"7","2014/04/01 17:58",91
"8","2014/04/01 18:03",203
"9","2014/04/01 18:08",133
"10","2014/04/01 18:13",186
"11","2014/04/01 18:18",149
"12","2014/04/01 18:23",285
"13","2014/04/01 18:28",355
"14","2014/04/01 18:33",295
"15","2014/04/01 18:38",372
"16","2014/04/01 18:43",200
"17","2014/04/01 18:48",159
"18","2014/04/01 18:53",203
"19","2014/04/01 18:58",134
"20","2014/04/01 19:03",164
"21","2014/04/01 19:08",198
"22","2014/04/01 19:13",308
"23","2014/04/01 19:18",189
"24","2014/04/01 19:23",202
"25","2014/04/01 19:28",257
"26","2014/04/01 19:33",208
"27","2014/04/01 19:38",333
"28","2014/04/01 19:43",3039
"29","2014/04/01 19:48",1490
"30","2014/04/01 19:53",1294
"31","2014/04/01 19:58",673
"32","2014/04/01 20:03",642
"33","2014/04/01 20:08",414
"34","2014/04/01 20:13",394
"35","2014/04/01 20:18",332
"36","2014/04/01 20:23",351
"37","2014/04/01 20:28",403
"38","2014/04/01 20:33",443
"39","2014/04/01 20:38",313
"40","2014/04/01 20:43",331
"41","2014/04/01 20:48",325
"42","2014/04/01 20:53",298
"43","2014/04/01 20:58",526
"44","2014/04/01 21:03",529
"45","2014/04/01 21:08",502
"46","2014/04/01 21:13",540
"47","2014/04/01 21:18",754
"48","2014/04/01 21:23",769
"49","2014/04/01 21:28",656
"50","2014/04/01 21:33",460
"51","2014/04/01 21:38",306
"52","2014/04/01 21:43",391
"53","2014/04/01 21:48",302
"54","2014/04/01 21:53",385
"55","2014/04/01 21:58",804
"56","2014/04/01 22:03",627
"57","2014/04/01 22:08",902
"58","2014/04/01 22:13",409
"59","2014/04/01 22:18",517
"60","2014/04/01 22:23",467
"61","2014/04/01 22:28",497
"62","2014/04/01 22:33",590
"63","2014/04/01 22:38",577
"64","2014/04/01 22:43",414
"65","2014/04/01 22:48",460
"66","2014/04/01 22:53",539
"67","2014/04/01 22:58",509
"68","2014/04/01 23:03",548
"69","2014/04/01 23:08",722
"70","2014/04/01 23:13",601
"71","2014/04/01 23:18",811
"72","2014/04/01 23:23",743
"73","2014/04/01 23:28",574
"74","2014/04/01 23:33",543
"75","2014/04/01 23:38",481
"76","2014/04/01 23:43",534
"77","2014/04/01 23:48",565
"78","2014/04/01 23:53",555
"79","2014/04/01 23:58",523
"80","2014/04/02 00:03",621
"81","2014/04/02 00:08",531
"82","2014/04/02 00:13",574
"83","2014/04/02 00:18",576
"84","2014/04/02 00:23",589
"85","2014/04/02 00:28",598
"86","2014/04/02 00:33",714
"87","2014/04/02 00:38",595
"88","2014/04/02 00:43",544
"89","2014/04/02 00:48",569
"90","2014/04/02 00:53",548
"91","2014/04/02 00:58",483
"92","2014/04/02 01:03",474
"93","2014/04/02 01:08",494
"94","2014/04/02 01:13",600
"95","2014/04/02 01:18",623
"96","2014/04/02 01:23",418
