LDEV_TransRate_X501-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:EC X"
"1","2014/04/01 17:28",52
"2","2014/04/01 17:33",60
"3","2014/04/01 17:38",42
"4","2014/04/01 17:43",300
"5","2014/04/01 17:48",91
"6","2014/04/01 17:53",72
"7","2014/04/01 17:58",44
"8","2014/04/01 18:03",70
"9","2014/04/01 18:08",55
"10","2014/04/01 18:13",46
"11","2014/04/01 18:18",61
"12","2014/04/01 18:23",56
"13","2014/04/01 18:28",43
"14","2014/04/01 18:33",62
"15","2014/04/01 18:38",38
"16","2014/04/01 18:43",108
"17","2014/04/01 18:48",60
"18","2014/04/01 18:53",59
"19","2014/04/01 18:58",45
"20","2014/04/01 19:03",80
"21","2014/04/01 19:08",54
"22","2014/04/01 19:13",46
"23","2014/04/01 19:18",61
"24","2014/04/01 19:23",56
"25","2014/04/01 19:28",43
"26","2014/04/01 19:33",131
"27","2014/04/01 19:38",59
"28","2014/04/01 19:43",76
"29","2014/04/01 19:48",85
"30","2014/04/01 19:53",80
"31","2014/04/01 19:58",53
"32","2014/04/01 20:03",85
"33","2014/04/01 20:08",65
"34","2014/04/01 20:13",44
"35","2014/04/01 20:18",110
"36","2014/04/01 20:23",124
"37","2014/04/01 20:28",50
"38","2014/04/01 20:33",84
"39","2014/04/01 20:38",47
"40","2014/04/01 20:43",43
"41","2014/04/01 20:48",71
"42","2014/04/01 20:53",68
"43","2014/04/01 20:58",54
"44","2014/04/01 21:03",76
"45","2014/04/01 21:08",63
"46","2014/04/01 21:13",48
"47","2014/04/01 21:18",64
"48","2014/04/01 21:23",64
"49","2014/04/01 21:28",43
"50","2014/04/01 21:33",83
"51","2014/04/01 21:38",40
"52","2014/04/01 21:43",299
"53","2014/04/01 21:48",63
"54","2014/04/01 21:53",77
"55","2014/04/01 21:58",54
"56","2014/04/01 22:03",416
"57","2014/04/01 22:08",1113
"58","2014/04/01 22:13",955
"59","2014/04/01 22:18",442
"60","2014/04/01 22:23",451
"61","2014/04/01 22:28",811
"62","2014/04/01 22:33",1094
"63","2014/04/01 22:38",964
"64","2014/04/01 22:43",863
"65","2014/04/01 22:48",1059
"66","2014/04/01 22:53",1257
"67","2014/04/01 22:58",1179
"68","2014/04/01 23:03",1786
"69","2014/04/01 23:08",1434
"70","2014/04/01 23:13",1075
"71","2014/04/01 23:18",1146
"72","2014/04/01 23:23",1229
"73","2014/04/01 23:28",1232
"74","2014/04/01 23:33",948
"75","2014/04/01 23:38",1067
"76","2014/04/01 23:43",830
"77","2014/04/01 23:48",864
"78","2014/04/01 23:53",899
"79","2014/04/01 23:58",796
"80","2014/04/02 00:03",781
"81","2014/04/02 00:08",460
"82","2014/04/02 00:13",407
"83","2014/04/02 00:18",452
"84","2014/04/02 00:23",610
"85","2014/04/02 00:28",389
"86","2014/04/02 00:33",404
"87","2014/04/02 00:38",266
"88","2014/04/02 00:43",183
"89","2014/04/02 00:48",258
"90","2014/04/02 00:53",327
"91","2014/04/02 00:58",333
"92","2014/04/02 01:03",367
"93","2014/04/02 01:08",323
"94","2014/04/02 01:13",768
"95","2014/04/02 01:18",795
"96","2014/04/02 01:23",792
