LDEV_TransRate_1-12.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:DD","00:00:DF","00:00:E0","00:00:E6","00:00:E7","00:00:E8","00:00:E9","00:00:EA","00:00:EB","00:00:EC","00:00:ED","00:00:EE","00:00:EF","00:20:16","00:20:17"
"1","2014/04/01 17:28",7,1605,3,0,0,0,0,0,0,0,0,68,8,83,32
"2","2014/04/01 17:33",0,0,0,0,0,0,0,0,0,0,0,86,7,82,30
"3","2014/04/01 17:38",4,0,0,0,0,0,0,0,0,0,0,76,8,86,30
"4","2014/04/01 17:43",0,0,0,0,0,0,0,0,0,0,0,75,6,71,30
"5","2014/04/01 17:48",0,0,0,0,0,0,0,0,0,0,0,70,8,84,32
"6","2014/04/01 17:53",1,0,1,0,0,0,0,0,0,0,0,75,9,96,22
"7","2014/04/01 17:58",0,0,0,0,0,0,0,0,0,0,0,68,7,84,28
"8","2014/04/01 18:03",1,0,1,0,0,0,0,0,0,0,0,110,11,76,28
"9","2014/04/01 18:08",0,0,0,0,0,0,0,0,0,0,0,84,6,82,28
"10","2014/04/01 18:13",0,0,0,0,0,0,0,0,0,0,0,84,9,80,30
"11","2014/04/01 18:18",0,0,0,0,0,0,0,0,0,0,0,70,7,85,29
"12","2014/04/01 18:23",1,0,0,0,0,0,0,0,0,0,0,92,7,80,61
"13","2014/04/01 18:28",0,0,0,0,0,0,0,0,0,0,0,68,6,86,29
"14","2014/04/01 18:33",0,0,0,0,0,0,0,0,0,0,0,122,7,79,30
"15","2014/04/01 18:38",0,0,0,0,0,0,0,0,0,0,0,250,7,76,30
"16","2014/04/01 18:43",0,0,0,0,0,0,0,0,0,0,0,134,7,90,21
"17","2014/04/01 18:48",12,0,0,0,0,0,0,0,0,0,0,69,7,99,18
"18","2014/04/01 18:53",0,0,0,0,0,0,0,0,0,0,0,65,7,85,25
