LDEV_TransRate_X504-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:EF X"
"1","2014/04/01 17:28",38
"2","2014/04/01 17:33",75
"3","2014/04/01 17:38",35
"4","2014/04/01 17:43",256
"5","2014/04/01 17:48",142
"6","2014/04/01 17:53",77
"7","2014/04/01 17:58",31
"8","2014/04/01 18:03",84
"9","2014/04/01 18:08",45
"10","2014/04/01 18:13",40
"11","2014/04/01 18:18",71
"12","2014/04/01 18:23",54
"13","2014/04/01 18:28",28
"14","2014/04/01 18:33",79
"15","2014/04/01 18:38",31
"16","2014/04/01 18:43",158
"17","2014/04/01 18:48",69
"18","2014/04/01 18:53",57
"19","2014/04/01 18:58",34
"20","2014/04/01 19:03",100
"21","2014/04/01 19:08",52
"22","2014/04/01 19:13",41
"23","2014/04/01 19:18",78
"24","2014/04/01 19:23",54
"25","2014/04/01 19:28",28
"26","2014/04/01 19:33",131
"27","2014/04/01 19:38",44
"28","2014/04/01 19:43",57
"29","2014/04/01 19:48",98
"30","2014/04/01 19:53",74
"31","2014/04/01 19:58",38
"32","2014/04/01 20:03",96
"33","2014/04/01 20:08",49
"34","2014/04/01 20:13",44
"35","2014/04/01 20:18",135
"36","2014/04/01 20:23",55
"37","2014/04/01 20:28",39
"38","2014/04/01 20:33",102
"39","2014/04/01 20:38",39
"40","2014/04/01 20:43",39
"41","2014/04/01 20:48",83
"42","2014/04/01 20:53",69
"43","2014/04/01 20:58",40
"44","2014/04/01 21:03",96
"45","2014/04/01 21:08",53
"46","2014/04/01 21:13",45
"47","2014/04/01 21:18",73
"48","2014/04/01 21:23",64
"49","2014/04/01 21:28",28
"50","2014/04/01 21:33",108
"51","2014/04/01 21:38",34
"52","2014/04/01 21:43",254
"53","2014/04/01 21:48",111
"54","2014/04/01 21:53",86
"55","2014/04/01 21:58",41
"56","2014/04/01 22:03",416
"57","2014/04/01 22:08",1163
"58","2014/04/01 22:13",1060
"59","2014/04/01 22:18",481
"60","2014/04/01 22:23",505
"61","2014/04/01 22:28",884
"62","2014/04/01 22:33",1171
"63","2014/04/01 22:38",937
"64","2014/04/01 22:43",928
"65","2014/04/01 22:48",1056
"66","2014/04/01 22:53",1346
"67","2014/04/01 22:58",1210
"68","2014/04/01 23:03",1826
"69","2014/04/01 23:08",1525
"70","2014/04/01 23:13",1208
"71","2014/04/01 23:18",1140
"72","2014/04/01 23:23",1324
"73","2014/04/01 23:28",1289
"74","2014/04/01 23:33",970
"75","2014/04/01 23:38",1158
"76","2014/04/01 23:43",901
"77","2014/04/01 23:48",884
"78","2014/04/01 23:53",899
"79","2014/04/01 23:58",785
"80","2014/04/02 00:03",768
"81","2014/04/02 00:08",478
"82","2014/04/02 00:13",418
"83","2014/04/02 00:18",445
"84","2014/04/02 00:23",557
"85","2014/04/02 00:28",396
"86","2014/04/02 00:33",396
"87","2014/04/02 00:38",269
"88","2014/04/02 00:43",151
"89","2014/04/02 00:48",304
"90","2014/04/02 00:53",358
"91","2014/04/02 00:58",370
"92","2014/04/02 01:03",408
"93","2014/04/02 01:08",309
"94","2014/04/02 01:13",818
"95","2014/04/02 01:18",802
"96","2014/04/02 01:23",816
