LDEV_TransRate_X450-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:1A X"
"1","2014/04/01 17:28",499
"2","2014/04/01 17:33",500
"3","2014/04/01 17:38",508
"4","2014/04/01 17:43",500
"5","2014/04/01 17:48",482
"6","2014/04/01 17:53",483
"7","2014/04/01 17:58",488
"8","2014/04/01 18:03",844
"9","2014/04/01 18:08",493
"10","2014/04/01 18:13",492
"11","2014/04/01 18:18",521
"12","2014/04/01 18:23",496
"13","2014/04/01 18:28",500
"14","2014/04/01 18:33",501
"15","2014/04/01 18:38",507
"16","2014/04/01 18:43",501
"17","2014/04/01 18:48",483
"18","2014/04/01 18:53",485
"19","2014/04/01 18:58",489
"20","2014/04/01 19:03",846
"21","2014/04/01 19:08",493
"22","2014/04/01 19:13",495
"23","2014/04/01 19:18",496
"24","2014/04/01 19:23",497
"25","2014/04/01 19:28",501
"26","2014/04/01 19:33",501
"27","2014/04/01 19:38",507
"28","2014/04/01 19:43",503
"29","2014/04/01 19:48",487
"30","2014/04/01 19:53",485
"31","2014/04/01 19:58",490
"32","2014/04/01 20:03",841
"33","2014/04/01 20:08",494
"34","2014/04/01 20:13",494
"35","2014/04/01 20:18",498
"36","2014/04/01 20:23",498
"37","2014/04/01 20:28",501
"38","2014/04/01 20:33",502
"39","2014/04/01 20:38",508
"40","2014/04/01 20:43",503
"41","2014/04/01 20:48",485
"42","2014/04/01 20:53",487
"43","2014/04/01 20:58",490
"44","2014/04/01 21:03",846
"45","2014/04/01 21:08",494
"46","2014/04/01 21:13",495
"47","2014/04/01 21:18",525
"48","2014/04/01 21:23",497
"49","2014/04/01 21:28",502
"50","2014/04/01 21:33",505
"51","2014/04/01 21:38",509
"52","2014/04/01 21:43",502
"53","2014/04/01 21:48",486
"54","2014/04/01 21:53",487
"55","2014/04/01 21:58",491
"56","2014/04/01 22:03",848
"57","2014/04/01 22:08",495
"58","2014/04/01 22:13",495
"59","2014/04/01 22:18",499
"60","2014/04/01 22:23",499
"61","2014/04/01 22:28",502
"62","2014/04/01 22:33",503
"63","2014/04/01 22:38",509
"64","2014/04/01 22:43",503
"65","2014/04/01 22:48",485
"66","2014/04/01 22:53",487
"67","2014/04/01 22:58",492
"68","2014/04/01 23:03",846
"69","2014/04/01 23:08",495
"70","2014/04/01 23:13",496
"71","2014/04/01 23:18",498
"72","2014/04/01 23:23",500
"73","2014/04/01 23:28",503
"74","2014/04/01 23:33",504
"75","2014/04/01 23:38",509
"76","2014/04/01 23:43",503
"77","2014/04/01 23:48",488
"78","2014/04/01 23:53",490
"79","2014/04/01 23:58",492
"80","2014/04/02 00:03",848
"81","2014/04/02 00:08",495
"82","2014/04/02 00:13",496
"83","2014/04/02 00:18",525
"84","2014/04/02 00:23",501
"85","2014/04/02 00:28",503
"86","2014/04/02 00:33",504
"87","2014/04/02 00:38",510
"88","2014/04/02 00:43",506
"89","2014/04/02 00:48",486
"90","2014/04/02 00:53",488
"91","2014/04/02 00:58",492
"92","2014/04/02 01:03",845
"93","2014/04/02 01:08",497
"94","2014/04/02 01:13",497
"95","2014/04/02 01:18",501
"96","2014/04/02 01:23",500
