LDEV_TransRate_X1027-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:07 X"
"1","2014/04/01 17:28",43
"2","2014/04/01 17:33",95
"3","2014/04/01 17:38",63
"4","2014/04/01 17:43",125
"5","2014/04/01 17:48",81
"6","2014/04/01 17:53",119
"7","2014/04/01 17:58",38
"8","2014/04/01 18:03",95
"9","2014/04/01 18:08",60
"10","2014/04/01 18:13",52
"11","2014/04/01 18:18",61
"12","2014/04/01 18:23",77
"13","2014/04/01 18:28",36
"14","2014/04/01 18:33",97
"15","2014/04/01 18:38",43
"16","2014/04/01 18:43",279
"17","2014/04/01 18:48",57
"18","2014/04/01 18:53",75
"19","2014/04/01 18:58",39
"20","2014/04/01 19:03",105
"21","2014/04/01 19:08",59
"22","2014/04/01 19:13",53
"23","2014/04/01 19:18",60
"24","2014/04/01 19:23",73
"25","2014/04/01 19:28",39
"26","2014/04/01 19:33",146
"27","2014/04/01 19:38",58
"28","2014/04/01 19:43",59
"29","2014/04/01 19:48",75
"30","2014/04/01 19:53",105
"31","2014/04/01 19:58",46
"32","2014/04/01 20:03",106
"33","2014/04/01 20:08",63
"34","2014/04/01 20:13",52
"35","2014/04/01 20:18",108
"36","2014/04/01 20:23",85
"37","2014/04/01 20:28",43
"38","2014/04/01 20:33",106
"39","2014/04/01 20:38",49
"40","2014/04/01 20:43",52
"41","2014/04/01 20:48",71
"42","2014/04/01 20:53",83
"43","2014/04/01 20:58",45
"44","2014/04/01 21:03",101
"45","2014/04/01 21:08",60
"46","2014/04/01 21:13",57
"47","2014/04/01 21:18",62
"48","2014/04/01 21:23",84
"49","2014/04/01 21:28",35
"50","2014/04/01 21:33",109
"51","2014/04/01 21:38",42
"52","2014/04/01 21:43",138
"53","2014/04/01 21:48",53
"54","2014/04/01 21:53",117
"55","2014/04/01 21:58",50
"56","2014/04/01 22:03",418
"57","2014/04/01 22:08",1157
"58","2014/04/01 22:13",1050
"59","2014/04/01 22:18",475
"60","2014/04/01 22:23",479
"61","2014/04/01 22:28",878
"62","2014/04/01 22:33",1120
"63","2014/04/01 22:38",978
"64","2014/04/01 22:43",1047
"65","2014/04/01 22:48",1152
"66","2014/04/01 22:53",1287
"67","2014/04/01 22:58",1357
"68","2014/04/01 23:03",1892
"69","2014/04/01 23:08",1461
"70","2014/04/01 23:13",1214
"71","2014/04/01 23:18",1239
"72","2014/04/01 23:23",1311
"73","2014/04/01 23:28",1234
"74","2014/04/01 23:33",1009
"75","2014/04/01 23:38",1100
"76","2014/04/01 23:43",884
"77","2014/04/01 23:48",935
"78","2014/04/01 23:53",986
"79","2014/04/01 23:58",778
"80","2014/04/02 00:03",709
"81","2014/04/02 00:08",448
"82","2014/04/02 00:13",408
"83","2014/04/02 00:18",414
"84","2014/04/02 00:23",595
"85","2014/04/02 00:28",376
"86","2014/04/02 00:33",343
"87","2014/04/02 00:38",246
"88","2014/04/02 00:43",179
"89","2014/04/02 00:48",264
"90","2014/04/02 00:53",366
"91","2014/04/02 00:58",377
"92","2014/04/02 01:03",386
"93","2014/04/02 01:08",347
"94","2014/04/02 01:13",744
"95","2014/04/02 01:18",731
"96","2014/04/02 01:23",780
