LDEV_TransRate_X503-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:EE X"
"1","2014/04/01 17:28",39
"2","2014/04/01 17:33",45
"3","2014/04/01 17:38",39
"4","2014/04/01 17:43",374
"5","2014/04/01 17:48",85
"6","2014/04/01 17:53",143
"7","2014/04/01 17:58",35
"8","2014/04/01 18:03",63
"9","2014/04/01 18:08",51
"10","2014/04/01 18:13",39
"11","2014/04/01 18:18",36
"12","2014/04/01 18:23",88
"13","2014/04/01 18:28",33
"14","2014/04/01 18:33",51
"15","2014/04/01 18:38",32
"16","2014/04/01 18:43",359
"17","2014/04/01 18:48",36
"18","2014/04/01 18:53",62
"19","2014/04/01 18:58",39
"20","2014/04/01 19:03",63
"21","2014/04/01 19:08",40
"22","2014/04/01 19:13",39
"23","2014/04/01 19:18",105
"24","2014/04/01 19:23",64
"25","2014/04/01 19:28",36
"26","2014/04/01 19:33",115
"27","2014/04/01 19:38",50
"28","2014/04/01 19:43",44
"29","2014/04/01 19:48",65
"30","2014/04/01 19:53",86
"31","2014/04/01 19:58",43
"32","2014/04/01 20:03",54
"33","2014/04/01 20:08",41
"34","2014/04/01 20:13",38
"35","2014/04/01 20:18",92
"36","2014/04/01 20:23",64
"37","2014/04/01 20:28",43
"38","2014/04/01 20:33",59
"39","2014/04/01 20:38",33
"40","2014/04/01 20:43",39
"41","2014/04/01 20:48",54
"42","2014/04/01 20:53",73
"43","2014/04/01 20:58",41
"44","2014/04/01 21:03",81
"45","2014/04/01 21:08",55
"46","2014/04/01 21:13",42
"47","2014/04/01 21:18",39
"48","2014/04/01 21:23",71
"49","2014/04/01 21:28",32
"50","2014/04/01 21:33",70
"51","2014/04/01 21:38",30
"52","2014/04/01 21:43",366
"53","2014/04/01 21:48",52
"54","2014/04/01 21:53",153
"55","2014/04/01 21:58",47
"56","2014/04/01 22:03",363
"57","2014/04/01 22:08",1176
"58","2014/04/01 22:13",1073
"59","2014/04/01 22:18",424
"60","2014/04/01 22:23",502
"61","2014/04/01 22:28",876
"62","2014/04/01 22:33",1117
"63","2014/04/01 22:38",882
"64","2014/04/01 22:43",1108
"65","2014/04/01 22:48",1027
"66","2014/04/01 22:53",1305
"67","2014/04/01 22:58",1286
"68","2014/04/01 23:03",1787
"69","2014/04/01 23:08",1434
"70","2014/04/01 23:13",1182
"71","2014/04/01 23:18",1208
"72","2014/04/01 23:23",1268
"73","2014/04/01 23:28",1302
"74","2014/04/01 23:33",976
"75","2014/04/01 23:38",1067
"76","2014/04/01 23:43",861
"77","2014/04/01 23:48",877
"78","2014/04/01 23:53",924
"79","2014/04/01 23:58",770
"80","2014/04/02 00:03",703
"81","2014/04/02 00:08",412
"82","2014/04/02 00:13",453
"83","2014/04/02 00:18",404
"84","2014/04/02 00:23",600
"85","2014/04/02 00:28",422
"86","2014/04/02 00:33",361
"87","2014/04/02 00:38",261
"88","2014/04/02 00:43",177
"89","2014/04/02 00:48",229
"90","2014/04/02 00:53",347
"91","2014/04/02 00:58",343
"92","2014/04/02 01:03",341
"93","2014/04/02 01:08",292
"94","2014/04/02 01:13",756
"95","2014/04/02 01:18",744
"96","2014/04/02 01:23",789
